-0.01721555+0.00388868i, +0.00213127-0.01529620i, -0.02294487+0.00250158i, +0.00343888+0.01183399i, -0.00277066+0.00665508i, +0.00162153+0.01498196i, +0.00028898-0.00480248i, +0.02929780-0.00570507i, -0.00192200+0.01656481i, +0.00935059-0.00314334i, -0.01974928+0.01259129i, -0.00883015+0.00147245i, +0.00673107+0.01099699i, -0.02399301-0.02872144i, -0.00286038-0.00726019i, -0.01579436+0.01515707i, +0.01910864-0.00885050i, +0.00527969-0.01625863i, +0.00313133-0.02062913i, -0.00150993-0.01358957i, +0.01986584-0.00896523i, +0.00949094+0.00000000i, -0.00391237+0.01635239i, +0.01192123-0.01093048i, +0.01005153+0.00060642i, -0.00722509-0.00492255i, +0.01630347+0.01507188i, +0.00221444+0.01230621i, -0.01133328-0.00152061i, -0.00332567+0.01413985i, +0.00957572-0.00599294i, -0.01037252+0.00898211i
+0.01379661+0.02805849i, -0.02723309+0.00263335i, +0.01376845+0.03850160i, +0.01897177-0.01080323i, +0.01260848+0.00203033i, +0.02514470-0.00896970i, -0.00839355+0.00148178i, -0.02190672-0.04812681i, +0.02933259-0.00351686i, -0.00927031-0.01481482i, +0.02983521+0.02883657i, +0.00617693+0.01460690i, +0.01617255-0.01613047i, -0.03959510+0.05317827i, -0.01132982+0.00792109i, +0.03262560+0.02096478i, -0.02312593-0.02927482i, -0.03018916-0.00239448i, -0.03683371+0.00310864i, -0.02279169+0.00820344i, -0.02363574-0.03053214i, -0.00391237-0.01635239i, +0.02978707-0.00000000i, -0.02374682-0.01603388i, -0.00309862-0.01756824i, -0.00550295+0.01447763i, +0.01924742-0.03430298i, +0.02029011-0.00888824i, +0.00205188+0.02015348i, +0.02573313-0.00009879i, -0.01427284-0.01402805i, +0.01975149+0.01416869i
-0.02610234-0.01494228i, +0.02029326-0.01675847i, -0.03170124-0.02328288i, -0.00930946+0.01882473i, -0.01114461+0.00516832i, -0.01521759+0.02068579i, +0.00589388-0.00569941i, +0.04337031+0.02657559i, -0.02149143+0.01859295i, +0.01536504+0.00682060i, -0.03930744-0.00692927i, -0.01278702-0.00831996i, -0.00421030+0.02156493i, +0.00294099-0.06370812i, +0.00476855-0.01241350i, -0.03729474+0.00084829i, +0.03419458+0.01089014i, +0.02535629-0.01434139i, +0.02769121-0.02230524i, +0.01375419-0.01880832i, +0.03527781+0.01161808i, +0.01192123+0.01093048i, -0.02374682+0.01603388i, +0.02756219+0.00000000i, +0.01192697+0.01233780i, -0.00340601-0.01450399i, +0.00312031+0.03770755i, -0.01139127+0.01800770i, -0.01248408-0.01496224i, -0.02046176+0.01393047i, +0.01892964+0.00350060i, -0.02337303-0.00066366i
-0.01798394+0.00521836i, +0.00127981-0.01633586i, -0.02414030+0.00411540i, +0.00439813+0.01231326i, -0.00250908+0.00722520i, +0.00267458+0.01576328i, -0.00000080-0.00510461i, +0.03066378-0.00791403i, -0.00097712+0.01766604i, +0.00970204-0.00392646i, -0.02011127+0.01459689i, -0.00925763+0.00212363i, +0.00783130+0.01121646i, -0.02724534-0.02888487i, -0.00349322-0.00750626i, -0.01575881+0.01706152i, +0.01967181-0.01059421i, +0.00455270-0.01755631i, +0.00199819-0.02204769i, -0.00246742-0.01429577i, +0.02046641-0.01076410i, +0.01005153-0.00060642i, -0.00309862+0.01756824i, +0.01192697-0.01233780i, +0.01068399+0.00000000i, -0.00796637-0.00475166i, +0.01822947+0.01492041i, +0.00313154+0.01289159i, -0.01209985-0.00088629i, -0.00261864+0.01518753i, +0.00975840-0.00695876i, -0.01041127+0.01017541i
+0.01108865-0.01188928i, +0.00631103+0.01274981i, +0.01616959-0.01380489i, -0.00875567-0.00722517i, -0.00134251-0.00650328i, -0.00900492-0.01056417i, +0.00227085+0.00380583i, -0.01934431+0.01953857i, -0.00712832-0.01360702i, -0.00548793+0.00724265i, +0.00850380-0.01982838i, +0.00595835-0.00570074i, -0.01082778-0.00488047i, +0.03316155+0.00942038i, +0.00594305+0.00404335i, +0.00416231-0.01973036i, -0.00995630+0.01664838i, +0.00441343+0.01511542i, +0.00831569+0.01732826i, +0.00819778+0.00956208i, -0.01047322+0.01712845i, -0.00722509+0.00492255i, -0.00550295-0.01447763i, -0.00340601+0.01450399i, -0.00796637+0.00475166i, +0.00805330-0.00000000i, -0.02022835-0.00301773i, -0.00806847-0.00821971i, +0.00941627-0.00472051i, -0.00480203-0.01248901i, -0.00418135+0.00952872i, +0.00323756-0.01221753i
-0.02339741+0.03401873i, -0.02062970-0.02966022i, -0.03544196+0.04073430i, +0.02469999+0.01486732i, +0.00580904+0.01583193i, +0.02657723+0.02316087i, -0.00713006-0.00870859i, +0.04126774-0.05632586i, +0.02300379+0.03150711i, +0.01107066-0.02024860i, -0.01392985+0.05299165i, -0.01283006+0.01655189i, +0.02902612+0.00820142i, -0.08682548-0.01123592i, -0.01644294-0.00792914i, -0.00306158+0.05111860i, +0.01876985-0.04554839i, -0.01674974-0.03631326i, -0.02738066-0.04040923i, -0.02417437-0.02094626i, +0.01988837-0.04694793i, +0.01630347-0.01507188i, +0.01924742+0.03430298i, +0.00312031-0.03770755i, +0.01822947-0.01492041i, -0.02022835+0.00301773i, +0.05194057-0.00000000i, +0.02334654+0.01762293i, -0.02188301+0.01538547i, +0.01674167+0.02957059i, +0.00693216-0.02550115i, -0.00355399+0.03190127i
+0.00102542+0.02322945i, -0.01933618-0.00633239i, -0.00210990+0.03033460i, +0.01614663-0.00169782i, +0.00798270+0.00514528i, +0.01980434+0.00139308i, -0.00615960-0.00149522i, -0.00056156-0.03931941i, +0.02102993+0.00635704i, -0.00189405-0.01285762i, +0.01171828+0.02854525i, -0.00015103+0.01179296i, +0.01582949-0.00616186i, -0.04283905+0.02440865i, -0.01008115+0.00201489i, +0.01596790+0.02401584i, -0.00701734-0.02684178i, -0.01984950-0.01063927i, -0.02601768-0.00887338i, -0.01797289-0.00121292i, -0.00698944-0.02785035i, +0.00221444-0.01230621i, +0.02029011+0.00888824i, -0.01139127-0.01800770i, +0.00313154-0.01289159i, -0.00806847+0.00821971i, +0.02334654-0.01762293i, +0.01647323+0.00000000i, -0.00461596+0.01434024i, +0.01755815+0.00761127i, -0.00553639-0.01381442i, +0.00922632+0.01554500i
+0.01993432-0.00740177i, -0.00009427+0.01860689i, +0.02699804-0.00666334i, -0.00600243-0.01358019i, +0.00224223-0.00839085i, -0.00433667-0.01763040i, +0.00042436+0.00578102i, -0.03407091+0.01150653i, -0.00035888-0.02008824i, -0.01066207+0.00525163i, +0.02156558-0.01819964i, +0.01030830-0.00317302i, -0.00979959-0.01205325i, +0.03325210+0.03045263i, +0.00457884+0.00821123i, +0.01643187-0.02062982i, -0.02139993+0.01363005i, -0.00369965+0.02026058i, -0.00043403+0.02513527i, +0.00398031+0.01598560i, -0.02228573+0.01388837i, -0.01133328+0.00152061i, +0.00205188-0.02015348i, -0.01248408+0.01496224i, -0.01209985+0.00088629i, +0.00941627+0.00472051i, -0.02188301-0.01538547i, -0.00461596-0.01434024i, +0.01377688+0.00000000i, +0.00170579-0.01741745i, -0.01047435+0.00869046i, +0.01094690-0.01238754i
+0.01182587+0.02428556i, -0.02353547+0.00218463i, +0.01176691+0.03330730i, +0.01642559-0.00927001i, +0.01088576+0.00179582i, +0.02175232-0.00766555i, -0.00725613+0.00125228i, -0.01876565-0.04164953i, +0.02535216-0.00294094i, -0.00795951-0.01282931i, +0.02567907+0.02501094i, +0.00528782+0.01263942i, +0.01402500-0.01388152i, -0.03438268+0.04580953i, -0.00981413+0.00680548i, +0.02811581+0.01821973i, -0.01988146-0.02536729i, -0.02607255-0.00216873i, -0.03183105+0.00256340i, -0.01971700+0.00701138i, -0.02031771-0.02645519i, -0.00332567-0.01413985i, +0.02573313+0.00009879i, -0.02046176-0.01393047i, -0.00261864-0.01518753i, -0.00480203+0.01248901i, +0.01674167-0.02957059i, +0.01755815-0.00761127i, +0.00170579+0.01741745i, +0.02223124-0.00000000i, -0.01228381-0.01216621i, +0.01701637+0.01230588i
-0.01982480-0.00694713i, +0.01180891-0.01408707i, -0.02472943-0.01196433i, -0.00400284+0.01411114i, -0.00699768+0.00496503i, -0.00782416+0.01613969i, +0.00332403-0.00466291i, +0.03316191+0.01274370i, -0.01239882+0.01549916i, +0.01141894+0.00273290i, -0.02787632+0.00023333i, -0.00983879-0.00409008i, -0.00015272+0.01534548i, -0.00607153-0.04412810i, +0.00169843-0.00913120i, -0.02550620+0.00531931i, +0.02486788+0.00313636i, +0.01559317-0.01307007i, +0.01618532-0.01883617i, +0.00705755-0.01466439i, +0.02570429+0.00349873i, +0.00957572+0.00599294i, -0.01427284+0.01402805i, +0.01892964-0.00350060i, +0.00975840+0.00695876i, -0.00418135-0.00952872i, +0.00693216+0.02550115i, -0.00553639+0.01381442i, -0.01047435-0.00869046i, -0.01228381+0.01216621i, +0.01344543-0.00000000i, -0.01613683+0.00251275i
