+0.01301516-0.01215697i, -0.01271531-0.01686845i, +0.00885575+0.01176351i, -0.01489833-0.01287739i, +0.02356206-0.01594643i, -0.00366394+0.01247962i, +0.00156932-0.00996043i, -0.03231532+0.00755325i, +0.01856772-0.00403614i, -0.00689503-0.00684724i, +0.03432324+0.00415125i, +0.03385311+0.00911858i, +0.00429666-0.03274956i, +0.03419467+0.00164946i, +0.00009924-0.00653299i, +0.01092902-0.00985240i, +0.01849709+0.00631622i, +0.02075250-0.02418863i, -0.00732497+0.01398405i, +0.00775718+0.00791024i, -0.02075461+0.00481461i, +0.01657931+0.00000000i, -0.03120081-0.00851704i, +0.02254132+0.00254348i, +0.01607765-0.03053416i, -0.00395809-0.01655538i, +0.02155691-0.01011463i, +0.02215517+0.00689301i, -0.01539275-0.00922128i, +0.00024009-0.02043763i, -0.00491388+0.00395477i, +0.01299230-0.00583870i
-0.01824818+0.02956444i, +0.03259468+0.02521290i, -0.02270883-0.01758856i, +0.03465267+0.01658061i, -0.03614980+0.04211397i, +0.00048425-0.02536777i, +0.00216350+0.01955084i, +0.05693438-0.03081542i, -0.03286940+0.01713418i, +0.01649338+0.00934383i, -0.06672589+0.00982009i, -0.06839293+0.00023048i, +0.00873800+0.06383906i, -0.06519872+0.01446219i, +0.00316933+0.01234550i, -0.01550614+0.02415576i, -0.03805464-0.00238433i, -0.02662832+0.05618175i, +0.00660113-0.03007969i, -0.01866194-0.01090141i, +0.03658502-0.01972264i, -0.03120081+0.00851704i, +0.06309252-0.00000000i, -0.04372741+0.00679321i, -0.01457087+0.06572194i, +0.01595353+0.02912243i, -0.03537218+0.03010895i, -0.04523513-0.00159060i, +0.03370492+0.00944614i, +0.01004728+0.03858516i, +0.00721586-0.00996686i, -0.02145095+0.01766226i
+0.01583045-0.01852538i, -0.01987564-0.02098374i, +0.01384500+0.01463514i, -0.02223141-0.01522256i, +0.02958871-0.02529558i, -0.00306698+0.01752945i, +0.00060559-0.01378301i, -0.04277731+0.01522703i, +0.02462558-0.00833609i, -0.01042498-0.00825176i, +0.04730292+0.00037842i, +0.04742577+0.00720416i, +0.00081755-0.04518564i, +0.04674430-0.00300330i, -0.00086731-0.00889751i, +0.01334767-0.01507203i, +0.02611773+0.00574987i, +0.02450436-0.03607069i, -0.00781373+0.02013653i, +0.01176024+0.00956476i, -0.02747945+0.00973000i, +0.02254132-0.00254348i, -0.04372741-0.00679321i, +0.03103750-0.00000000i, +0.01717492-0.04398092i, -0.00792125-0.02190155i, +0.02775718-0.01705901i, +0.03117976+0.00597288i, -0.02234273-0.01017585i, -0.00280897-0.02782394i, -0.00607422+0.00613078i, +0.01676867-0.00993151i
+0.03501087+0.01218093i, +0.01873610-0.03977586i, -0.01307709+0.02771722i, +0.00926878-0.03992604i, +0.05221769+0.02793037i, -0.02653683+0.00535412i, +0.01986598-0.00676883i, -0.04524835-0.05219050i, +0.02543927+0.03028221i, +0.00592418-0.01933865i, +0.02563933+0.06723884i, +0.01603507+0.07119002i, +0.06448160-0.02384545i, +0.03012220+0.06457595i, +0.01212807-0.00615254i, +0.02874353+0.01057372i, +0.00630481+0.04019124i, +0.06467282+0.01476320i, -0.03285778+0.00007051i, -0.00704586+0.02195731i, -0.02899370-0.03355488i, +0.01607765+0.03053416i, -0.01457087-0.06572194i, +0.01717492+0.04398092i, +0.07182601-0.00000000i, +0.02665175-0.02334407i, +0.03953277+0.02989284i, +0.00878992+0.04748767i, +0.00205585-0.03729113i, +0.03787286-0.01937704i, -0.01204870-0.00521480i, +0.02335232+0.01826593i
+0.00903222+0.01589869i, +0.01987971-0.00866983i, -0.01386072+0.00603458i, +0.01641558-0.01180252i, +0.01029828+0.02733504i, -0.01158689-0.00663800i, +0.00957140+0.00394497i, +0.00017251-0.03407190i, -0.00040249+0.01950449i, +0.00848345-0.00525039i, -0.01233948+0.03328264i, -0.01718740+0.03162729i, +0.03167651+0.01210898i, -0.00981060+0.03375152i, +0.00649987+0.00165877i, +0.00722902+0.01326538i, -0.01072304+0.01696247i, +0.01919932+0.02649725i, -0.01221512-0.01065290i, -0.00975075+0.00585751i, +0.00014723-0.02187407i, -0.00395809+0.01655538i, +0.01595353-0.02912243i, -0.00792125+0.02190155i, +0.02665175+0.02334407i, +0.01747642-0.00000000i, +0.00495359+0.02394053i, -0.01217232+0.02047757i, +0.01288278-0.01316907i, +0.02035080+0.00511896i, -0.00277594-0.00585093i, +0.00272853+0.01436746i
+0.02433937-0.00786663i, -0.00624180-0.02969016i, +0.00433788+0.02069793i, -0.01151508-0.02583267i, +0.04036461-0.00635940i, -0.01237747+0.01399109i, +0.00811709-0.01199344i, -0.04662539-0.00989382i, +0.02660465+0.00607980i, -0.00478779-0.01310947i, +0.04209553+0.02633733i, +0.03845380+0.03250919i, +0.02556634-0.03996066i, +0.04345463+0.02300599i, +0.00411465-0.00843384i, +0.02022095-0.00614286i, +0.02019710+0.01949715i, +0.04173989-0.01879019i, -0.01805546+0.01371369i, +0.00526027+0.01501760i, -0.02992304-0.00640177i, +0.02155691+0.01011463i, -0.03537218-0.03010895i, +0.02775718+0.01705901i, +0.03953277-0.02989284i, +0.00495359-0.02394053i, +0.03419962-0.00000000i, +0.02460155+0.02247882i, -0.01438844-0.02138051i, +0.01278067-0.02642714i, -0.00880187+0.00214427i, +0.02045502+0.00033463i
+0.01233797-0.02165672i, -0.02400488-0.01725504i, +0.01672486+0.01203788i, -0.02526276-0.01101411i, +0.02485642-0.03110560i, +0.00029235+0.01820002i, -0.00204404-0.01396272i, -0.04004308+0.02352893i, +0.02313425-0.01311327i, -0.01206074-0.00628339i, +0.04759256-0.00872286i, +0.04902953-0.00188948i, -0.00787426-0.04555008i, +0.04638060-0.01201258i, -0.00258354-0.00877139i, +0.01050838-0.01770976i, +0.02734395+0.00075010i, +0.01767520-0.04095166i, -0.00397445+0.02173251i, +0.01365479+0.00734545i, -0.02573296+0.01506277i, +0.02215517-0.00689301i, -0.04523513+0.00159060i, +0.03117976-0.00597288i, +0.00878992-0.04748767i, -0.01217232-0.02047757i, +0.02460155-0.02247882i, +0.03247211+0.00000000i, -0.02440339-0.00592283i, -0.00817631-0.02741091i, -0.00492225+0.00732781i, +0.01493430-0.01320401i
-0.00532208+0.01852584i, +0.02118739+0.00858905i, -0.01476472-0.00599611i, +0.02099438+0.00366944i, -0.01300648+0.02791019i, -0.00353934-0.01362433i, +0.00408290+0.01012042i, +0.02580150-0.02498618i, -0.01499399+0.01407449i, +0.01020994+0.00252223i, -0.03417566+0.01523616i, -0.03650197+0.01036284i, +0.01422588+0.03279549i, -0.03266482+0.01748738i, +0.00354146+0.00612063i, -0.00466702+0.01522591i, -0.02068631+0.00442375i, -0.00581376+0.03399985i, -0.00097708-0.01705731i, -0.01160162-0.00302964i, +0.01659138-0.01601358i, -0.01539275+0.00922128i, +0.03370492-0.00944614i, -0.02234273+0.01017585i, +0.00205585+0.03729113i, +0.01288278+0.01316907i, -0.01438844+0.02138051i, -0.02440339+0.00592283i, +0.01941991-0.00000000i, +0.01114433+0.01910847i, +0.00236259-0.00640479i, -0.00881503+0.01264704i
+0.01517461+0.01586798i, +0.02060992-0.01591868i, -0.01437285+0.01108700i, +0.01565845-0.01855194i, +0.01999868+0.02881446i, -0.01543692-0.00433589i, +0.01230113+0.00179029i, -0.00977901-0.03972632i, +0.00524431+0.02283033i, +0.00834087-0.00859879i, -0.00462027+0.04237102i, -0.01075040+0.04186341i, +0.04043322+0.00482231i, -0.00153813+0.04217630i, +0.00805478+0.00002773i, +0.01230351+0.01332973i, -0.00751825+0.02289318i, +0.03011830+0.02523171i, -0.01734447-0.00882711i, -0.00963877+0.00967697i, -0.00623562-0.02551487i, +0.00024009+0.02043763i, +0.01004728-0.03858516i, -0.00280897+0.02782394i, +0.03787286+0.01937704i, +0.02035080-0.00511896i, +0.01278067+0.02642714i, -0.00817631+0.02741091i, +0.01114433-0.01910847i, +0.02519732+0.00000000i, -0.00494628-0.00600016i, +0.00738562+0.01593130i
-0.00675739+0.00049857i, -0.00025510+0.00803264i, +0.00018130-0.00559896i, +0.00134393+0.00737047i, -0.01078727-0.00089411i, +0.00406278-0.00282480i, -0.00284105+0.00257779i, +0.01137953+0.00546970i, -0.00646598-0.00323282i, +0.00041028+0.00367414i, -0.00918271-0.00941771i, -0.00785848-0.01077782i, -0.00908543+0.00868160i, -0.00974137-0.00864555i, -0.00158777+0.00191261i, -0.00558937+0.00031315i, -0.00397563-0.00628427i, -0.01192062+0.00221895i, +0.00550672-0.00239741i, -0.00041224-0.00419486i, +0.00729984+0.00352374i, -0.00491388-0.00395477i, +0.00721586+0.00996686i, -0.00607422-0.00613078i, -0.01204870+0.00521480i, -0.00277594+0.00585093i, -0.00880187-0.00214427i, -0.00492225-0.00732781i, +0.00236259+0.00640479i, -0.00494628+0.00600016i, +0.00239976+0.00000000i, -0.00524348-0.00136863i
