-0.01076042+0.00540587i, -0.00085176-0.00027264i, -0.01675514+0.00404445i, -0.00350697-0.01851765i, +0.00061564+0.00305356i, -0.00111257+0.01047507i, -0.00148415+0.00705131i, -0.00342158-0.00091521i, -0.00875678+0.00566366i, +0.01010484-0.00921560i, -0.01408209-0.00798491i, -0.00845024+0.00757471i, +0.01029087+0.00450837i, +0.00512503+0.00726385i, -0.00161743+0.00456463i, -0.00092247+0.02055159i, -0.00683931-0.01095868i, -0.00257904-0.00228858i, -0.01642685+0.00858941i, -0.00445635-0.00002403i, -0.01762803-0.01281829i, +0.00413981-0.00000000i, -0.00542649-0.00401893i, -0.01208469-0.00615189i, +0.00412560-0.00662192i, +0.01083255+0.00218784i, -0.00442869+0.00229194i, -0.00460124+0.00003871i, +0.00744220+0.00702005i, +0.00640146+0.00055424i, +0.00196998+0.00361417i, -0.00856082-0.00942674i
+0.00885681-0.01753226i, +0.00138117-0.00046951i, +0.01803640-0.02156737i, +0.02257389+0.02086849i, -0.00377137-0.00340496i, -0.00871083-0.01481088i, -0.00489998-0.01068372i, +0.00537351-0.00212200i, +0.00598017-0.01592504i, -0.00429898+0.02188964i, +0.02621064-0.00320422i, +0.00372310-0.01813248i, -0.01786606+0.00408077i, -0.01376967-0.00454612i, -0.00231121-0.00755354i, -0.01874229-0.02783469i, +0.01960369+0.00772511i, +0.00560237+0.00049616i, +0.01319382-0.02720623i, +0.00586474-0.00429473i, +0.03555093-0.00031099i, -0.00542649+0.00401893i, +0.01101465-0.00000000i, +0.02181294-0.00366788i, +0.00102070+0.01268519i, -0.01632333+0.00764841i, +0.00358015-0.00730365i, +0.00599375-0.00451763i, -0.01657035-0.00197704i, -0.00892914+0.00548803i, -0.00609090-0.00282502i, +0.02037306+0.00404579i
+0.02337788-0.03177081i, +0.00289156-0.00046986i, +0.04290044-0.03670496i, +0.03775514+0.04884416i, -0.00633481-0.00799890i, -0.01231852-0.03223152i, -0.00614603-0.02278926i, +0.01134809-0.00241294i, +0.01714590-0.02954586i, -0.01580277+0.04191773i, +0.05297342+0.00238265i, +0.01341119-0.03466897i, -0.03674007+0.00213198i, -0.02575500-0.01358824i, -0.00206168-0.01572833i, -0.02784746-0.06136380i, +0.03624983+0.02182650i, +0.01092946+0.00284816i, +0.03518814-0.04948448i, +0.01304442-0.00655213i, +0.07050707+0.01122260i, -0.01208469+0.00615189i, +0.02181294+0.00366788i, +0.04441881+0.00000000i, -0.00220283+0.02546108i, -0.03487294+0.00971090i, +0.00952208-0.01327165i, +0.01337413-0.00695059i, -0.03215685-0.00943318i, -0.01951039+0.00789485i, -0.01112141-0.00762282i, +0.03899868+0.01479634i
-0.01937055-0.01182473i, -0.00041273-0.00163416i, -0.02316700-0.02277047i, +0.02612535-0.02406372i, -0.00427085+0.00402783i, -0.01786436+0.00865947i, -0.01275812+0.00465310i, -0.00194589-0.00638512i, -0.01778614-0.00836287i, +0.02481115+0.00697943i, -0.00126132-0.03048279i, -0.02053752-0.00596805i, +0.00304408+0.02095386i, -0.00651160+0.01543677i, -0.00891332+0.00196177i, -0.03379302+0.01900547i, +0.01071335-0.02186101i, +0.00109056-0.00640607i, -0.03010981-0.01771597i, -0.00440262-0.00715219i, +0.00293625-0.04097156i, +0.00412560+0.00662192i, +0.00102070-0.01268519i, -0.00220283-0.02546108i, +0.01470366+0.00000000i, +0.00729576+0.01950776i, -0.00807960-0.00479993i, -0.00464737-0.00732142i, -0.00381241+0.01890028i, +0.00549293+0.01079193i, -0.00381790+0.00675288i, +0.00654730-0.02308802i
-0.02529962+0.01983217i, -0.00237287-0.00026327i, -0.04170537+0.01943790i, -0.01896296-0.04660134i, +0.00322469+0.00766482i, +0.00262470+0.02799787i, -0.00015701+0.01923536i, -0.00943684-0.00058655i, -0.01992050+0.01944782i, +0.02157078-0.02945454i, -0.04106822-0.01345172i, -0.01810842+0.02428643i, +0.02931051+0.00635836i, +0.01724942+0.01629864i, -0.00181994+0.01279895i, +0.00844744+0.05426441i, -0.02368779-0.02506084i, -0.00795799-0.00462549i, -0.03844437+0.03115709i, -0.01167353+0.00229225i, -0.05290118-0.02422515i, +0.01083255-0.00218784i, -0.01632333-0.00764841i, -0.03487294-0.00971090i, +0.00729576-0.01950776i, +0.02950155-0.00000000i, -0.01037720+0.00833776i, -0.01201950+0.00253300i, +0.02318386+0.01443611i, +0.01704348-0.00193281i, +0.00706484+0.00841601i, -0.02738283-0.02014246i
+0.01450415+0.00017422i, +0.00076025+0.00076323i, +0.02016346+0.00494952i, -0.00650029+0.02175140i, +0.00103195-0.00360747i, +0.00698955-0.01059007i, +0.00549155-0.00672168i, +0.00315365+0.00287337i, +0.01250342-0.00121083i, -0.01591202+0.00426430i, +0.01064404+0.01633840i, +0.01323352-0.00342495i, -0.00851299-0.01052033i, -0.00146116-0.01060811i, +0.00425742-0.00398769i, +0.01236488-0.02147498i, +0.00124947+0.01550985i, +0.00149197+0.00387612i, +0.02232850-0.00009434i, +0.00475402+0.00249289i, +0.01176150+0.02347221i, -0.00442869-0.00229194i, +0.00358015+0.00730365i, +0.00952208+0.01327165i, -0.00807960+0.00479993i, -0.01037720-0.00833776i, +0.00600662-0.00000000i, +0.00494375+0.00250598i, -0.00407499-0.01163016i, -0.00654131-0.00413698i, -0.00010652-0.00495701i, +0.00393925+0.01482410i
+0.01201034-0.00590779i, +0.00094415+0.00031100i, +0.01866051-0.00433856i, +0.00372469+0.02061444i, -0.00065570-0.00339966i, +0.00133454-0.01163223i, +0.00171551-0.00782338i, +0.00379439+0.00104922i, +0.00978578-0.00621305i, -0.01131731+0.01014829i, +0.01557702+0.00900660i, +0.00946295-0.00833998i, -0.01139574-0.00510711i, -0.00562835-0.00812141i, +0.00184039-0.00505828i, +0.00121748-0.02283366i, +0.00749914+0.01224410i, +0.00284510+0.00256778i, +0.01833812-0.00939318i, +0.00495283+0.00006838i, +0.01947299+0.01441188i, -0.00460124-0.00003871i, +0.00599375+0.00451763i, +0.01337413+0.00695059i, -0.00464737+0.00732142i, -0.01201950-0.00253300i, +0.00494375-0.00250598i, +0.00511446+0.00000000i, -0.00820607-0.00787211i, -0.00710979-0.00067588i, -0.00215576-0.00403543i, +0.00942687+0.01055751i
-0.01017721+0.02796511i, -0.00199355+0.00095423i, -0.02326264+0.03568316i, -0.03770569-0.02734255i, +0.00628479+0.00444546i, +0.01576293+0.02071783i, +0.00928913+0.01519298i, -0.00770298+0.00415682i, -0.00613810+0.02503088i, +0.00253834-0.03370223i, -0.03885593+0.00952500i, -0.00234637+0.02794661i, +0.02614509-0.00934589i, +0.02153097+0.00436760i, +0.00483276+0.01094864i, +0.03319185+0.03851018i, -0.03087822-0.00810289i, -0.00851721+0.00025917i, -0.01496537+0.04329700i, -0.00805200+0.00751363i, -0.05342670+0.00684895i, +0.00744220-0.00702005i, -0.01657035+0.00197704i, -0.03215685+0.00943318i, -0.00381241-0.01890028i, +0.02318386-0.01443611i, -0.00407499+0.01163016i, -0.00820607+0.00787211i, +0.02528316-0.00000000i, +0.01244786-0.00985885i, +0.00967016+0.00315667i, -0.03137525-0.00242965i
-0.01591527+0.00979981i, -0.00135359-0.00030756i, -0.02536729+0.00849720i, -0.00790206-0.02816464i, +0.00136079+0.00463934i, -0.00031797+0.01634674i, -0.00135092+0.01110226i, -0.00541337-0.00095712i, -0.01278250+0.00993018i, +0.01439148-0.01560309i, -0.02284441-0.01046187i, -0.01205264+0.01284424i, +0.01651653+0.00559361i, +0.00889742+0.01054607i, -0.00188993+0.00727491i, +0.00132504+0.03190278i, -0.01204290-0.01602994i, -0.00429441-0.00319358i, -0.02425115+0.01548120i, -0.00689415+0.00055947i, -0.02897466-0.01746108i, +0.00640146-0.00055424i, -0.00892914-0.00548803i, -0.01951039-0.00789485i, +0.00549293-0.01079193i, +0.01704348+0.00193281i, -0.00654131+0.00413698i, -0.00710979+0.00067588i, +0.01244786+0.00985885i, +0.00997289+0.00000000i, +0.00353008+0.00532491i, -0.01449982-0.01343060i
-0.00040100+0.01196659i, -0.00064334+0.00061387i, -0.00444222+0.01655230i, -0.01783525-0.00575016i, +0.00295880+0.00091560i, +0.00861559+0.00595599i, +0.00544974+0.00465115i, -0.00242720+0.00255162i, +0.00077751+0.01034003i, -0.00323697-0.01320715i, -0.01367217+0.00849434i, +0.00259178+0.01098181i, +0.00883296-0.00683885i, +0.00878035-0.00101771i, +0.00321537+0.00358419i, +0.01750313+0.01058506i, -0.01282179+0.00075609i, -0.00322526+0.00116252i, -0.00031812+0.01842846i, -0.00214158+0.00387908i, -0.01957923+0.00929002i, +0.00196998-0.00361417i, -0.00609090+0.00282502i, -0.01112141+0.00762282i, -0.00381790-0.00675288i, +0.00706484-0.00841601i, -0.00010652+0.00495701i, -0.00215576+0.00403543i, +0.00967016-0.00315667i, +0.00353008-0.00532491i, +0.00409271+0.00000000i, -0.01230358+0.00298801i
