+0.01251136-0.00965731i, -0.00571851+0.00492493i, -0.01084722+0.01628449i, -0.00389292-0.01767528i, -0.00460985-0.00292508i, +0.01197764+0.01741524i, -0.02562808+0.00046083i, +0.01266925+0.01347466i, -0.00242112+0.01663115i, -0.01977824-0.01397562i, +0.01353664+0.01310228i, -0.01340137+0.01058479i, +0.00694396+0.00014667i, +0.00291450+0.00223617i, +0.00184877+0.01479404i, -0.00188873+0.00324622i, -0.01691761-0.01617891i, -0.01010824-0.02854440i, +0.00775333-0.02138738i, +0.01201644+0.01322801i, -0.00548559+0.00787833i, +0.00931261-0.00000000i, -0.00604387-0.01912095i, -0.00353599+0.01301955i, +0.01900853-0.00875153i, -0.01664991+0.00506236i, +0.00984679+0.00607441i, -0.01330564-0.01697418i, +0.00879206+0.00502147i, -0.00283268-0.00454191i, -0.00456005+0.01660985i, -0.00708630-0.01111103i
+0.01170885+0.03195631i, -0.00640071-0.01493769i, -0.02639601-0.03284048i, +0.03881795+0.00347816i, +0.00899766-0.00756671i, -0.04353100+0.01329041i, +0.01568640-0.05291948i, -0.03588892+0.01726788i, -0.03257631-0.01576472i, +0.04153125-0.03153916i, -0.03568728+0.01929049i, -0.01303555-0.03438563i, -0.00480778+0.01416237i, -0.00648289+0.00453288i, -0.03157544-0.00580536i, -0.00543947-0.00598480i, +0.04419857-0.02423568i, +0.06516852-0.00222928i, +0.03888136+0.02979977i, -0.03495883+0.01608758i, -0.01261590-0.01637622i, -0.00604387+0.01912095i, +0.04318221+0.00000000i, -0.02443730-0.01570987i, +0.00563241+0.04470867i, +0.00041158-0.03747160i, -0.01886272+0.01627546i, +0.04348727-0.01630334i, -0.01601628+0.01479322i, +0.01116401-0.00286844i, -0.03114441-0.02014262i, +0.02741252-0.00733878i
-0.01825201-0.01382471i, +0.00905663+0.00612481i, +0.02688531+0.00898182i, -0.02323289+0.01215380i, -0.00233908+0.00755547i, +0.01979958-0.02335796i, +0.01037522+0.03565451i, +0.01402783-0.02282863i, +0.02417058-0.00292996i, -0.01202893+0.03295761i, +0.01317787-0.02389989i, +0.01988661+0.01471683i, -0.00243155-0.00976374i, +0.00201966-0.00492371i, +0.01998091-0.00820196i, +0.00525555+0.00140797i, -0.01619543+0.02979487i, -0.03606859+0.02497016i, -0.03284469-0.00271883i, +0.01393087-0.02182232i, +0.01309722+0.00467777i, -0.00353599-0.01301955i, -0.02443730+0.01570987i, +0.01954466-0.00000000i, -0.01945265-0.02325205i, +0.01339941+0.02135534i, +0.00475355-0.01607281i, -0.01867872+0.02504710i, +0.00368196-0.01419844i, -0.00527429+0.00568480i, +0.02495295+0.00006847i, -0.01284318+0.01412589i
+0.03461318-0.00795457i, -0.01630060+0.00467860i, -0.03744430+0.02304558i, +0.00866428-0.03973647i, -0.00666059-0.01030267i, +0.00808231+0.04680330i, -0.05274411-0.02314338i, +0.01319716+0.03940988i, -0.02057104+0.03167161i, -0.02723698-0.04711312i, +0.01531758+0.03946493i, -0.03730142+0.00901131i, +0.01403590+0.00682498i, +0.00384753+0.00730329i, -0.01012908+0.03193439i, -0.00690585+0.00485113i, -0.01932741-0.04892210i, +0.00619209-0.06776295i, +0.03592461-0.03636890i, +0.01209646+0.03829297i, -0.01860065+0.01092585i, +0.01900853+0.00875153i, +0.00563241-0.04470867i, -0.01945265+0.02325205i, +0.04702374-0.00000000i, -0.03874251-0.00531369i, +0.01439046+0.02165238i, -0.01120745-0.04715102i, +0.01322709+0.01851198i, -0.00151368-0.01193279i, -0.02491693+0.02961807i, -0.00402269-0.02933876i
-0.02761867+0.01046500i, +0.01290126-0.00569663i, +0.02824593-0.02321829i, -0.00264821+0.03371765i, +0.00665181+0.00773565i, -0.01194773-0.03764759i, +0.04607068+0.01310757i, -0.01532636-0.03097823i, +0.01336943-0.02841853i, +0.02776413+0.03573837i, -0.01707958-0.03078397i, +0.02971408-0.01163941i, -0.01233530-0.00403699i, -0.00399522-0.00558236i, +0.00473668-0.02745510i, +0.00514150-0.00477717i, +0.02145191+0.03812256i, +0.00255560+0.05652910i, -0.02548833+0.03402355i, -0.01429329-0.03018239i, +0.01409031-0.01110360i, -0.01664991-0.00506236i, +0.00041158+0.03747160i, +0.01339941-0.02135534i, -0.03874251+0.00531369i, +0.03252012-0.00000000i, -0.01430291-0.01621311i, +0.01456180+0.03758093i, -0.01298956-0.01375722i, +0.00259551+0.00966029i, +0.01718203-0.02721772i, +0.00662955+0.02371742i
+0.00692978-0.01837215i, -0.00283411+0.00893748i, -0.00084742+0.02429399i, -0.01564542-0.01614989i, -0.00678224-0.00008597i, +0.02402427+0.01060145i, -0.02679755+0.01720389i, +0.02218519+0.00598371i, +0.00828813+0.01916438i, -0.03002874-0.00187637i, +0.02285944+0.00502419i, -0.00726587+0.01993336i, +0.00743795-0.00437430i, +0.00454029+0.00046337i, +0.01160464+0.01443673i, +0.00012037+0.00466441i, -0.02844117-0.00607198i, -0.02930694-0.02358837i, -0.00575245-0.02767151i, +0.02133406+0.00614873i, -0.00066139+0.01190837i, +0.00984679-0.00607441i, -0.01886272-0.01627546i, +0.00475355+0.01607281i, +0.01439046-0.02165238i, -0.01430291+0.01621311i, +0.01437382+0.00000000i, -0.02514075-0.00926887i, +0.01257178-0.00042536i, -0.00595775-0.00295475i, +0.00601261+0.02053703i, -0.01474026-0.00712613i
-0.00027346+0.03660272i, -0.00080624-0.01745980i, -0.01418364-0.04303824i, +0.03777902+0.01815836i, +0.01191802-0.00422312i, -0.04885629-0.00305072i, +0.03577684-0.04737097i, -0.04266191+0.00384009i, -0.02685452-0.02817520i, +0.05373219-0.01608195i, -0.04322248+0.00595313i, -0.00014543-0.03955010i, -0.01018871+0.01244726i, -0.00824007+0.00211730i, -0.02960671-0.01776761i, -0.00321834-0.00808074i, +0.05366094-0.00771983i, +0.06647057+0.02235919i, +0.02790521+0.04468986i, -0.04127963+0.00300261i, -0.00652222-0.02125501i, -0.01330564+0.01697418i, +0.04348727+0.01630334i, -0.01867872-0.02504710i, -0.01120745+0.04715102i, +0.01456180-0.03758093i, -0.02514075+0.00926887i, +0.04994978-0.00000000i, -0.02171458+0.00885082i, +0.01232585+0.00132624i, -0.02375963-0.03204342i, +0.03037692+0.00295890i
+0.00660468-0.01586378i, -0.00274328+0.00773313i, -0.00146011+0.02122320i, -0.01320604-0.01458818i, -0.00592941-0.00027590i, +0.02069864+0.00998330i, -0.02394707+0.01425404i, +0.01922678+0.00589006i, +0.00668193+0.01700702i, -0.02620853-0.00252977i, +0.01984489+0.00507079i, -0.00694483+0.01721931i, +0.00663490-0.00360579i, +0.00395736+0.00053964i, +0.00972255+0.01297022i, -0.00003276+0.00408320i, -0.02469583-0.00615239i, -0.02493471-0.02149838i, -0.00421239-0.02437259i, +0.01847747+0.00600920i, -0.00093088+0.01039586i, +0.00879206-0.00502147i, -0.01601628-0.01479322i, +0.00368196+0.01419844i, +0.01322709-0.01851198i, -0.01298956+0.01375722i, +0.01257178+0.00042536i, -0.02171458-0.00885082i, +0.01100826+0.00000000i, -0.00512339-0.00276062i, +0.00465107+0.01814025i, -0.01268140-0.00666894i
+0.00090437+0.00903953i, -0.00066253-0.00428706i, -0.00464275-0.01024373i, +0.00980466+0.00347776i, +0.00282882-0.00135856i, -0.01213702+0.00054439i, +0.00757070-0.01263942i, -0.01042550+0.00208033i, -0.00737484-0.00623962i, +0.01283222-0.00539513i, -0.01050773+0.00261664i, -0.00108600-0.00975571i, -0.00218372+0.00334207i, -0.00197714+0.00074126i, -0.00777765-0.00359832i, -0.00100873-0.00190859i, +0.01303666-0.00332976i, +0.01699627+0.00375258i, +0.00807260+0.01028696i, -0.01010664+0.00183697i, -0.00217381-0.00507182i, -0.00283268+0.00454191i, +0.01116401+0.00286844i, -0.00527429-0.00568480i, -0.00151368+0.01193279i, +0.00259551-0.00966029i, -0.00595775+0.00295475i, +0.01232585-0.00132624i, -0.00512339+0.00276062i, +0.00307680-0.00000000i, -0.00671384-0.00727634i, +0.00757452-0.00007640i
-0.02335103-0.01758626i, +0.01158419+0.00778790i, +0.03435631+0.01137303i, -0.02961918+0.01559832i, -0.00295986+0.00965437i, +0.02519657-0.02989079i, +0.01337109+0.04548427i, +0.01782954-0.02919477i, +0.03084865-0.00382540i, -0.01524204+0.04211959i, +0.01674065-0.03055949i, +0.02544107+0.01871952i, -0.00313861-0.01245698i, +0.00256128-0.00629325i, +0.02548118-0.01054155i, +0.00671477+0.00177916i, -0.02057255+0.03809627i, -0.04596179+0.03200611i, -0.04194280-0.00335610i, +0.01770929-0.02790966i, +0.01673779+0.00592629i, -0.00456005-0.01660985i, -0.03114441+0.02014262i, +0.02495295-0.00006847i, -0.02491693-0.02961807i, +0.01718203+0.02721772i, +0.00601261-0.02053703i, -0.02375963+0.03204342i, +0.00465107-0.01814025i, -0.00671384+0.00727634i, +0.03185802-0.00000000i, -0.01634758+0.01807972i
