+0.06684688+0.00000000i, +0.03473408-0.03132050i, -0.01114257+0.02157257i, -0.00431788-0.01643000i, -0.00219199-0.00868771i, -0.00520952-0.00348715i, -0.00316904-0.00074074i, +0.00199373-0.00109993i, -0.14231644+0.00606166i, -0.07110843+0.06983076i, +0.02176623-0.04693824i, +0.01068261+0.03458779i, -0.00545453-0.01829729i, -0.01140724-0.00695172i, -0.00681404-0.00128967i, +0.00414488-0.00252254i, -0.02243895-0.04535635i, -0.03291074-0.01305389i, +0.01837754+0.00031894i, -0.00969853+0.00844491i, -0.00515891+0.00440356i, -0.00061736+0.00470528i, +0.00056117+0.00239888i, -0.00141556-0.00098354i, -0.05188525-0.09452853i, -0.07125041-0.02480729i, +0.03915454-0.00098745i, -0.01988230+0.01885859i, +0.01058395-0.00984294i, +0.00088767-0.01007347i, -0.00141226-0.00505631i, +0.00310291+0.00196559i
+0.01068261-0.03458779i, -0.01065504-0.02297728i, +0.00938138+0.00921282i, -0.00919121-0.00039148i, -0.00484548-0.00025418i, -0.00263684+0.00213823i, -0.00088971+0.00152134i, -0.00025051-0.00120737i, -0.01960677+0.07460581i, +0.02476807+0.04795225i, -0.02080830-0.01876331i, +0.01960351-0.00000000i, -0.01033902-0.00010176i, -0.00541991+0.00479138i, -0.00175623+0.00331961i, -0.00064282-0.00254776i, -0.02705411+0.00436205i, -0.01201369+0.01494251i, +0.00310189-0.00945790i, +0.00281965+0.00636775i, +0.00145405+0.00337303i, +0.00233594+0.00107137i, +0.00133090+0.00009300i, -0.00073512+0.00057526i, -0.05720241+0.01174004i, -0.02422206+0.03290188i, +0.00574625-0.02041707i, +0.00658045+0.01330120i, -0.00340153-0.00704930i, -0.00507034-0.00206911i, -0.00284192-0.00007731i, +0.00151290-0.00129139i
-0.00545453+0.01829729i, +0.00573882+0.01206307i, -0.00499563-0.00481020i, +0.00484954+0.00015876i, +0.00255686+0.00010890i, +0.00137959-0.00114140i, +0.00046134-0.00080699i, +0.00013839+0.00063547i, +0.00995346-0.03944939i, -0.01331177-0.02516177i, +0.01107184+0.00978788i, -0.01033902+0.00010176i, +0.00545340+0.00000000i, +0.00283362-0.00255514i, +0.00090902-0.00175990i, +0.00035226+0.00134037i, +0.01424588-0.00244102i, +0.00625854-0.00794315i, -0.00158686+0.00500426i, -0.00152016-0.00334376i, -0.00078439-0.00177141i, -0.00123755-0.00055292i, -0.00070241-0.00004214i, +0.00038472-0.00030721i, +0.03010800-0.00648872i, +0.01260409-0.01747841i, -0.00292463+0.01079793i, -0.00353962-0.00698098i, +0.00183058+0.00370019i, +0.00268487+0.00106494i, +0.00149925+0.00002602i, -0.00079121+0.00068894i
-0.01140724+0.00695172i, -0.00267011+0.00895692i, -0.00034198-0.00484007i, +0.00244547+0.00235470i, +0.00127753+0.00125458i, +0.00125164+0.00005331i, +0.00061782-0.00020316i, -0.00022584+0.00039504i, +0.02365554-0.01583456i, +0.00487244-0.01931133i, +0.00116698+0.01027346i, -0.00541991-0.00479138i, +0.00283362+0.00255514i, +0.00266956+0.00000000i, +0.00129692-0.00048855i, -0.00044498+0.00086151i, +0.00854597+0.00540641i, +0.00697367-0.00119493i, -0.00316925+0.00185674i, +0.00077680-0.00244970i, +0.00042241-0.00128795i, -0.00038397-0.00086714i, -0.00034523-0.00035100i, +0.00034385+0.00002063i, +0.01868455+0.01073525i, +0.01473852-0.00317637i, -0.00657893+0.00424037i, +0.00143167-0.00528582i, -0.00078251+0.00278035i, +0.00089611+0.00181132i, +0.00076683+0.00071598i, -0.00073391-0.00001274i
-0.00681404+0.00128967i, -0.00293636+0.00386278i, +0.00071962-0.00241397i, +0.00075713+0.00159149i, +0.00039105+0.00084329i, +0.00059831+0.00025496i, +0.00033733+0.00001437i, -0.00018201+0.00015059i, +0.01439008-0.00336359i, +0.00590120-0.00849009i, -0.00131317+0.00520458i, -0.00175623-0.00331961i, +0.00090902+0.00175990i, +0.00129692+0.00048855i, +0.00071947+0.00000000i, -0.00037384+0.00033710i, +0.00316237+0.00419049i, +0.00360660+0.00069571i, -0.00187947+0.00032204i, +0.00082569-0.00104794i, +0.00044092-0.00054841i, -0.00002785-0.00049154i, -0.00010348-0.00023370i, +0.00016327+0.00007295i, +0.00711265+0.00863475i, +0.00774152+0.00115410i, -0.00397217+0.00085606i, +0.00166287-0.00230594i, -0.00088898+0.00120754i, +0.00010386+0.00104397i, +0.00024151+0.00048817i, -0.00035422-0.00014050i
+0.00414488+0.00252254i, +0.00333562-0.00063132i, -0.00150496+0.00091715i, +0.00035227-0.00118169i, +0.00019192-0.00062140i, -0.00019143-0.00041281i, -0.00016855-0.00016552i, +0.00016513+0.00000703i, -0.00905316-0.00499460i, -0.00704426+0.00164655i, +0.00312089-0.00208906i, -0.00064282+0.00254776i, +0.00035226-0.00134037i, -0.00044498-0.00086151i, -0.00037384-0.00033710i, +0.00035220-0.00000000i, +0.00032023-0.00365911i, -0.00154805-0.00205134i, +0.00112748+0.00071327i, -0.00092004+0.00015765i, -0.00048605+0.00007837i, -0.00021584+0.00026846i, -0.00005573+0.00016992i, -0.00005066-0.00011440i, +0.00034995-0.00781924i, -0.00348180-0.00422690i, +0.00246506+0.00141631i, -0.00194446+0.00041906i, +0.00102770-0.00021092i, +0.00043517-0.00059111i, +0.00010324-0.00036681i, +0.00011822+0.00023897i
-0.02243895+0.04535635i, +0.00959188+0.03408103i, -0.01089693-0.01480177i, +0.01259735+0.00258544i, +0.00663051+0.00142897i, +0.00411479-0.00236416i, +0.00156638-0.00190158i, +0.00007707+0.00172199i, +0.04365944-0.09859805i, -0.02351149-0.07168844i, +0.02454169+0.03052471i, -0.02705411-0.00436205i, +0.01424588+0.00244102i, +0.00854597-0.00540641i, +0.00316237-0.00419049i, +0.00032023+0.00365911i, +0.03830703+0.00000000i, +0.01990459-0.01794841i, -0.00638532+0.01236230i, -0.00247439-0.00941532i, -0.00125614-0.00497855i, -0.00298535-0.00199834i, -0.00181604-0.00042449i, +0.00114252-0.00063032i, +0.08155534-0.00347367i, +0.04074914-0.04001696i, -0.01247328+0.02689826i, -0.00612174-0.01982075i, +0.00312576+0.01048538i, +0.00653699+0.00398373i, +0.00390483+0.00073905i, -0.00237525+0.00144555i
-0.03291074+0.01305389i, -0.01098435+0.02220292i, +0.00127312-0.01279676i, +0.00533428+0.00724579i, +0.00277572+0.00384917i, +0.00324578+0.00069951i, +0.00170487-0.00025416i, -0.00076678+0.00093087i, +0.06888296-0.03077596i, +0.02137224-0.04826588i, -0.00155005+0.02735963i, -0.01201369-0.01494251i, +0.00625854+0.00794315i, +0.00697367+0.00119493i, +0.00360660-0.00069571i, -0.00154805+0.00205134i, +0.01990459+0.01794841i, +0.01875212+0.00000000i, -0.00911010+0.00343175i, +0.00312575-0.00605161i, +0.00167996-0.00317544i, -0.00061491-0.00243711i, -0.00074474-0.00107146i, +0.00088899+0.00020780i, +0.04400425+0.03640708i, +0.03992311-0.00170044i, -0.01908413+0.00813227i, +0.00610594-0.01316728i, -0.00328867+0.00691282i, +0.00153013+0.00513282i, +0.00168270+0.00221359i, -0.00191150-0.00036178i
+0.01837754-0.00031894i, +0.00939965-0.00877635i, -0.00296039+0.00598389i, -0.00126546-0.00449633i, -0.00064407-0.00237797i, -0.00144884-0.00093383i, -0.00087477-0.00018853i, +0.00054287-0.00031191i, -0.03909670+0.00234549i, -0.01921594+0.01953714i, +0.00576002-0.01300810i, +0.00310189+0.00945790i, -0.00158686-0.00500426i, -0.00316925-0.00185674i, -0.00187947-0.00032204i, +0.00112748-0.00071327i, -0.00638532-0.01236230i, -0.00911010-0.00343175i, +0.00505387+0.00000000i, -0.00262603+0.00236795i, -0.00139728+0.00123524i, -0.00014727+0.00129652i, +0.00016572+0.00065682i, -0.00039386-0.00026364i, -0.01471530-0.02574022i, -0.01970651-0.00648007i, +0.01075965-0.00045828i, -0.00537606+0.00527946i, +0.00286278-0.00275652i, +0.00019598-0.00277363i, -0.00041238-0.00138334i, +0.00086243+0.00052558i
-0.00969853-0.00844491i, -0.00899620+0.00015613i, +0.00434194-0.00172221i, -0.00144917+0.00292925i, -0.00077951+0.00153738i, +0.00031529+0.00116407i, +0.00036620+0.00050782i, -0.00042822-0.00009229i, +0.02141386+0.01709967i, +0.01913868-0.00114817i, -0.00908777+0.00406029i, +0.00281965-0.00636775i, -0.00152016+0.00334376i, +0.00077680+0.00244970i, +0.00082569+0.00104794i, -0.00092004-0.00015765i, -0.00247439+0.00941532i, +0.00312575+0.00605161i, -0.00262603-0.00236795i, +0.00247398+0.00000000i, +0.00130479+0.00001284i, +0.00068400-0.00060468i, +0.00022164-0.00041894i, +0.00008112+0.00032153i, -0.00441418+0.02026951i, +0.00720346+0.01260039i, -0.00580551-0.00480321i, +0.00526708-0.00022434i, -0.00277906+0.00009098i, -0.00140139+0.00134938i, -0.00043388+0.00091201i, -0.00020187-0.00067718i
-0.00515891-0.00440356i, -0.00474385+0.00012904i, +0.00228103-0.00093084i, -0.00074910+0.00155243i, -0.00040314+0.00081487i, +0.00017233+0.00061230i, +0.00019577+0.00026593i, -0.00022632-0.00004645i, +0.01138258+0.00890732i, +0.01008791-0.00070490i, -0.00477188+0.00218860i, +0.00145405-0.00337303i, -0.00078439+0.00177141i, +0.00042241+0.00128795i, +0.00044092+0.00054841i, -0.00048605-0.00007837i, -0.00125614+0.00497855i, +0.00167996+0.00317544i, -0.00139728-0.00123524i, +0.00130479-0.00001284i, +0.00068822-0.00000000i, +0.00035761-0.00032246i, +0.00011472-0.00022210i, +0.00004445+0.00016916i, -0.00222285+0.01071319i, +0.00386456+0.00660814i, -0.00308680-0.00250311i, +0.00277673-0.00014566i, -0.00146522+0.00006241i, -0.00073210+0.00071894i, -0.00022409+0.00048325i, -0.00010998-0.00035610i
