+0.00328748-0.00178032i, -0.00203153-0.00455502i, +0.00281231+0.00187889i, -0.00391021-0.00302904i, +0.00468374-0.00405535i, -0.00153926-0.00098464i, +0.00011820-0.00045304i, -0.00800135+0.00244734i, +0.00324007-0.00184184i, -0.00110834-0.00215428i, +0.00739732+0.00075576i, +0.00733944+0.00159275i, +0.00245144-0.00817892i, +0.00850183+0.00131884i, +0.00059278-0.00010916i, +0.00121426-0.00092666i, +0.00445200+0.00138592i, +0.00529006-0.00541111i, -0.00253857+0.00427276i, +0.00021738+0.00000092i, -0.00554721+0.00044537i, +0.03017264-0.00000000i, -0.00696139-0.00224911i, +0.00655616+0.00011966i, +0.00383152-0.00621208i, -0.00125105-0.00319376i, +0.00506822-0.00220169i, +0.00613744+0.00166254i, -0.00330177-0.00305335i, +0.00119100-0.00330580i, -0.00072615+0.00179582i, +0.00470465-0.00202085i
-0.00348332+0.00666163i, +0.00564238+0.00551075i, -0.00461169-0.00371699i, +0.00724185+0.00336115i, -0.00929843+0.00771341i, -0.00131125-0.00502980i, +0.00018214+0.00279616i, +0.01222845-0.00652301i, -0.00767480+0.00256999i, +0.00376634+0.00229465i, -0.01409367+0.00302477i, -0.01417644-0.00038931i, +0.00215882+0.01291036i, -0.01365479+0.00165252i, +0.00239380+0.00692102i, -0.00367113+0.00561174i, -0.00601617+0.00117702i, -0.00626307+0.01256893i, +0.00099404-0.00694453i, -0.00318393-0.00283570i, +0.00746101-0.00325311i, -0.00696139+0.00224911i, +0.03613868+0.00000000i, -0.00994445+0.00065942i, -0.00291746+0.01742865i, +0.00325053+0.00555642i, -0.00649172+0.00648558i, -0.01005976-0.00130483i, +0.00893011+0.00398169i, +0.00311564+0.00776996i, +0.00121612-0.00291587i, -0.00633429+0.00470739i
+0.00390371-0.00302643i, -0.00277660-0.00636710i, +0.00248635+0.00261850i, -0.00443871-0.00312725i, +0.00599550-0.00623229i, +0.00086483+0.00451480i, -0.00047990-0.00277030i, -0.00924927+0.00076433i, +0.00497322-0.00018504i, -0.00066047-0.00183151i, +0.01008010+0.00074752i, +0.00826756+0.00150956i, +0.00175607-0.01015024i, +0.00985007-0.00019613i, +0.00046967-0.00038300i, +0.00405020-0.00188502i, +0.00536434+0.00132191i, +0.00418356-0.00847583i, -0.00208234+0.00253520i, +0.00335742+0.00384663i, -0.00698912+0.00313027i, +0.00655616-0.00011966i, -0.00994445-0.00065942i, +0.03029408+0.00000000i, +0.00391272-0.00873202i, -0.00148791-0.00583044i, +0.00612812-0.00487351i, +0.00925186+0.00515604i, -0.00401337-0.00296509i, -0.00200430-0.00468348i, +0.00077105+0.00074809i, +0.00250314-0.00483424i
+0.00973993+0.00050502i, +0.00380068-0.00850118i, -0.00238423+0.00550861i, +0.00343965-0.00634727i, +0.01109832+0.00702433i, -0.00471007+0.00190242i, +0.00396390-0.00229110i, -0.00893498-0.01064608i, +0.00810692+0.01030415i, +0.00286681-0.00472317i, +0.00492313+0.01471146i, +0.00347757+0.01533717i, +0.01320318-0.00417196i, +0.00599578+0.01310084i, +0.00343635-0.00080572i, +0.00597528+0.00206894i, +0.00161740+0.00995568i, +0.01509464+0.00367038i, -0.00952626+0.00098649i, -0.00291678+0.00387054i, -0.00729458-0.00548429i, +0.00383152+0.00621208i, -0.00291746-0.01742865i, +0.00391272+0.00873202i, +0.04092091+0.00000000i, +0.00607312-0.00605633i, +0.01041755+0.00946175i, +0.00398507+0.01215068i, +0.00099618-0.01132588i, +0.00934324-0.00368803i, -0.00298458-0.00010845i, +0.00505883+0.00473235i
+0.00227589+0.00446428i, +0.00459446-0.00421900i, -0.00325306+0.00271112i, +0.00498606-0.00212620i, +0.00255593+0.00643738i, -0.00149474-0.00129129i, +0.00213533-0.00061240i, +0.00017642-0.00664268i, -0.00057967+0.00349721i, +0.00407652+0.00178370i, -0.00305629+0.00760333i, -0.00480830+0.00706893i, +0.00587215+0.00253507i, -0.00132056+0.00716498i, -0.00024562+0.00061804i, +0.00195246+0.00235390i, -0.00229152+0.00268994i, +0.00425154+0.00493558i, -0.00288780-0.00341572i, -0.00073652+0.00050542i, +0.00116458-0.00594921i, -0.00125105+0.00319376i, +0.00325053-0.00555642i, -0.00148791+0.00583044i, +0.00607312+0.00605633i, +0.02852976-0.00000000i, +0.00059756+0.00631496i, -0.00367230+0.00458730i, +0.00157025-0.00155950i, +0.00376125+0.00186253i, -0.00121322-0.00077051i, +0.00017656+0.00385159i
+0.00535250-0.00157821i, -0.00102006-0.00730954i, +0.00239389+0.00249414i, -0.00206097-0.00626699i, +0.00812740-0.00146041i, -0.00353253+0.00283910i, -0.00011133-0.00327103i, -0.00874382-0.00130121i, +0.00595546+0.00104800i, -0.00035173-0.00308854i, +0.01177563+0.00957658i, +0.00887245+0.00653281i, +0.00537797-0.00689914i, +0.00836751+0.00492779i, +0.00074141-0.00167022i, +0.00348292-0.00133770i, +0.00639769+0.00623170i, +0.01091210-0.00371128i, -0.00477977+0.00492513i, +0.00241057+0.00403067i, -0.00857173-0.00024476i, +0.00506822+0.00220169i, -0.00649172-0.00648558i, +0.00612812+0.00487351i, +0.01041755-0.00946175i, +0.00059756-0.00631496i, +0.03096904-0.00000000i, +0.00654686+0.00483995i, -0.00425734-0.00615376i, +0.00352736-0.00655103i, -0.00209766+0.00031310i, +0.00445590-0.00083797i
+0.00316387-0.00572639i, -0.00582936-0.00528454i, +0.00346538+0.00378616i, -0.00310840-0.00364579i, +0.00502268-0.00626628i, +0.00127312+0.00365161i, -0.00112439-0.00268542i, -0.00956310+0.00352218i, +0.00680378-0.00253190i, -0.00211229-0.00045944i, +0.00997880-0.00096481i, +0.01284855+0.00195182i, -0.00075421-0.00940358i, +0.01106021-0.00244412i, -0.00015181-0.00144756i, +0.00173410-0.00394498i, +0.00549576+0.00163902i, +0.00363668-0.00909681i, -0.00196106+0.00372788i, +0.00310950+0.00417577i, -0.00548725+0.00408964i, +0.00613744-0.00166254i, -0.01005976+0.00130483i, +0.00925186-0.00515604i, +0.00398507-0.01215068i, -0.00367230-0.00458730i, +0.00654686-0.00483995i, +0.03098035-0.00000000i, -0.00582733-0.00200617i, -0.00003989-0.00482110i, -0.00077892+0.00068752i, +0.00364902-0.00159215i
-0.00042006+0.00357359i, +0.00483069+0.00338685i, -0.00348227-0.00126691i, +0.00462749+0.00082503i, -0.00508276+0.00798742i, -0.00090139-0.00328314i, -0.00013319+0.00110426i, +0.00541367-0.00395580i, -0.00419945+0.00326077i, +0.00250159+0.00095119i, -0.00786985+0.00254922i, -0.00823519+0.00178223i, +0.00525802+0.01024973i, -0.00776350+0.00425991i, +0.00291685+0.00100134i, -0.00225559+0.00191753i, -0.00430118+0.00037553i, -0.00167008+0.00714984i, -0.00166497-0.00685949i, -0.00234564-0.00091735i, +0.00335103-0.00359500i, -0.00330177+0.00305335i, +0.00893011-0.00398169i, -0.00401337+0.00296509i, +0.00099618+0.01132588i, +0.00157025+0.00155950i, -0.00425734+0.00615376i, -0.00582733+0.00200617i, +0.03004366+0.00000000i, +0.00225811+0.00563921i, +0.00154634-0.00131027i, -0.00271774+0.00120698i
+0.00304311+0.00277535i, +0.00410476-0.00341849i, -0.00298816+0.00308057i, +0.00423766-0.00379806i, +0.00426107+0.00762501i, -0.00573813+0.00176747i, +0.00143917+0.00131118i, -0.00205613-0.00703155i, +0.00131401+0.00439045i, +0.00141133-0.00243434i, -0.00145512+0.00867980i, -0.00127866+0.00930790i, +0.00898680+0.00065403i, +0.00249468+0.01127823i, +0.00214205-0.00116847i, +0.00249131+0.00332933i, -0.00165937+0.00678312i, +0.00492876+0.00896937i, -0.00429186-0.00038734i, -0.00031777+0.00398807i, -0.00343202-0.00583055i, +0.00119100+0.00330580i, +0.00311564-0.00776996i, -0.00200430+0.00468348i, +0.00934324+0.00368803i, +0.00376125-0.00186253i, +0.00352736+0.00655103i, -0.00003989+0.00482110i, +0.00225811-0.00563921i, +0.03029511-0.00000000i, -0.00165281-0.00279832i, +0.00337348+0.00260206i
-0.00129965-0.00022134i, -0.00029211+0.00208295i, -0.00098175-0.00213589i, +0.00049640+0.00047278i, -0.00277327+0.00061801i, +0.00051951-0.00168297i, -0.00207722+0.00204282i, +0.00265979+0.00008246i, -0.00140927-0.00180351i, -0.00001851+0.00050614i, -0.00155460-0.00157864i, -0.00144276-0.00175156i, -0.00327691+0.00059260i, -0.00177827-0.00066567i, +0.00279774+0.00463251i, -0.00141294+0.00150570i, -0.00285371-0.00008030i, -0.00363981-0.00128485i, +0.00132143-0.00108301i, -0.00087462-0.00023255i, +0.00058568-0.00183191i, -0.00072615-0.00179582i, +0.00121612+0.00291587i, +0.00077105-0.00074809i, -0.00298458+0.00010845i, -0.00121322+0.00077051i, -0.00209766-0.00031310i, -0.00077892-0.00068752i, +0.00154634+0.00131027i, -0.00165281+0.00279832i, +0.02256273+0.00000000i, +0.00010650+0.00104019i
