-0.00048110-0.00366681i, -0.00211551-0.00180576i, +0.00125206+0.00045181i, -0.00088351+0.00036055i, -0.00308820+0.00122492i, -0.00115809+0.00234088i, -0.00010397+0.00104510i, -0.00044638-0.00060634i, +0.00129851+0.00742966i, +0.00446722+0.00349578i, -0.00259038-0.00081194i, +0.00176894-0.00081132i, -0.00072715+0.00032488i, -0.00016571+0.00037422i, -0.00003002+0.00052995i, -0.00023844-0.00029656i, -0.00206435+0.00138183i, -0.00045706+0.00181152i, -0.00010091-0.00088839i, +0.00048023+0.00042454i, +0.00213939+0.00192913i, +0.00227086+0.00000000i, +0.00084466-0.00031818i, -0.00029695+0.00057491i, -0.00470758+0.00345004i, -0.00089177+0.00429797i, -0.00032570-0.00207527i, +0.00116971+0.00094853i, -0.00047485-0.00039287i, -0.00031642+0.00001348i, -0.00037787+0.00016102i, +0.00012388-0.00026714i
+0.00043857-0.00187481i, -0.00064279-0.00116559i, +0.00066786+0.00057008i, -0.00051688+0.00001406i, -0.00151898+0.00002636i, -0.00076766+0.00071676i, -0.00066547+0.00134513i, -0.00000101-0.00000360i, -0.00073092+0.00385813i, +0.00141088+0.00231920i, -0.00141030-0.00110361i, +0.00105195-0.00007351i, -0.00076643+0.00004598i, -0.00037221+0.00037843i, +0.00040712-0.00091941i, -0.00027565-0.00084047i, -0.00125938+0.00029437i, -0.00051030+0.00073417i, +0.00014429-0.00057189i, +0.00016242+0.00030700i, +0.00059917+0.00116002i, +0.00084466+0.00031818i, +0.00134080-0.00000000i, +0.00001659-0.00001496i, -0.00292677+0.00081691i, -0.00112445+0.00177438i, +0.00028153-0.00135686i, +0.00041195+0.00070440i, -0.00029488-0.00051581i, -0.00039019-0.00012831i, +0.00077740-0.00003311i, +0.00048836-0.00047958i
-0.00109313+0.00075951i, -0.00021736+0.00092916i, -0.00006727-0.00051267i, +0.00038092+0.00032515i, +0.00079207+0.00068969i, +0.00075282-0.00001307i, +0.00000347-0.00000138i, -0.00036017+0.00072803i, +0.00216141-0.00164243i, +0.00036225-0.00191211i, +0.00018155+0.00103877i, -0.00080438-0.00062946i, +0.00041478+0.00033122i, +0.00037984-0.00002279i, +0.00080758-0.00036082i, +0.00020251-0.00045733i, +0.00078287+0.00043190i, +0.00062416-0.00014589i, -0.00028863+0.00019320i, +0.00008230-0.00032619i, +0.00022942-0.00087296i, -0.00029695-0.00057491i, +0.00001659+0.00001496i, +0.00072441+0.00000000i, +0.00188084+0.00093556i, +0.00145052-0.00040486i, -0.00065819+0.00048237i, +0.00016057-0.00077390i, -0.00008740+0.00040134i, +0.00014614+0.00025564i, +0.00052737+0.00043632i, +0.00038669-0.00001647i
-0.04110037+0.07487982i, +0.01318813+0.05587688i, -0.01648346-0.02451033i, +0.01981009+0.00495282i, +0.01081446+0.00281715i, +0.00669368-0.00347571i, +0.00262333-0.00292190i, +0.00000586+0.00271464i, +0.08306862-0.16790843i, -0.03410214-0.12116873i, +0.03836191+0.05210863i, -0.04381963-0.00899340i, +0.02350935+0.00506661i, +0.01407330-0.00808585i, +0.00537266-0.00652240i, +0.00026119+0.00583601i, +0.06603915+0.00281279i, +0.03423042-0.02832066i, -0.01134408+0.01984322i, -0.00336235-0.01543962i, -0.00175690-0.00846749i, -0.00470758-0.00345004i, -0.00292677-0.00081691i, +0.00188084-0.00093556i, +0.15197361-0.00000000i, +0.07583775-0.06838460i, -0.02408965+0.04663878i, -0.00922380-0.03509751i, +0.00468969+0.01858703i, +0.01075121+0.00719665i, +0.00655891+0.00153310i, -0.00407720+0.00224938i
-0.05421977+0.01887772i, -0.02086756+0.03801812i, +0.00288439-0.02021510i, +0.00816929+0.01214745i, +0.00414719+0.00629974i, +0.00548925+0.00142994i, +0.00269957-0.00028566i, -0.00130014+0.00144811i, +0.11700798-0.04641067i, +0.04217655-0.08525238i, -0.00442852+0.04451325i, -0.01901235-0.02582530i, +0.00949347+0.01316483i, +0.01193298+0.00257173i, +0.00577800-0.00086138i, -0.00266272+0.00323254i, +0.03169830+0.03112875i, +0.03352952+0.00142812i, -0.01501078+0.00493597i, +0.00562218-0.00983440i, +0.00294640-0.00503814i, -0.00089177-0.00429797i, -0.00112445-0.00177438i, +0.00145052+0.00040486i, +0.07583775+0.06838460i, +0.07716178+0.00000000i, -0.03395974+0.01279255i, +0.01193895-0.02311442i, -0.00605007+0.01143577i, +0.00238041+0.00943448i, +0.00265768+0.00382362i, -0.00325063-0.00075981i
+0.02952806+0.00074468i, +0.01550489-0.01328791i, -0.00713384+0.01299699i, -0.00166629-0.00705991i, -0.00086436-0.00383044i, -0.00221710-0.00156644i, -0.00173295-0.00045143i, +0.00093587-0.00048595i, -0.06469687+0.00112281i, -0.03269650+0.03052836i, +0.01449564-0.02930035i, +0.00427651+0.01519492i, -0.00220916-0.00815640i, -0.00491028-0.00316486i, -0.00376722-0.00081189i, +0.00196765-0.00113052i, -0.00961569-0.02073596i, -0.01453670-0.00619448i, +0.01146250+0.00048822i, -0.00432493+0.00357825i, -0.00236017+0.00191388i, -0.00032570+0.00207527i, +0.00028153+0.00135686i, -0.00065819-0.00048237i, -0.02408965-0.04663878i, -0.03395974-0.01279255i, +0.02652068-0.00000000i, -0.00950978+0.00857518i, +0.00504648-0.00446126i, +0.00052556-0.00462678i, -0.00075149-0.00297845i, +0.00150317+0.00100620i
-0.01481538-0.01405256i, -0.01463426-0.00036907i, +0.00685054-0.00238515i, -0.00403357+0.00734867i, -0.00132956+0.00236676i, +0.00042838+0.00189839i, +0.00057984+0.00088080i, -0.00098840-0.00025748i, +0.03373612+0.02937543i, +0.03206409-0.00055647i, -0.01467315+0.00582004i, +0.00819143-0.01655752i, -0.00264185+0.00521036i, +0.00109487+0.00404235i, +0.00132732+0.00184063i, -0.00214868-0.00046307i, -0.00466303+0.01509780i, +0.00476559+0.01027685i, -0.00400500-0.00393304i, +0.00648105+0.00027605i, +0.00209779+0.00011004i, +0.00116971-0.00094853i, +0.00041195-0.00070440i, +0.00016057+0.00077390i, -0.00922380+0.03509751i, +0.01193895+0.02311442i, -0.00950978-0.00857518i, +0.01498668-0.00000000i, -0.00465631-0.00004583i, -0.00250106+0.00221102i, -0.00084589+0.00159889i, -0.00042862-0.00169879i
+0.00818346+0.00761051i, +0.00754139+0.00011593i, -0.00369552+0.00132759i, +0.00128271-0.00239248i, +0.00039911-0.00072713i, -0.00018295-0.00077513i, -0.00042848-0.00063713i, +0.00051495+0.00012874i, -0.01829159-0.01561339i, -0.01622480+0.00044135i, +0.00782390-0.00319278i, -0.00253878+0.00526135i, +0.00493770-0.00998069i, -0.00188561-0.00669977i, -0.00165706-0.00225085i, +0.00189281+0.00038847i, +0.00247054-0.00828744i, -0.00250732-0.00527043i, +0.00218888+0.00210764i, -0.00209955-0.00006873i, -0.00064128-0.00002731i, -0.00047485+0.00039287i, -0.00029488+0.00051581i, -0.00008740-0.00040134i, +0.00468969-0.01858703i, -0.00605007-0.01143577i, +0.00504648+0.00446126i, -0.00465631+0.00004583i, +0.00910703+0.00000000i, +0.00423000-0.00381429i, +0.00105224-0.00203718i, +0.00040290+0.00153306i
+0.00066206+0.00751316i, +0.00415379+0.00386297i, -0.00251195-0.00102926i, +0.00183152-0.00065796i, +0.00075214-0.00026187i, +0.00019693-0.00035878i, +0.00007498-0.00052548i, +0.00021235+0.00031576i, -0.00211147-0.01609287i, -0.00928452-0.00792511i, +0.00549502+0.00198291i, -0.00387756+0.00158236i, +0.00646971-0.00256618i, +0.00251853-0.00509076i, +0.00019129-0.00192277i, +0.00082125+0.00111553i, +0.00498389-0.00303725i, +0.00125400-0.00420657i, +0.00014806+0.00209545i, -0.00108482-0.00104456i, -0.00043972-0.00043182i, -0.00031642-0.00001348i, -0.00039019+0.00012831i, +0.00014614-0.00025564i, +0.01075121-0.00719665i, +0.00238041-0.00943448i, +0.00052556+0.00462678i, -0.00250106-0.00221102i, +0.00423000+0.00381429i, +0.00464497+0.00000000i, +0.00148336-0.00055878i, -0.00052149+0.00100964i
-0.00105634+0.00378200i, +0.00120857+0.00243077i, -0.00131135-0.00121953i, +0.00105440+0.00001621i, +0.00076756+0.00001936i, +0.00040304-0.00034541i, -0.00048382+0.00088147i, +0.00020318+0.00086086i, +0.00192481-0.00822814i, -0.00282105-0.00511555i, +0.00293111+0.00250194i, -0.00226846+0.00006171i, +0.00279461-0.00004850i, +0.00141234-0.00131868i, +0.00197567-0.00399346i, -0.00022783-0.00080949i, +0.00298564-0.00056508i, +0.00127126-0.00167234i, -0.00039589+0.00132801i, -0.00035056-0.00073688i, -0.00024995-0.00053902i, -0.00037787-0.00016102i, +0.00077740+0.00003311i, +0.00052737-0.00043632i, +0.00655891-0.00153310i, +0.00265768-0.00382362i, -0.00075149+0.00297845i, -0.00084589-0.00159889i, +0.00105224+0.00203718i, +0.00148336+0.00055878i, +0.00362725-0.00000000i, +0.00050202-0.00045268i
