-0.00120241+0.00047878i, -0.00146781-0.00228649i, -0.00290212+0.00324780i, +0.00326228+0.00127784i, +0.00210767-0.00561989i, +0.00059029+0.00224170i, -0.00054827-0.00572195i, +0.00374923-0.00087116i, -0.00025973-0.00029629i, -0.00229665-0.00190906i, +0.00376041-0.00362279i, +0.00212510+0.00136417i, -0.00019868-0.00430051i, +0.00398901-0.00195002i, -0.00070501+0.00494618i, +0.00377327-0.00020157i, -0.00503590-0.00120935i, -0.00452560+0.00539235i, -0.00211075+0.00090384i, -0.00186851+0.00047723i, +0.00217624+0.00069522i, +0.02794307+0.00000000i, -0.00407930-0.00183673i, +0.00388933+0.00402878i, -0.00518646+0.00023588i, +0.00782445+0.00583202i, +0.00643820+0.00570239i, -0.00339834-0.00285154i, +0.00658607-0.00094211i, +0.00150313+0.00439014i, -0.00004996+0.00113668i, -0.00772859+0.00106566i
+0.00064739+0.00195635i, -0.00214646-0.00139475i, +0.00576677-0.00044413i, +0.00129095-0.00251006i, -0.00332203-0.00036142i, +0.00007506+0.00108873i, -0.00093807+0.00376350i, -0.00269443-0.00050494i, -0.00042236-0.00118519i, +0.00028975+0.00174834i, -0.00340564-0.00213500i, -0.00149031-0.00247721i, -0.00246980+0.00205461i, -0.00149935-0.00186219i, +0.00179677-0.00157548i, -0.00191162-0.00195225i, +0.00270621+0.00392015i, +0.00309423+0.00208079i, -0.00179074-0.00374143i, +0.00069148-0.00030665i, -0.00191696-0.00103941i, -0.00407930+0.00183673i, +0.02428186-0.00000000i, +0.00037381-0.00337509i, +0.00083339+0.00179531i, -0.00009142-0.00493625i, -0.00005374-0.00679084i, +0.00006728+0.00368719i, -0.00347856-0.00365578i, +0.00315427-0.00229445i, -0.00138787+0.00360782i, +0.00191733+0.00283941i
-0.00162409+0.00246906i, +0.00167697-0.00889800i, +0.00346293+0.01025072i, +0.01283632+0.00231541i, -0.00381860-0.01327765i, -0.00181685+0.00504875i, -0.00927388-0.01120452i, +0.00850617-0.00810142i, -0.00240641-0.00381610i, -0.00795690+0.00025601i, +0.00355040-0.01465716i, +0.00773033-0.00501491i, -0.00561842-0.00714949i, +0.00226621-0.00920515i, +0.00290638+0.00854247i, +0.00745905-0.00769065i, -0.01605204+0.00807531i, +0.00592317+0.01844772i, +0.00718339-0.00267161i, +0.00238505+0.00630932i, -0.00107802-0.00331692i, +0.00388933-0.00402878i, +0.00037381+0.00337509i, +0.04109883+0.00000000i, -0.00476714+0.00847284i, +0.01868980-0.00488999i, +0.02544021+0.00312838i, -0.01389334+0.00311712i, +0.01304716-0.01290798i, +0.01275562+0.00350433i, -0.00301951+0.00096956i, -0.01139480+0.01653542i
+0.00195207+0.00100614i, -0.00474477+0.00193245i, +0.00437660-0.00491928i, -0.00313719-0.00484904i, -0.00405502+0.00708162i, +0.00138688+0.00087032i, -0.00282035+0.00765535i, -0.00603159-0.00069306i, -0.00433257-0.00170421i, +0.00384899+0.00469287i, -0.00882183+0.00310908i, -0.00362542-0.00304101i, -0.00045915+0.00147431i, -0.00608048+0.00148564i, +0.00158333-0.00468567i, -0.00601804-0.00112598i, +0.00819876+0.00562043i, +0.00910652-0.00464239i, -0.00219958-0.00353781i, +0.00280405-0.00298465i, +0.00131425-0.00163638i, -0.00518646-0.00023588i, +0.00083339-0.00179531i, -0.00476714-0.00847284i, +0.02962287-0.00000000i, -0.00785735-0.00797463i, -0.00617112-0.01723165i, +0.00758675+0.00541208i, -0.00934404-0.00201592i, -0.00226968-0.00933444i, +0.00356130+0.00045162i, +0.01253495+0.00072701i
-0.00202506+0.00426954i, +0.00310289-0.00801201i, -0.00058561+0.01423059i, +0.01065986+0.00420296i, -0.00247629-0.01640525i, -0.00081053+0.00673764i, -0.00643850-0.01306123i, +0.00887283-0.00732752i, -0.00022439-0.00354354i, -0.01243861-0.00629543i, +0.00710870-0.01631370i, +0.01215657-0.00228461i, -0.00467507-0.01065108i, +0.00596832-0.01165374i, +0.00157865+0.00880980i, +0.01107140-0.00485062i, -0.01628872+0.00676663i, -0.00169331+0.01873420i, +0.00801066-0.00203529i, +0.00127755+0.00830789i, -0.00016259-0.00260534i, +0.00782445-0.00583202i, -0.00009142+0.00493625i, +0.01868980+0.00488999i, -0.00785735+0.00797463i, +0.04801702+0.00000000i, +0.02809189+0.01408117i, -0.01823682+0.00557525i, +0.01921886-0.00813409i, +0.01375103+0.00810195i, -0.00390306+0.00176379i, -0.02378208+0.01622021i
-0.00046773+0.00446578i, +0.00108221-0.01411079i, +0.00587495+0.01698678i, +0.01582795+0.00134740i, -0.00889114-0.01774471i, -0.00242530+0.00676957i, -0.01581445-0.01582752i, +0.00751882-0.01480745i, -0.00044442-0.00689571i, -0.01453772+0.00160510i, -0.00136422-0.02577856i, +0.01430040-0.00730133i, -0.01033147-0.01007580i, +0.00111084-0.01412691i, +0.00529361+0.01209089i, +0.01141117-0.01275591i, -0.01528970+0.01534954i, +0.00442151+0.02378033i, +0.01055646-0.00545535i, +0.00779898+0.00751403i, -0.00181144-0.00241956i, +0.00643820-0.00570239i, -0.00005374+0.00679084i, +0.02544021-0.00312838i, -0.00617112+0.01723165i, +0.02809189-0.01408117i, +0.06727302-0.00000000i, -0.01928178+0.01196745i, +0.02418875-0.02415889i, +0.02475254-0.00020530i, -0.00131190+0.00285536i, -0.01552926+0.02655254i
+0.00128249-0.00170054i, -0.00271842+0.00663392i, +0.00131258-0.01090465i, -0.00650202-0.00362356i, -0.00092682+0.01147582i, +0.00333854-0.00359250i, +0.00480506+0.01036059i, -0.00651489+0.00241767i, -0.00008083+0.00372170i, +0.00595724+0.00334527i, -0.00599392+0.01044655i, -0.01223564-0.00308158i, +0.00119141+0.00709478i, -0.00400508+0.00673331i, -0.00012283-0.00495571i, -0.00798375+0.00499624i, +0.01267441-0.00232382i, +0.00397952-0.01247940i, -0.00848200+0.00140152i, +0.00194306-0.00392611i, +0.00019203+0.00180024i, -0.00339834+0.00285154i, +0.00006728-0.00368719i, -0.01389334-0.00311712i, +0.00758675-0.00541208i, -0.01823682-0.00557525i, -0.01928178-0.01196745i, +0.03854054+0.00000000i, -0.01264167+0.00473456i, -0.01035950-0.00625417i, +0.00090829+0.00066600i, +0.01565826-0.00630404i
-0.00105426+0.00128882i, +0.00777159-0.00573631i, -0.00451200+0.01025091i, +0.00627788+0.00877253i, +0.00484022-0.01183034i, -0.00363767+0.00334773i, +0.00084321-0.01395091i, +0.01038813-0.00314908i, +0.00427600-0.00281493i, -0.00664451-0.00663995i, +0.01113184-0.00952774i, +0.01038979+0.00320511i, -0.00214678-0.01342056i, +0.00867966-0.00571224i, -0.00339579+0.00778330i, +0.01185094-0.00041073i, -0.01314698-0.00163771i, -0.00833742+0.01352845i, +0.00571774+0.00141058i, -0.00190985+0.00531236i, +0.00004822-0.00235394i, +0.00658607+0.00094211i, -0.00347856+0.00365578i, +0.01304716+0.01290798i, -0.00934404+0.00201592i, +0.01921886+0.00813409i, +0.02418875+0.02415889i, -0.01264167-0.00473456i, +0.04380856-0.00000000i, +0.01145079+0.01062980i, -0.00225196-0.00299347i, -0.02120570+0.00582713i
-0.00032580+0.00308462i, +0.00132819-0.00772228i, +0.00399950+0.00809453i, +0.00872738-0.00087756i, -0.00483875-0.01112514i, -0.00185263+0.00433987i, -0.00755610-0.00686781i, +0.00300038-0.00694203i, +0.00035785-0.00335976i, -0.00463217+0.00057675i, +0.00005983-0.01165516i, +0.00631169-0.00267414i, -0.00545389-0.00445758i, -0.00137980-0.01157004i, +0.00316074+0.00493638i, +0.00559056-0.00644994i, -0.00741736+0.00667277i, +0.00281143+0.01167136i, +0.00420123-0.00440056i, +0.00269543+0.00244708i, -0.00059600-0.00031615i, +0.00150313-0.00439014i, +0.00315427+0.00229445i, +0.01275562-0.00350433i, -0.00226968+0.00933444i, +0.01375103-0.00810195i, +0.02475254+0.00020530i, -0.01035950+0.00625417i, +0.01145079-0.01062980i, +0.03593896+0.00000000i, -0.00419816+0.00311553i, -0.00940085+0.01604190i
+0.00082410+0.00002622i, -0.00052264+0.00196498i, -0.00105760-0.00075924i, -0.00309996-0.00176944i, -0.00102129+0.00272454i, -0.00028256-0.00024791i, -0.00029207+0.00174936i, -0.00223557+0.00036383i, -0.00088222-0.00049304i, +0.00116454+0.00078847i, -0.00420541+0.00189010i, -0.00072625+0.00067930i, +0.00101864+0.00076550i, -0.00200223+0.00109483i, -0.00066079-0.00624317i, -0.00077907-0.00050179i, +0.00253686-0.00015884i, +0.00228100-0.00222529i, -0.00211469+0.00032682i, -0.00125165-0.00259857i, +0.00103663-0.00114263i, -0.00004996-0.00113668i, -0.00138787-0.00360782i, -0.00301951-0.00096956i, +0.00356130-0.00045162i, -0.00390306-0.00176379i, -0.00131190-0.00285536i, +0.00090829-0.00066600i, -0.00225196+0.00299347i, -0.00419816-0.00311553i, +0.02416465-0.00000000i, +0.00255510+0.00057839i
