-0.00493381-0.00400192i, +0.00302234+0.00513064i, -0.00189859+0.00938514i, -0.00171538-0.00388106i, +0.00757250-0.00257769i, +0.01023947-0.00238444i, -0.01204303-0.00502562i, +0.00706521+0.00531816i, +0.00404298-0.00238345i, +0.01011257-0.01063327i, +0.00957552-0.00633143i, -0.00134213-0.00354832i, +0.00939302-0.00119957i, -0.00886497-0.01490745i, +0.00020549+0.00501518i, -0.00267762+0.00820894i, -0.02164521-0.00328705i, -0.00184304+0.00477622i, -0.00472128+0.00003112i, -0.01524266+0.00701090i, -0.00916993+0.00990083i, +0.03318007+0.00000000i, -0.01693234-0.01453641i, +0.00003392-0.01837311i, +0.01605098+0.00032616i, -0.01133235-0.00365807i, -0.01173516-0.00937865i, +0.00627713-0.01226634i, +0.00624855-0.01331691i, -0.00134697-0.00080097i, -0.00468356-0.00596362i, +0.01004470+0.00478294i
+0.01098234-0.00325524i, -0.00546932-0.00094840i, -0.00919121-0.01211548i, +0.00779437+0.00182961i, -0.00304886+0.00974836i, -0.00578473+0.01416409i, +0.01703991-0.01040221i, -0.01231628+0.00419054i, -0.00067157+0.00419615i, +0.00035155+0.02117996i, -0.00038213+0.01912245i, +0.00744693+0.00080212i, -0.01032004+0.01242883i, +0.01855400+0.00308910i, -0.00778805-0.00674233i, -0.00536999-0.00815140i, +0.02689663-0.02561210i, -0.00055641-0.00559733i, +0.00429390-0.01196491i, +0.00697692-0.02532798i, +0.00100446-0.02297553i, -0.01693234+0.01453641i, +0.04988862-0.00000000i, +0.01942723+0.01737423i, -0.01898243+0.02154019i, +0.01027693-0.00384789i, +0.02510933-0.00348434i, +0.00512322+0.01679035i, +0.01174837+0.02026843i, +0.00131463-0.00133920i, +0.01112327+0.00379511i, -0.01130615+0.00434700i
+0.00739280-0.00763455i, -0.00487742+0.00303050i, -0.01374451-0.00285183i, +0.00800282-0.00470945i, +0.00357021+0.00964792i, +0.00577555+0.01338064i, +0.00610405-0.01800911i, -0.00522250+0.01272193i, +0.00408601+0.00646734i, +0.01440953+0.01789731i, +0.00897265+0.01355182i, +0.00867074-0.00285446i, +0.00162631+0.01244755i, +0.01790431-0.01180707i, -0.00539714+0.00132714i, -0.01124534-0.00545444i, +0.00577927-0.03280149i, -0.00337086-0.00321106i, +0.00105389-0.00588351i, -0.00881566-0.03150464i, -0.01457367-0.01892402i, +0.00003392+0.01837311i, +0.01942723-0.01737423i, +0.04753768-0.00000000i, -0.00108582+0.02547458i, +0.00710063-0.01007980i, +0.01365513-0.01682180i, +0.02047827+0.00950514i, +0.02065766+0.00943779i, +0.00124401-0.00611762i, +0.00912950-0.00319726i, -0.00627228+0.01039169i
-0.01114565-0.01011414i, +0.00285827+0.00497218i, -0.00260013+0.01519165i, -0.00409551-0.00764416i, +0.00826284-0.00503279i, +0.01358552-0.00481108i, -0.01797906-0.00417538i, +0.01110111+0.00673266i, +0.00596819-0.00164961i, +0.01799378-0.01575450i, +0.01495305-0.01145267i, -0.00426060-0.00829357i, +0.01432535-0.00174135i, -0.01065473-0.01505748i, +0.00071726+0.00705399i, -0.00194331+0.00893998i, -0.03656011-0.00387447i, -0.00401593+0.00217153i, -0.00839506+0.00157865i, -0.02415688+0.01132544i, -0.01944277+0.01275520i, +0.01605098-0.00032616i, -0.01898243-0.02154019i, -0.00108582-0.02547458i, +0.04757840-0.00000000i, -0.00904411-0.00645014i, -0.01843563-0.01726596i, +0.01241253-0.02036008i, +0.00777397-0.02645233i, -0.00291493-0.00177695i, -0.00381190-0.00915796i, +0.01127128+0.00610023i
+0.00426389+0.00001646i, -0.00468403-0.00447177i, -0.00217835-0.00669254i, +0.00333711-0.00006375i, -0.00366728+0.00280922i, -0.00471517+0.00350547i, +0.00798136-0.00039143i, -0.00241155-0.00076432i, -0.00259010+0.00244637i, -0.00239087+0.01121141i, -0.00398612+0.00578231i, +0.00230979+0.00308749i, -0.00455165+0.00243575i, +0.00859612+0.00326981i, -0.00129515-0.00218425i, -0.00018283-0.00447017i, +0.01117567-0.00315955i, -0.00090060-0.00182573i, +0.00345199-0.00092740i, +0.00799913-0.00937652i, +0.00323414-0.00734251i, -0.01133235+0.00365807i, +0.01027693+0.00384789i, +0.00710063+0.01007980i, -0.00904411+0.00645014i, +0.02463051-0.00000000i, +0.01591977+0.00408694i, +0.00028344+0.00904779i, +0.00017193+0.01123081i, +0.00202461-0.00754648i, +0.00202195+0.00270458i, -0.00545208-0.00234059i
+0.01068580-0.00053109i, -0.00580301-0.00068473i, -0.00880714-0.01433037i, +0.00696250+0.00368340i, -0.00649299+0.00720765i, -0.00693179+0.01080769i, +0.01519169-0.00492610i, -0.01111398+0.00090118i, -0.00284034+0.00649425i, -0.00349552+0.01951684i, -0.00353548+0.01797435i, +0.00742478+0.00270674i, -0.00882552+0.00845058i, +0.01546918+0.00540264i, -0.00637319-0.00351800i, -0.00201753-0.00754342i, +0.02634222-0.01349401i, +0.00493185-0.00418725i, +0.00419482-0.00385388i, +0.01169127-0.01884746i, +0.00198024-0.02015398i, -0.01173516+0.00937865i, +0.02510933+0.00348434i, +0.01365513+0.01682180i, -0.01843563+0.01726596i, +0.01591977-0.00408694i, +0.04331274+0.00000000i, +0.00256335+0.01783258i, +0.00554722+0.02592300i, +0.00475979-0.00345362i, +0.00551940+0.00758862i, -0.01238257+0.00004928i
+0.00138174-0.00706438i, -0.00235158+0.00435167i, -0.00912372+0.00356603i, +0.00172213-0.00748030i, +0.00569752+0.00467700i, +0.00950818+0.00664949i, -0.00269511-0.01164966i, +0.00040117+0.00968794i, +0.00380435+0.00325613i, +0.01589694+0.00465779i, +0.01010396+0.00599124i, +0.00369532-0.00324480i, +0.00560850+0.00743760i, +0.00673738-0.01230612i, -0.00298918+0.00294021i, -0.00794186+0.00115632i, -0.00851246-0.02056840i, -0.00659341-0.00183055i, -0.00258658-0.00377146i, -0.01761376-0.01132159i, -0.01304013-0.00606014i, +0.00627713+0.01226634i, +0.00512322-0.01679035i, +0.02047827-0.00950514i, +0.01241253+0.02036008i, +0.00028344-0.00904779i, +0.00256335-0.01783258i, +0.03181178-0.00000000i, +0.01694920-0.00136891i, +0.00034056-0.00475344i, +0.00480533-0.00513129i, -0.00059688+0.01149086i
+0.00514554-0.00920574i, -0.00213597+0.00352771i, -0.01392732+0.00269791i, +0.00597666-0.00533281i, +0.00998073+0.00862876i, +0.00853592+0.01050084i, -0.00069541-0.01697048i, -0.00332468+0.01169861i, +0.00569270+0.00296121i, +0.01656873+0.00948467i, +0.01436217+0.00848416i, +0.00566712-0.00593161i, +0.00668877+0.01277379i, +0.01196069-0.01496553i, -0.00564549+0.00182900i, -0.00967352+0.00075001i, -0.00631910-0.03050585i, -0.00403121-0.00440036i, -0.00238539-0.01059639i, -0.01460513-0.01741852i, -0.01607322-0.00831738i, +0.00624855+0.01331691i, +0.01174837-0.02026843i, +0.02065766-0.00943779i, +0.00777397+0.02645233i, +0.00017193-0.01123081i, +0.00554722-0.02592300i, +0.01694920+0.00136891i, +0.04457528+0.00000000i, -0.00138243-0.00651665i, +0.00617445-0.00366955i, -0.00716970+0.01695869i
+0.00183112+0.00166140i, +0.00014832-0.00088579i, +0.00002877-0.00221984i, +0.00298877+0.00220624i, -0.00160164+0.00059837i, +0.00054531+0.00275216i, +0.00264681+0.00002640i, -0.00278679+0.00258296i, -0.00050546+0.00042735i, -0.00196531+0.00255924i, -0.00101869+0.00116232i, -0.00085545+0.00033163i, -0.00196732+0.00110410i, +0.00493009+0.00449241i, -0.00116253-0.00101609i, -0.00000916-0.00059198i, +0.00380271-0.00012869i, +0.00044097-0.00461558i, +0.00224126-0.00032963i, +0.00375644+0.00042969i, +0.00105113-0.00293217i, -0.00134697+0.00080097i, +0.00131463+0.00133920i, +0.00124401+0.00611762i, -0.00291493+0.00177695i, +0.00202461+0.00754648i, +0.00475979+0.00345362i, +0.00034056+0.00475344i, -0.00138243+0.00651665i, +0.01988043+0.00000000i, -0.00451354-0.00190491i, -0.00187352+0.00112329i
+0.00295810-0.00379943i, -0.00167402+0.00067054i, -0.00521477-0.00245149i, +0.00226540-0.00066970i, -0.00080522+0.00535977i, -0.00010633+0.00452673i, +0.00667274-0.00345898i, -0.00373076+0.00333926i, +0.00177021+0.00351529i, +0.00335355+0.00740899i, +0.00177256+0.00735043i, +0.00284418-0.00115947i, -0.00101954+0.00482862i, +0.00693687-0.00193861i, -0.00029892+0.00294126i, -0.00210124-0.00302596i, +0.00646013-0.01463299i, -0.00115395-0.00121145i, +0.00171483+0.00184582i, -0.00139548-0.01015398i, -0.00414869-0.00512270i, -0.00468356+0.00596362i, +0.01112327-0.00379511i, +0.00912950+0.00319726i, -0.00381190+0.00915796i, +0.00202195-0.00270458i, +0.00551940-0.00758862i, +0.00480533+0.00513129i, +0.00617445+0.00366955i, -0.00451354+0.00190491i, +0.02408323-0.00000000i, -0.00238251+0.00555503i
