+0.00154353-0.00091404i, -0.00112889+0.00012832i, -0.00090001-0.00031334i, +0.00014031+0.00012610i, -0.00053909+0.00033792i, +0.00096453+0.00058710i, +0.00037510+0.00059215i, +0.00002121-0.00078900i, +0.00009801+0.00006624i, +0.00016871+0.00104439i, -0.00016142+0.00019116i, +0.00113862+0.00028190i, +0.00003973+0.00004365i, -0.00060329+0.00005290i, -0.00046328-0.00030603i, +0.00035155+0.00021969i, -0.00125171+0.00027717i, -0.00044324-0.00100610i, -0.00112097+0.00051619i, +0.00049028+0.00046868i, -0.00010746-0.00006758i, +0.03006692-0.00000000i, +0.00001634-0.00051748i, -0.00043302-0.00056643i, +0.00034574+0.00029228i, +0.00067883+0.00082921i, -0.00013606+0.00064311i, +0.00050717+0.00077226i, +0.00137741+0.00013227i, +0.00066370+0.00068953i, -0.00012552+0.00140307i, +0.00086733-0.00067030i
+0.00038373+0.00145816i, -0.00018445-0.00019629i, +0.00117494-0.00109117i, -0.00019559+0.00003709i, -0.00030922-0.00081596i, -0.00009554+0.00073388i, +0.00014817+0.00177072i, +0.00069163-0.00007244i, +0.00004836-0.00014387i, -0.00085919-0.00020341i, -0.00004197-0.00052326i, +0.00016672+0.00109481i, +0.00006045+0.00010504i, +0.00013169-0.00053002i, -0.00003472-0.00041141i, -0.00049117-0.00013185i, -0.00016079-0.00154191i, +0.00064458-0.00056944i, -0.00135189-0.00116270i, -0.00100569+0.00041290i, -0.00093413-0.00042952i, +0.00001634+0.00051748i, +0.03026561-0.00000000i, -0.00048252-0.00124979i, -0.00029674+0.00019730i, -0.00092844+0.00045892i, -0.00083169+0.00004515i, -0.00016262+0.00040567i, +0.00004777+0.00026068i, -0.00048480+0.00014234i, -0.00157906+0.00051262i, +0.00076995+0.00062156i
-0.00092402+0.00016507i, +0.00044228-0.00000780i, +0.00062818+0.00014511i, +0.00029496-0.00071591i, +0.00042519+0.00000214i, -0.00065830+0.00003925i, -0.00060867-0.00052557i, +0.00024018+0.00142653i, -0.00007537-0.00048362i, -0.00006550-0.00063542i, +0.00030560-0.00010408i, -0.00074068-0.00008612i, -0.00015566-0.00011675i, +0.00009415-0.00038958i, +0.00045514+0.00008944i, -0.00070304-0.00062414i, +0.00098788+0.00022942i, -0.00007388+0.00038437i, +0.00049699-0.00078880i, -0.00017634-0.00121882i, -0.00027452-0.00032222i, -0.00043302+0.00056643i, -0.00048252+0.00124979i, +0.03034781+0.00000000i, -0.00112986+0.00001737i, -0.00041542+0.00018715i, -0.00000747-0.00023606i, -0.00020098-0.00006852i, -0.00072739-0.00003815i, +0.00002036-0.00010212i, +0.00000718-0.00102618i, -0.00068177+0.00091096i
+0.00274691-0.00171135i, -0.00129618-0.00008970i, -0.00139995-0.00000462i, +0.00053759+0.00070477i, -0.00031371+0.00056711i, +0.00150702-0.00019587i, +0.00154678+0.00028658i, -0.00067022-0.00107757i, +0.00025507+0.00058408i, +0.00023805+0.00178417i, -0.00013382+0.00010937i, +0.00242785-0.00027062i, -0.00009847+0.00009693i, -0.00112217-0.00011622i, -0.00016378-0.00019637i, -0.00013277+0.00060421i, -0.00237476+0.00157748i, -0.00100598-0.00099943i, -0.00058629+0.00055237i, +0.00037112+0.00074844i, +0.00128509+0.00160283i, +0.00034574-0.00029228i, -0.00029674-0.00019730i, -0.00112986-0.00001737i, +0.03127501-0.00000000i, +0.00033783+0.00213249i, +0.00054646+0.00091684i, +0.00036890+0.00035906i, +0.00234968-0.00086521i, +0.00073318+0.00041227i, +0.00071457+0.00141062i, +0.00160900-0.00115304i
-0.00082561-0.00263914i, -0.00019912+0.00136475i, -0.00070848+0.00165383i, +0.00050759-0.00006575i, +0.00062023+0.00061067i, -0.00011426-0.00162727i, +0.00095060-0.00168386i, -0.00134725+0.00003878i, -0.00005866-0.00069762i, +0.00193426+0.00041197i, -0.00014898+0.00054599i, -0.00007422-0.00278650i, -0.00008226-0.00011662i, -0.00064181+0.00115087i, -0.00047432+0.00059342i, +0.00141162-0.00003079i, +0.00083620+0.00228573i, -0.00128852+0.00095519i, +0.00093698+0.00134434i, +0.00107050-0.00036423i, +0.00196082-0.00035446i, +0.00067883-0.00082921i, -0.00092844-0.00045892i, -0.00041542-0.00018715i, +0.00033783-0.00213249i, +0.03160550+0.00000000i, +0.00070805-0.00035535i, -0.00004188-0.00066047i, -0.00020235-0.00203177i, +0.00113693-0.00107031i, +0.00289657-0.00017770i, -0.00083346-0.00165781i
+0.00100875-0.00211134i, -0.00053111+0.00038305i, -0.00064704+0.00042926i, +0.00041305+0.00049119i, +0.00048575+0.00144756i, +0.00072103-0.00073537i, +0.00091377-0.00073334i, -0.00103901+0.00001921i, +0.00002161-0.00005247i, +0.00149440+0.00052518i, -0.00041981+0.00019585i, +0.00115999-0.00166398i, -0.00004456+0.00023498i, -0.00053406+0.00023786i, -0.00022549+0.00044133i, +0.00043256+0.00043425i, -0.00112853+0.00158738i, -0.00125056+0.00016731i, -0.00015769+0.00146510i, +0.00047939+0.00011257i, +0.00084562+0.00069782i, -0.00013606-0.00064311i, -0.00083169-0.00004515i, -0.00000747+0.00023606i, +0.00054646-0.00091684i, +0.00070805+0.00035535i, +0.03013513-0.00000000i, +0.00092138-0.00067021i, +0.00052627-0.00067895i, +0.00104367-0.00078983i, +0.00158962+0.00059368i, -0.00019492-0.00143004i
+0.00043475-0.00115409i, -0.00071500+0.00060521i, -0.00069497+0.00035526i, +0.00029532+0.00000968i, +0.00041833+0.00055141i, -0.00037453-0.00066831i, +0.00050850-0.00008895i, -0.00047769-0.00041043i, +0.00025822-0.00008746i, +0.00065091+0.00032783i, +0.00020337-0.00002170i, +0.00044483-0.00048805i, +0.00001823+0.00004115i, -0.00023380-0.00010471i, -0.00026989+0.00003635i, +0.00020067+0.00005337i, -0.00055107+0.00054049i, -0.00094012-0.00000482i, +0.00021224+0.00067849i, -0.00033054+0.00082700i, +0.00003107-0.00027391i, +0.00050717-0.00077226i, -0.00016262-0.00040567i, -0.00020098+0.00006852i, +0.00036890-0.00035906i, -0.00004188+0.00066047i, +0.00092138+0.00067021i, +0.02991676-0.00000000i, +0.00089476-0.00083995i, +0.00033484-0.00034841i, +0.00069643+0.00042087i, +0.00004661-0.00135523i
+0.00336558-0.00112015i, -0.00191595-0.00012704i, -0.00107478-0.00106704i, -0.00016894+0.00064755i, -0.00040179+0.00071344i, +0.00150991-0.00007095i, +0.00156490+0.00110262i, -0.00050813-0.00127979i, +0.00053123+0.00035635i, +0.00013784+0.00176648i, -0.00014208+0.00016988i, +0.00270372-0.00045250i, -0.00027901+0.00049232i, -0.00098275-0.00011892i, -0.00018518+0.00005783i, +0.00052155+0.00137622i, -0.00269460+0.00046359i, -0.00046453-0.00120902i, -0.00055899+0.00149934i, +0.00038994+0.00133634i, +0.00030617+0.00163273i, +0.00137741-0.00013227i, +0.00004777-0.00026068i, -0.00072739+0.00003815i, +0.00234968+0.00086521i, -0.00020235+0.00203177i, +0.00052627+0.00067895i, +0.00089476+0.00083995i, +0.03201626-0.00000000i, +0.00116949+0.00128855i, +0.00080842+0.00264333i, +0.00150525-0.00196536i
+0.00086008-0.00172242i, -0.00109754+0.00082531i, -0.00065079+0.00013765i, -0.00017355+0.00061550i, -0.00019885+0.00079138i, +0.00138230-0.00062780i, +0.00090190+0.00022054i, -0.00054007-0.00056549i, +0.00076421-0.00009113i, +0.00100818+0.00097713i, +0.00049436+0.00037065i, +0.00137625-0.00099080i, +0.00011630-0.00006190i, -0.00080199+0.00034737i, -0.00073554-0.00032249i, +0.00052709+0.00041936i, -0.00113369+0.00114745i, -0.00160037-0.00146958i, -0.00073077+0.00063753i, +0.00015996-0.00037900i, +0.00097174+0.00085690i, +0.00066370-0.00068953i, -0.00048480-0.00014234i, +0.00002036+0.00010212i, +0.00073318-0.00041227i, +0.00113693+0.00107031i, +0.00104367+0.00078983i, +0.00033484+0.00034841i, +0.00116949-0.00128855i, +0.03073233+0.00000000i, +0.00096822+0.00124237i, +0.00101547-0.00174699i
-0.00013689-0.00389475i, -0.00042159+0.00127746i, -0.00050481+0.00164354i, +0.00090394+0.00046219i, +0.00093129+0.00080007i, +0.00036940-0.00180254i, +0.00129407-0.00151928i, -0.00136132-0.00007200i, +0.00074709-0.00054217i, +0.00264241+0.00022878i, +0.00015792+0.00074521i, +0.00052149-0.00331915i, -0.00032069+0.00012689i, -0.00054556+0.00064338i, -0.00061064+0.00076372i, +0.00130049+0.00017437i, +0.00030309+0.00349019i, -0.00204748+0.00043201i, +0.00081894+0.00229804i, +0.00088913+0.00001784i, +0.00229817+0.00062464i, -0.00012552-0.00140307i, -0.00157906-0.00051262i, +0.00000718+0.00102618i, +0.00071457-0.00141062i, +0.00289657+0.00017770i, +0.00158962-0.00059368i, +0.00069643-0.00042087i, +0.00080842-0.00264333i, +0.00096822-0.00124237i, +0.03223131-0.00000000i, -0.00142309-0.00342270i
