-0.00025672-0.00088338i, +0.00063265+0.00046299i, +0.00152158-0.00048078i, +0.00121644-0.00025553i, +0.00059405-0.00033743i, +0.00084143+0.00036582i, -0.00119754-0.00061937i, -0.00070859-0.00036919i, -0.00049833+0.00021783i, +0.00184405+0.00099248i, -0.00008077-0.00105431i, +0.00166571-0.00125997i, -0.00046848+0.00011214i, +0.00054481-0.00092759i, -0.00014803-0.00006381i, +0.00002723+0.00094985i, -0.00009952+0.00070206i, -0.00005669+0.00160943i, -0.00139845+0.00013843i, +0.00069022+0.00036438i, +0.00026389+0.00119990i, +0.03114563-0.00000000i, -0.00097971-0.00008306i, -0.00051483+0.00023602i, -0.00103354-0.00000552i, +0.00093872-0.00001547i, +0.00057563-0.00034359i, +0.00021551+0.00156371i, +0.00030291+0.00246493i, +0.00008656+0.00147285i, -0.00034772-0.00197759i, -0.00057065-0.00091272i
-0.00002748-0.00011909i, -0.00014519+0.00005995i, -0.00029118+0.00017215i, +0.00005715-0.00009368i, -0.00011962-0.00001739i, +0.00002453-0.00021287i, +0.00011437+0.00049477i, +0.00028523-0.00024529i, -0.00015823-0.00004254i, -0.00042624+0.00019293i, +0.00010233+0.00029355i, -0.00018358+0.00012556i, +0.00015741+0.00024313i, -0.00013267-0.00005399i, -0.00016888+0.00061915i, +0.00002279-0.00028891i, +0.00036607+0.00021119i, -0.00041105-0.00031296i, -0.00020134+0.00002521i, -0.00059165-0.00002984i, -0.00112756+0.00053805i, -0.00097971+0.00008306i, +0.03009749-0.00000000i, -0.00016089-0.00034949i, +0.00014113+0.00013224i, -0.00029635+0.00022504i, +0.00034454-0.00011917i, -0.00015495-0.00026141i, -0.00007059-0.00022196i, +0.00034192-0.00010498i, +0.00034672+0.00085552i, +0.00007887-0.00021187i
+0.00031258+0.00017713i, +0.00005192+0.00005212i, -0.00009106+0.00014581i, -0.00012067+0.00041344i, -0.00037362+0.00030566i, +0.00021723-0.00009040i, +0.00025701+0.00025289i, +0.00008943+0.00052971i, -0.00026087-0.00012002i, -0.00018125-0.00018677i, +0.00024022-0.00035489i, -0.00029954+0.00022269i, +0.00006098-0.00014958i, -0.00005229+0.00016574i, -0.00020313-0.00017581i, -0.00028868+0.00014726i, -0.00012011+0.00022650i, -0.00022631-0.00027840i, +0.00026189-0.00011221i, -0.00010249+0.00033977i, -0.00013992-0.00029988i, -0.00051483-0.00023602i, -0.00016089+0.00034949i, +0.03000691-0.00000000i, +0.00031581+0.00005420i, -0.00003514+0.00000722i, -0.00002496-0.00005020i, +0.00015927+0.00031073i, +0.00001727-0.00020612i, -0.00036621+0.00020493i, +0.00019725+0.00042488i, +0.00040425+0.00034103i
+0.00103826+0.00062845i, -0.00097422-0.00014790i, -0.00180965+0.00094628i, -0.00119992+0.00055754i, -0.00023927+0.00047143i, -0.00070595-0.00008572i, +0.00121447+0.00058104i, +0.00075763+0.00025865i, -0.00022284-0.00099647i, -0.00204967-0.00045591i, +0.00061575+0.00092274i, -0.00122659+0.00183679i, +0.00016382-0.00033983i, -0.00034167+0.00087774i, +0.00026875-0.00029572i, -0.00006769-0.00101114i, +0.00004007-0.00135705i, -0.00063847-0.00177341i, +0.00109803-0.00072720i, -0.00097768-0.00013682i, -0.00047148-0.00116963i, -0.00103354+0.00000552i, +0.00014113-0.00013224i, +0.00031581-0.00005420i, +0.03218039-0.00000000i, -0.00102885-0.00003701i, +0.00033654+0.00077000i, -0.00018783-0.00151418i, -0.00100599-0.00196592i, -0.00099799-0.00133638i, +0.00117690+0.00200552i, +0.00036889+0.00083978i
-0.00009439-0.00041920i, +0.00033863+0.00030480i, +0.00090916-0.00002252i, +0.00059522-0.00011866i, +0.00041878-0.00019894i, +0.00062640-0.00007345i, -0.00050132-0.00031645i, -0.00015978-0.00036583i, -0.00026790+0.00048089i, +0.00115305-0.00054432i, +0.00007025-0.00045248i, +0.00064474-0.00069303i, -0.00014076+0.00000653i, +0.00049307-0.00039826i, -0.00020060+0.00024940i, +0.00005463+0.00057480i, -0.00036946+0.00049559i, -0.00013822+0.00068143i, -0.00088156+0.00016508i, +0.00032425+0.00032383i, +0.00051442+0.00085348i, +0.00093872+0.00001547i, -0.00029635-0.00022504i, -0.00003514-0.00000722i, -0.00102885+0.00003701i, +0.03036849-0.00000000i, +0.00088959-0.00031821i, +0.00105588+0.00079440i, +0.00043745+0.00092119i, +0.00056368+0.00044635i, -0.00051627-0.00131720i, -0.00063099-0.00052763i
-0.00006350-0.00007640i, +0.00017174+0.00075100i, +0.00140254+0.00061757i, +0.00071777+0.00064935i, +0.00035641+0.00007095i, +0.00041931+0.00056141i, -0.00007328-0.00068370i, -0.00004793-0.00011178i, -0.00023620+0.00025329i, +0.00013678+0.00085834i, +0.00046742-0.00146518i, +0.00158113+0.00066738i, -0.00001443+0.00002496i, +0.00049247+0.00001653i, -0.00018863-0.00040704i, -0.00031464+0.00053382i, -0.00078376+0.00042317i, +0.00008667+0.00047286i, -0.00053874-0.00124913i, +0.00056541-0.00018480i, -0.00029193+0.00108812i, +0.00057563+0.00034359i, +0.00034454+0.00011917i, -0.00002496+0.00005020i, +0.00033654-0.00077000i, +0.00088959+0.00031821i, +0.03110500-0.00000000i, -0.00067695+0.00084674i, -0.00083350+0.00169439i, -0.00028617+0.00076930i, +0.00071173-0.00114694i, -0.00002782-0.00082141i
-0.00054909+0.00022788i, +0.00064277-0.00034704i, -0.00009406-0.00170974i, +0.00046319-0.00110602i, -0.00020618-0.00036120i, +0.00047214-0.00065378i, -0.00095695+0.00101862i, -0.00035562+0.00061670i, +0.00021151+0.00036784i, +0.00076331-0.00137874i, -0.00125672+0.00004871i, -0.00102914-0.00259934i, +0.00021200+0.00018238i, -0.00090350-0.00131120i, +0.00013352+0.00047910i, +0.00101278+0.00011598i, +0.00071530+0.00052568i, +0.00092561-0.00076157i, -0.00039013+0.00085341i, +0.00063524-0.00089818i, +0.00111858-0.00006774i, +0.00021551-0.00156371i, -0.00015495+0.00026141i, +0.00015927-0.00031073i, -0.00018783+0.00151418i, +0.00105588-0.00079440i, -0.00067695-0.00084674i, +0.03164425+0.00000000i, +0.00162774+0.00016882i, +0.00112317-0.00061475i, -0.00196423+0.00006721i, -0.00088458+0.00052862i
-0.00133526+0.00047595i, +0.00062514-0.00067808i, -0.00003152-0.00289902i, +0.00057703-0.00199821i, +0.00000429-0.00114354i, +0.00037958-0.00096960i, -0.00157878+0.00139288i, -0.00088459+0.00085570i, +0.00062590+0.00056857i, +0.00218473-0.00197830i, -0.00130516-0.00019245i, -0.00112160-0.00292975i, +0.00023790-0.00025054i, -0.00143859-0.00170102i, -0.00043515+0.00052429i, +0.00179635+0.00037629i, +0.00158236+0.00036284i, +0.00184566+0.00011721i, -0.00000678+0.00206077i, +0.00019291-0.00094808i, +0.00262174-0.00059665i, +0.00030291-0.00246493i, -0.00007059+0.00022196i, +0.00001727+0.00020612i, -0.00100599+0.00196592i, +0.00043745-0.00092119i, -0.00083350-0.00169439i, +0.00162774-0.00016882i, +0.03320295-0.00000000i, +0.00182655-0.00074813i, -0.00354682-0.00048622i, -0.00160394+0.00068424i
-0.00099414-0.00036811i, +0.00066283-0.00050436i, +0.00034603-0.00133017i, +0.00065611-0.00089048i, +0.00050130-0.00064547i, +0.00025381-0.00043297i, -0.00091975+0.00040656i, -0.00047994-0.00001921i, +0.00023984+0.00011133i, +0.00145137-0.00091979i, -0.00064152-0.00020478i, +0.00014575-0.00177199i, +0.00014460+0.00057551i, -0.00071489-0.00182845i, -0.00005936+0.00038277i, +0.00071036+0.00079753i, +0.00051544+0.00019582i, +0.00200260+0.00009657i, -0.00033170+0.00079006i, +0.00093795-0.00068823i, +0.00123672+0.00033299i, +0.00008656-0.00147285i, +0.00034192+0.00010498i, -0.00036621-0.00020493i, -0.00099799+0.00133638i, +0.00056368-0.00044635i, -0.00028617-0.00076930i, +0.00112317+0.00061475i, +0.00182655+0.00074813i, +0.03171913-0.00000000i, -0.00207145-0.00043983i, -0.00140233-0.00015414i
+0.00126616-0.00047461i, -0.00084168+0.00089367i, -0.00041107+0.00316774i, -0.00000469+0.00200829i, +0.00049642+0.00110028i, -0.00051323+0.00103560i, +0.00106165-0.00123306i, +0.00053653-0.00102856i, -0.00033032-0.00055345i, -0.00193433+0.00179815i, +0.00158499+0.00039233i, +0.00078864+0.00261453i, -0.00006617-0.00040402i, +0.00145220+0.00141986i, -0.00007885-0.00152071i, -0.00145708-0.00068894i, -0.00153291-0.00038692i, -0.00152439-0.00000754i, -0.00077312-0.00130653i, -0.00044206+0.00072705i, -0.00144364+0.00027680i, -0.00034772+0.00197759i, +0.00034672-0.00085552i, +0.00019725-0.00042488i, +0.00117690-0.00200552i, -0.00051627+0.00131720i, +0.00071173+0.00114694i, -0.00196423-0.00006721i, -0.00354682+0.00048622i, -0.00207145+0.00043983i, +0.03373228-0.00000000i, +0.00220232-0.00063847i
