-0.00068165+0.00034295i, +0.00022649-0.00056399i, -0.00005713+0.00052564i, +0.00091326-0.00131229i, +0.00071083+0.00028289i, -0.00049148-0.00100131i, +0.00147242-0.00008251i, +0.00027136+0.00078049i, -0.00100073+0.00064188i, -0.00150067+0.00100258i, -0.00097948-0.00074397i, +0.00003982+0.00041218i, -0.00020487+0.00065841i, +0.00002550-0.00047263i, -0.00033132-0.00021159i, -0.00032861+0.00091259i, -0.00057954-0.00128059i, +0.00034995-0.00047014i, +0.00064137+0.00051932i, +0.00076675+0.00102922i, -0.00102161+0.00117357i, +0.02897093-0.00000000i, -0.00082269-0.00080971i, +0.00061790-0.00038595i, -0.00137651-0.00086652i, -0.00054425+0.00004846i, -0.00071951+0.00031915i, -0.00021003+0.00109660i, -0.00011485-0.00010666i, -0.00056843+0.00030057i, -0.00016739+0.00125441i, -0.00131084-0.00099809i
-0.00019326+0.00255954i, -0.00185449-0.00000510i, +0.00013890+0.00113196i, -0.00110221-0.00073634i, +0.00093022-0.00034570i, -0.00352695+0.00145301i, +0.00235585-0.00115424i, +0.00162487-0.00014203i, -0.00105474+0.00202230i, -0.00005555+0.00221150i, -0.00284857+0.00157108i, +0.00039613+0.00126510i, +0.00046998+0.00080214i, -0.00089334+0.00058339i, +0.00067974+0.00099177i, +0.00017026-0.00001317i, -0.00026828+0.00072107i, -0.00118540+0.00019160i, -0.00086725-0.00345127i, +0.00159669-0.00143258i, +0.00207733+0.00194150i, -0.00082269+0.00080971i, +0.03158121-0.00000000i, +0.00037918-0.00028924i, -0.00270048-0.00103735i, -0.00019835+0.00100188i, +0.00086230+0.00181926i, -0.00139882+0.00031166i, +0.00011189+0.00092686i, -0.00216854+0.00099349i, +0.00314965+0.00217829i, -0.00157551-0.00007175i
-0.00040906+0.00094070i, -0.00107760-0.00144665i, -0.00041519+0.00100025i, +0.00190250-0.00103345i, +0.00007921-0.00010958i, -0.00196073-0.00153491i, +0.00085833+0.00076776i, +0.00143155+0.00073229i, -0.00150689+0.00052387i, -0.00173828+0.00060332i, -0.00158491-0.00080559i, -0.00084765+0.00092125i, -0.00041769+0.00062724i, -0.00055575-0.00081191i, +0.00060407+0.00009065i, +0.00035917+0.00046147i, -0.00032471+0.00059854i, -0.00046433-0.00120593i, +0.00138940+0.00018634i, +0.00191743-0.00014312i, -0.00006502+0.00160109i, +0.00061790+0.00038595i, +0.00037918+0.00028924i, +0.02775516+0.00000000i, -0.00066334-0.00174390i, -0.00034273-0.00040347i, -0.00026720+0.00034637i, -0.00007216+0.00035741i, -0.00034862-0.00046648i, -0.00127311-0.00106785i, -0.00048979+0.00240134i, -0.00107620-0.00148163i
-0.00095572-0.00433032i, +0.00403668-0.00199825i, -0.00092339-0.00328774i, +0.00193692+0.00215311i, -0.00139936+0.00030448i, +0.00448439-0.00486428i, -0.00179936+0.00351607i, -0.00280021+0.00197042i, +0.00029408-0.00732831i, -0.00248427-0.00588700i, +0.00383674-0.00498089i, -0.00050237-0.00140471i, -0.00289445-0.00054344i, +0.00116968-0.00134916i, -0.00135558-0.00121821i, -0.00132846+0.00041931i, +0.00039964-0.00048615i, +0.00139031-0.00091529i, +0.00262674+0.00347683i, -0.00084068+0.00307162i, -0.00332717-0.00085361i, -0.00137651+0.00086652i, -0.00270048+0.00103735i, -0.00066334+0.00174390i, +0.03595000+0.00000000i, +0.00182202-0.00192617i, -0.00174033-0.00235175i, +0.00173084-0.00074936i, +0.00099666-0.00136891i, +0.00247550-0.00443252i, -0.00693245-0.00153580i, +0.00315322-0.00234600i
+0.00082083-0.00067339i, +0.00135370+0.00051499i, +0.00093166-0.00027280i, -0.00062715+0.00058770i, +0.00050193-0.00006824i, +0.00127751+0.00121236i, -0.00037249-0.00042929i, -0.00113660+0.00005183i, +0.00116668+0.00013404i, +0.00214092-0.00129672i, +0.00076618+0.00025303i, +0.00076331+0.00060809i, -0.00064381-0.00044653i, +0.00015842+0.00159335i, -0.00069216+0.00010870i, -0.00052867+0.00017909i, +0.00098081+0.00073355i, -0.00013334-0.00017442i, -0.00114660+0.00030293i, -0.00073382-0.00027048i, +0.00019580-0.00077357i, -0.00054425-0.00004846i, -0.00019835-0.00100188i, -0.00034273+0.00040347i, +0.00182202+0.00192617i, +0.02999628+0.00000000i, +0.00125519+0.00093288i, -0.00020320+0.00077704i, +0.00082144-0.00031145i, +0.00167414+0.00067366i, +0.00027625-0.00124249i, +0.00089561+0.00033262i
+0.00218059+0.00085339i, -0.00048044+0.00266993i, +0.00223377-0.00058978i, -0.00170821+0.00072924i, +0.00075145-0.00032939i, +0.00114766+0.00381052i, -0.00169459-0.00245143i, -0.00011093-0.00183144i, +0.00272493+0.00150529i, +0.00422482+0.00169464i, +0.00103881+0.00255997i, +0.00130250+0.00017986i, +0.00066374-0.00032042i, -0.00005534+0.00152424i, +0.00143544-0.00038156i, +0.00035964-0.00061049i, +0.00005333-0.00062186i, +0.00004404+0.00080889i, -0.00245351-0.00013491i, -0.00079705-0.00164694i, +0.00123097-0.00018229i, -0.00071951-0.00031915i, +0.00086230-0.00181926i, -0.00026720-0.00034637i, -0.00174033+0.00235175i, +0.00125519-0.00093288i, +0.03255320-0.00000000i, +0.00036549+0.00121213i, +0.00038042-0.00028497i, +0.00083736+0.00222485i, +0.00249453-0.00439510i, -0.00002247+0.00275099i
+0.00105074-0.00029130i, +0.00041109+0.00077170i, +0.00186726-0.00069304i, -0.00019463-0.00003436i, -0.00004250-0.00055754i, +0.00177052+0.00011181i, -0.00018761-0.00077115i, -0.00062176-0.00135275i, +0.00151865-0.00110417i, +0.00092723-0.00086313i, +0.00080700+0.00012488i, +0.00004562-0.00167388i, -0.00009654-0.00089609i, -0.00016222+0.00020408i, +0.00000005-0.00066960i, +0.00094451-0.00076972i, -0.00000422-0.00023580i, +0.00062666-0.00117069i, -0.00139596+0.00106326i, -0.00020688-0.00053143i, +0.00050748+0.00003107i, -0.00021003-0.00109660i, -0.00139882-0.00031166i, -0.00007216-0.00035741i, +0.00173084+0.00074936i, -0.00020320-0.00077704i, +0.00036549-0.00121213i, +0.02783229+0.00000000i, -0.00018635-0.00078925i, +0.00119365+0.00091296i, +0.00039883-0.00131029i, +0.00078022+0.00062887i
+0.00031040-0.00109175i, +0.00084114+0.00031673i, +0.00036798-0.00091596i, -0.00014458+0.00037403i, +0.00077602-0.00074830i, +0.00054288+0.00070832i, -0.00060970-0.00033755i, -0.00118979+0.00015831i, +0.00146847-0.00129901i, +0.00090279-0.00035767i, +0.00054776+0.00028201i, +0.00056130-0.00023057i, +0.00097183-0.00002491i, +0.00033119+0.00016250i, +0.00004024-0.00059808i, -0.00032800-0.00004479i, +0.00033243+0.00009141i, +0.00002049+0.00059828i, -0.00029611+0.00088848i, -0.00048560+0.00010893i, -0.00034412-0.00075237i, -0.00011485+0.00010666i, +0.00011189-0.00092686i, -0.00034862+0.00046648i, +0.00099666+0.00136891i, +0.00082144+0.00031145i, +0.00038042+0.00028497i, -0.00018635+0.00078925i, +0.02802215-0.00000000i, +0.00044877-0.00030282i, +0.00129602-0.00183835i, +0.00102360+0.00011972i
+0.00181847-0.00190914i, +0.00285754+0.00159218i, +0.00089350-0.00115691i, +0.00015966+0.00163673i, -0.00060724-0.00136990i, +0.00664323-0.00013566i, -0.00263897-0.00068894i, -0.00213955-0.00068957i, +0.00299586-0.00206432i, +0.00315554-0.00475121i, +0.00416733+0.00026249i, +0.00095262-0.00122221i, -0.00094551-0.00202548i, +0.00201907+0.00103676i, -0.00042088-0.00113192i, -0.00073500+0.00064528i, +0.00040658-0.00036022i, +0.00043262+0.00060464i, +0.00006167+0.00360823i, -0.00283730+0.00087905i, -0.00074209-0.00294371i, -0.00056843-0.00030057i, -0.00216854-0.00099349i, -0.00127311+0.00106785i, +0.00247550+0.00443252i, +0.00167414-0.00067366i, +0.00083736-0.00222485i, +0.00119365-0.00091296i, +0.00044877+0.00030282i, +0.03284303-0.00000000i, -0.00274690-0.00586312i, +0.00265376+0.00122398i
+0.00210256+0.00357103i, -0.00379705+0.00227678i, +0.00133948+0.00178824i, -0.00258398-0.00061012i, +0.00114109-0.00048171i, -0.00399137+0.00636773i, +0.00188921-0.00392957i, +0.00255068-0.00301626i, +0.00128499+0.00622404i, +0.00324574+0.00490922i, -0.00402180+0.00548012i, +0.00099608+0.00156944i, +0.00253065+0.00013917i, -0.00146766+0.00202988i, +0.00319761+0.00142731i, +0.00162646-0.00087658i, +0.00028511+0.00031040i, -0.00083058+0.00159059i, -0.00452930-0.00322902i, +0.00026277-0.00506911i, +0.00404529-0.00006658i, -0.00016739-0.00125441i, +0.00314965-0.00217829i, -0.00048979-0.00240134i, -0.00693245+0.00153580i, +0.00027625+0.00124249i, +0.00249453+0.00439510i, +0.00039883+0.00131029i, +0.00129602+0.00183835i, -0.00274690+0.00586312i, +0.03922262+0.00000000i, -0.00404285+0.00332572i
