-0.00429063-0.00340625i, -0.01917871-0.00281478i, +0.00362917-0.00204038i, +0.01412287+0.00019786i, +0.00682104-0.00223297i, -0.00806343+0.00902340i, +0.00838806-0.00111779i, +0.00558745-0.01165522i, -0.00165925+0.00825415i, -0.00409351-0.00000275i, +0.00832323-0.00553731i, -0.01033782-0.00829719i, -0.01057697-0.00461167i, -0.01583702-0.01299746i, +0.00008789+0.00450847i, -0.00450565-0.00525495i, +0.00271544+0.00478355i, -0.00135453+0.00468480i, +0.00869412-0.00949141i, -0.01068644-0.00335915i, +0.00905968-0.00194509i, +0.03325086-0.00000000i, -0.00807900-0.01370600i, -0.00101601-0.00078057i, -0.00144954-0.00320408i, -0.01332885+0.00627269i, -0.00092862-0.00294522i, +0.00557022-0.01118493i, +0.00616380+0.00473839i, +0.00006975-0.01648349i, -0.00245923+0.00756313i, +0.00920404+0.00430670i
+0.00739444-0.00272477i, +0.01395059-0.01588039i, +0.00065338+0.00461237i, -0.00935489+0.01315153i, -0.00184751+0.00757942i, -0.00189790-0.01132587i, -0.00404897+0.01046377i, +0.01066686+0.01322831i, -0.00795843-0.00722506i, +0.00265814-0.00355675i, +0.00151494+0.01377223i, +0.01349196-0.00470400i, +0.01070797-0.00874495i, +0.01621364-0.00284415i, -0.00833639-0.00320481i, +0.00611002+0.00168344i, -0.00461855+0.00006071i, -0.00089555-0.00382006i, +0.00250200+0.02012956i, +0.00779566-0.00273002i, -0.00155391+0.01077358i, -0.00807900+0.01370600i, +0.03134097+0.00000000i, +0.00477942-0.00427251i, +0.00638849+0.00137931i, +0.00527684-0.01698347i, +0.00556365+0.00018362i, +0.00596996+0.01088754i, -0.00822122+0.00556946i, +0.01591627+0.01065717i, -0.00550137-0.00568031i, -0.00739978+0.00591966i
+0.00166267+0.00155904i, +0.00312374-0.00012245i, -0.00036739+0.00031940i, -0.00236563+0.00165855i, -0.00138512+0.00044898i, +0.00078068-0.00256328i, -0.00167620+0.00100270i, -0.00131678+0.00612698i, +0.00006452-0.00190850i, +0.00214904-0.00026338i, -0.00077081+0.00086433i, +0.00441723+0.00326743i, +0.00230316+0.00006717i, +0.00088175+0.00102732i, -0.00110211-0.00087130i, -0.00474275-0.00211872i, +0.00028291-0.00080343i, +0.00038948-0.00465797i, -0.00167680+0.00220773i, +0.00189918+0.00767077i, +0.00086743+0.00263662i, -0.00101601+0.00078057i, +0.00477942+0.00427251i, +0.02122075-0.00000000i, +0.00292172+0.00206149i, +0.00334569+0.00074515i, -0.00097998+0.00015293i, +0.00043816+0.00452198i, -0.00256113+0.00274026i, +0.00120541+0.00569107i, -0.00000380-0.00039803i, -0.00163685+0.00127352i
+0.00883052+0.00493040i, +0.00482227-0.00797204i, +0.00114082+0.00265526i, -0.00359331+0.00674244i, +0.00036014+0.00287382i, -0.00132594-0.00488810i, -0.00256030+0.00179909i, +0.00533722+0.00463068i, -0.00395852-0.00377890i, -0.00005015-0.00338966i, +0.00125544+0.00523171i, +0.00606034-0.00324035i, +0.00253580-0.00202973i, +0.00677607-0.00159179i, -0.00114387-0.00099633i, +0.00189741+0.00058548i, -0.00032948-0.00030937i, -0.00008021-0.00313729i, +0.00270824+0.00801708i, +0.00300142+0.00040327i, -0.00130882+0.00531442i, -0.00144954+0.00320408i, +0.00638849-0.00137931i, +0.00292172-0.00206149i, +0.02096469+0.00000000i, +0.00230320-0.01085349i, +0.00288400-0.00022812i, +0.00123911+0.00694703i, -0.00420757+0.00750902i, +0.00710638+0.00430310i, +0.00046862-0.00192735i, -0.00365185+0.00222799i
+0.00525052+0.00969782i, +0.02989480+0.02076412i, -0.00674175+0.00253097i, -0.02137533-0.01009363i, -0.00936627+0.00049644i, +0.01623229-0.00419501i, -0.01049332-0.00276594i, -0.01263608+0.01531259i, +0.00666656-0.01338936i, +0.00675102-0.00056912i, -0.01423246+0.00331079i, +0.01017950+0.01655617i, +0.01250747+0.00978651i, +0.00602312+0.02245581i, +0.00136001-0.00466055i, -0.00130676+0.00895130i, -0.00092642-0.00678396i, +0.00429418+0.00202469i, -0.02158139+0.00787522i, +0.00705826+0.00845599i, -0.01410210-0.00202987i, -0.01332885-0.00627269i, +0.00527684+0.01698347i, +0.00334569-0.00074515i, +0.00230320+0.01085349i, +0.04999463-0.00000000i, +0.00254542+0.01263125i, -0.01596264+0.00991757i, -0.00591388-0.01004097i, -0.00776683+0.02877191i, +0.00607401-0.00742932i, -0.00529807-0.01180941i
+0.00554623-0.00082237i, +0.00783545-0.00667660i, +0.00403232+0.00701805i, -0.00370235+0.00746370i, +0.00122337+0.00391224i, -0.00108924-0.00621426i, +0.00019549+0.00416064i, +0.00509320+0.00515625i, -0.00397828-0.00250183i, +0.00064541-0.00177797i, +0.00022625+0.00458507i, +0.00652027-0.00235271i, +0.00372598-0.00285787i, +0.00639998-0.00071604i, -0.00121944-0.00181115i, +0.00248569+0.00102702i, -0.00135656+0.00061013i, +0.00257426+0.00110551i, -0.00001215+0.00848362i, +0.00188610-0.00284157i, -0.00161154+0.00557827i, -0.00092862+0.00294522i, +0.00556365-0.00018362i, -0.00097998-0.00015293i, +0.00288400+0.00022812i, +0.00254542-0.01263125i, +0.02169867-0.00000000i, +0.00337014+0.00255985i, -0.00757515+0.00112539i, +0.00775401+0.00227491i, -0.00343758-0.00182462i, -0.00414339+0.00094459i
+0.00120467-0.00605841i, -0.00763221-0.01800357i, +0.00327331+0.00303377i, +0.01151260+0.01857631i, +0.00497413+0.00410926i, -0.01158847-0.00551588i, +0.00495495+0.00646100i, +0.01499995-0.00104190i, -0.00792805+0.00314077i, -0.00227037-0.00319270i, +0.00870683+0.00524685i, +0.00232526-0.01602767i, -0.00233194-0.01005441i, +0.00438491-0.01485166i, -0.00254475+0.00260919i, +0.00427964-0.00459836i, -0.00216699+0.00391028i, -0.00627899-0.00153696i, +0.01416219+0.00395918i, +0.00039301-0.00822620i, +0.00852886+0.00576816i, +0.00557022+0.01118493i, +0.00596996-0.01088754i, +0.00043816-0.00452198i, +0.00123911-0.00694703i, -0.01596264-0.00991757i, +0.00337014-0.00255985i, +0.03171074+0.00000000i, +0.00047821+0.00856736i, +0.01883579-0.00847180i, -0.00715353+0.00101180i, -0.00064741+0.01039862i
-0.00518325-0.00392098i, -0.01374022+0.00550128i, +0.00066236-0.00477301i, +0.00971510-0.00596037i, -0.00012711-0.00772469i, -0.00253490+0.00900735i, +0.00378556-0.00450939i, -0.00305121-0.01026389i, +0.00292885+0.00572786i, -0.00264173+0.00134174i, +0.00302135-0.00711989i, -0.00969320-0.00074295i, -0.00785550+0.00100771i, -0.01081128-0.00363756i, +0.00220639+0.00237443i, -0.00333598-0.00294125i, +0.00230233-0.00040172i, -0.00388343+0.00286661i, +0.00368240-0.01036538i, -0.00167767+0.00065722i, +0.00547720-0.00709986i, +0.00616380-0.00473839i, -0.00822122-0.00556946i, -0.00256113-0.00274026i, -0.00420757-0.00750902i, -0.00591388+0.01004097i, -0.00757515-0.00112539i, +0.00047821-0.00856736i, +0.02349295+0.00000000i, -0.00433801-0.01148674i, +0.00181371+0.00395606i, +0.00955373-0.00260983i
+0.00649906-0.00657732i, +0.00497848-0.02904846i, +0.00362342+0.00583108i, -0.00089799+0.02255380i, +0.00315365+0.00849740i, -0.01328488-0.01731356i, +0.00156593+0.01082289i, +0.01814803+0.00844566i, -0.01208041-0.00250291i, +0.00104136-0.00502231i, +0.00780651+0.01164305i, +0.01208088-0.01475502i, +0.00541192-0.01584975i, +0.01710568-0.01561184i, -0.00458420+0.00114082i, +0.00802321-0.00293437i, -0.00434635+0.00263136i, -0.00322060-0.00254363i, +0.01272668+0.01573474i, +0.00664536-0.00902663i, +0.00519998+0.01160207i, +0.00006975+0.01648349i, +0.01591627-0.01065717i, +0.00120541-0.00569107i, +0.00710638-0.00430310i, -0.00776683-0.02877191i, +0.00775401-0.00227491i, +0.01883579+0.00847180i, -0.00433801+0.01148674i, +0.04605375-0.00000000i, -0.01019799-0.00512112i, -0.00543510+0.00907221i
-0.00026370+0.00526603i, +0.00130409+0.00993279i, -0.00106736-0.00128983i, -0.00164905-0.00780870i, -0.00441500-0.00322081i, +0.00492379+0.00246982i, -0.00659299-0.00976796i, -0.00859951-0.00069332i, +0.00513798-0.00108594i, +0.00110187+0.00241427i, -0.00622163-0.00312720i, -0.00170311+0.00661113i, -0.00072579+0.00690543i, -0.00470159+0.00728272i, +0.00202196-0.00181426i, -0.00175367+0.00280987i, +0.00123803-0.00046792i, +0.00295920+0.00020897i, -0.00584588-0.00449968i, -0.00015956+0.00404251i, -0.00419991-0.00473140i, -0.00245923-0.00756313i, -0.00550137+0.00568031i, -0.00000380+0.00039803i, +0.00046862+0.00192735i, +0.00607401+0.00742932i, -0.00343758+0.00182462i, -0.00715353-0.00101180i, +0.00181371-0.00395606i, -0.01019799+0.00512112i, +0.02245179+0.00000000i, +0.00251479-0.00595700i
