+0.00037481-0.00008997i, -0.00073734-0.00024654i, +0.00055551-0.00050976i, -0.00044342+0.00048073i, +0.00017332-0.00005896i, -0.00012337+0.00042134i, +0.00008731+0.00029603i, +0.00021294+0.00000270i, -0.00008253-0.00094272i, +0.00062584+0.00050832i, -0.00087712-0.00000820i, +0.00019738-0.00009886i, +0.00100131-0.00015680i, +0.00015929+0.00063290i, -0.00015796+0.00013099i, -0.00004663+0.00062317i, -0.00035115+0.00036398i, -0.00025167-0.00148007i, -0.00029453+0.00045868i, +0.00019439+0.00022741i, +0.00004478-0.00028818i, +0.03143396+0.00000000i, +0.00064520-0.00028146i, +0.00000499-0.00031626i, +0.00020440-0.00033584i, -0.00088976+0.00024416i, +0.00030605+0.00047256i, -0.00004801-0.00022478i, -0.00053170+0.00033763i, -0.00070570-0.00053307i, +0.00004564-0.00051952i, +0.00021208+0.00022275i
+0.00010347+0.00011064i, -0.00037707-0.00024335i, +0.00019076-0.00000573i, +0.00000797+0.00005724i, -0.00001184-0.00029659i, +0.00004651+0.00009909i, -0.00013760+0.00030869i, -0.00004340+0.00021035i, -0.00036971-0.00033281i, +0.00017035+0.00010743i, -0.00046507-0.00004958i, +0.00001121-0.00003469i, +0.00037327+0.00003431i, +0.00001614+0.00003709i, -0.00006872+0.00004973i, +0.00005482+0.00000165i, -0.00018361-0.00001336i, -0.00027575-0.00068009i, +0.00001745+0.00025998i, +0.00027386-0.00014934i, -0.00018622-0.00020945i, +0.00064520+0.00028146i, +0.03066098+0.00000000i, -0.00008113-0.00003388i, -0.00014864-0.00015825i, -0.00039044+0.00030482i, +0.00009877+0.00007873i, +0.00002526+0.00008619i, +0.00008135+0.00020079i, -0.00014187-0.00018491i, -0.00019945-0.00036303i, +0.00008200-0.00006336i
+0.00008731+0.00014604i, +0.00004346-0.00024411i, +0.00029302+0.00019413i, -0.00006906-0.00030843i, +0.00006729+0.00009295i, +0.00005801-0.00002875i, +0.00012834-0.00007477i, +0.00001489+0.00009683i, +0.00032340+0.00017666i, -0.00024881+0.00009045i, +0.00010223-0.00003431i, -0.00035390+0.00006174i, -0.00031556+0.00016826i, -0.00014932+0.00023053i, -0.00017002-0.00028473i, -0.00004576+0.00004693i, +0.00001712-0.00017803i, +0.00038507+0.00032519i, -0.00002709-0.00031414i, +0.00021329-0.00027886i, +0.00032162+0.00029691i, +0.00000499+0.00031626i, -0.00008113+0.00003388i, +0.03052290-0.00000000i, +0.00019574+0.00033684i, +0.00043663-0.00017936i, -0.00013833-0.00007495i, +0.00023900-0.00010483i, -0.00006019-0.00036580i, +0.00034494-0.00008961i, +0.00020164+0.00021935i, -0.00029511+0.00000272i
-0.00009653-0.00006038i, +0.00018049-0.00029671i, +0.00036102+0.00004931i, -0.00023047-0.00017505i, +0.00000512+0.00006285i, -0.00020895+0.00011028i, -0.00023221-0.00009960i, +0.00002769-0.00003998i, +0.00064165-0.00041580i, -0.00021659+0.00046761i, +0.00001234-0.00031741i, +0.00015026+0.00019801i, +0.00044018+0.00033256i, +0.00003489+0.00041507i, -0.00020391-0.00011904i, -0.00033985+0.00012650i, -0.00020328-0.00013921i, +0.00058000-0.00048281i, +0.00003102-0.00008643i, -0.00006658+0.00010179i, +0.00004775-0.00031376i, +0.00020440+0.00033584i, -0.00014864+0.00015825i, +0.00019574-0.00033684i, +0.03035271+0.00000000i, -0.00076276-0.00018221i, -0.00020034+0.00059978i, -0.00028801+0.00004017i, -0.00045017+0.00001130i, +0.00018942-0.00007402i, +0.00018308-0.00025968i, +0.00008850-0.00004745i
-0.00031913+0.00038515i, +0.00060389+0.00071259i, -0.00049331+0.00082716i, +0.00074623-0.00051578i, -0.00044351-0.00032106i, +0.00009150-0.00054444i, +0.00027370-0.00032807i, -0.00010955-0.00010466i, -0.00059658+0.00112690i, -0.00063121-0.00087510i, +0.00081436+0.00038295i, -0.00044228+0.00014154i, -0.00141701-0.00046914i, -0.00009483-0.00044149i, +0.00017549-0.00030829i, +0.00051386-0.00021608i, +0.00055629-0.00033776i, -0.00019284+0.00187959i, +0.00039767-0.00018801i, +0.00027277-0.00057124i, +0.00004326+0.00011767i, -0.00088976-0.00024416i, -0.00039044-0.00030482i, +0.00043663+0.00017936i, -0.00076276+0.00018221i, +0.03265646-0.00000000i, -0.00076087-0.00111939i, +0.00013770+0.00036285i, +0.00084680+0.00018662i, +0.00028558+0.00078956i, -0.00026301+0.00065918i, -0.00010106-0.00018283i
-0.00022980-0.00019511i, -0.00060346+0.00026155i, -0.00038500-0.00056665i, +0.00016633+0.00066691i, -0.00002021-0.00019203i, +0.00014742+0.00023447i, +0.00040267+0.00058011i, -0.00004244+0.00000747i, -0.00078989-0.00080538i, +0.00057158-0.00018415i, -0.00056304+0.00044167i, +0.00043648-0.00026317i, +0.00076316-0.00075365i, +0.00037695+0.00005732i, -0.00005507+0.00028664i, +0.00032052+0.00069400i, +0.00015364+0.00026136i, -0.00103724-0.00073922i, -0.00049338+0.00041188i, +0.00046523+0.00039032i, -0.00026378-0.00006339i, +0.00030605-0.00047256i, +0.00009877-0.00007873i, -0.00013833+0.00007495i, -0.00020034-0.00059978i, -0.00076087+0.00111939i, +0.03138978-0.00000000i, -0.00030902-0.00005408i, -0.00041262+0.00057841i, -0.00062063-0.00010395i, -0.00060639-0.00071776i, +0.00004141-0.00000606i
+0.00009965+0.00026941i, -0.00005239-0.00023178i, +0.00016196-0.00004517i, -0.00034989-0.00003309i, +0.00000692+0.00013824i, +0.00016789-0.00006651i, -0.00008760-0.00000251i, +0.00010577+0.00039701i, +0.00037318+0.00008532i, -0.00022963+0.00010537i, +0.00017416-0.00038607i, +0.00012868+0.00025670i, -0.00022647+0.00039800i, -0.00008063-0.00009442i, -0.00018350-0.00013247i, -0.00019543-0.00001803i, +0.00002434+0.00001425i, +0.00055582+0.00016281i, -0.00000098-0.00023535i, -0.00007292-0.00006937i, -0.00000486+0.00003000i, -0.00004801+0.00022478i, +0.00002526-0.00008619i, +0.00023900+0.00010483i, -0.00028801-0.00004017i, +0.00013770-0.00036285i, -0.00030902+0.00005408i, +0.03068948-0.00000000i, +0.00005693-0.00037618i, +0.00017890+0.00002511i, +0.00038197-0.00013743i, +0.00023747-0.00007050i
-0.00020198-0.00009413i, +0.00036608+0.00036159i, -0.00034083+0.00035320i, +0.00050733-0.00032677i, -0.00052239-0.00026042i, +0.00014839-0.00017592i, -0.00004990-0.00023594i, -0.00014180+0.00009592i, -0.00030390+0.00118641i, -0.00034213-0.00043040i, +0.00066448+0.00029994i, -0.00027195-0.00019724i, -0.00077535-0.00042856i, +0.00000481-0.00025507i, +0.00032741-0.00010094i, +0.00045714-0.00030872i, +0.00057440-0.00041313i, -0.00043382+0.00121026i, +0.00059815-0.00027854i, +0.00009936-0.00039017i, -0.00019658-0.00000512i, -0.00053170-0.00033763i, +0.00008135-0.00020079i, -0.00006019+0.00036580i, -0.00045017-0.00001130i, +0.00084680-0.00018662i, -0.00041262-0.00057841i, +0.00005693+0.00037618i, +0.03111772+0.00000000i, +0.00013835+0.00092200i, -0.00016837+0.00068017i, +0.00028073-0.00036040i
+0.00017421+0.00022151i, +0.00063677-0.00045809i, +0.00017459+0.00072759i, +0.00000897-0.00063945i, -0.00030945+0.00015040i, -0.00058730-0.00013770i, -0.00035224-0.00005128i, +0.00015785+0.00010603i, +0.00082068+0.00039572i, -0.00062385+0.00018345i, +0.00052116-0.00047390i, -0.00019325+0.00051576i, -0.00074332+0.00092587i, -0.00061181-0.00035479i, -0.00026673-0.00036311i, -0.00058977-0.00072652i, -0.00020826-0.00056069i, +0.00150011+0.00050210i, -0.00009336-0.00033089i, -0.00038626-0.00007594i, +0.00003227+0.00001832i, -0.00070570+0.00053307i, -0.00014187+0.00018491i, +0.00034494+0.00008961i, +0.00018942+0.00007402i, +0.00028558-0.00078956i, -0.00062063+0.00010395i, +0.00017890-0.00002511i, +0.00013835-0.00092200i, +0.03188442+0.00000000i, +0.00072955+0.00005844i, -0.00042241-0.00004666i
+0.00013252+0.00003559i, +0.00019335-0.00043943i, +0.00065591+0.00066520i, -0.00045971-0.00028448i, +0.00001702+0.00023450i, -0.00028467-0.00006774i, -0.00067041-0.00001132i, -0.00014587+0.00007830i, +0.00082804+0.00015331i, -0.00045752+0.00036284i, +0.00007904-0.00059276i, -0.00018507+0.00011743i, -0.00003144+0.00105784i, -0.00014732+0.00019408i, -0.00046576-0.00011511i, -0.00036900-0.00021625i, -0.00037232-0.00048549i, +0.00106577-0.00018125i, +0.00005945-0.00009573i, -0.00025209-0.00002626i, +0.00003820+0.00012355i, +0.00004564+0.00051952i, -0.00019945+0.00036303i, +0.00020164-0.00021935i, +0.00018308+0.00025968i, -0.00026301-0.00065918i, -0.00060639+0.00071776i, +0.00038197+0.00013743i, -0.00016837-0.00068017i, +0.00072955-0.00005844i, +0.03120732+0.00000000i, -0.00002777+0.00011241i
