+0.00105466-0.00067039i, -0.00082753+0.00021508i, +0.00006235+0.00003923i, +0.00018393+0.00020453i, -0.00037817+0.00022064i, -0.00007621-0.00020724i, +0.00002146+0.00002821i, +0.00097804+0.00009327i, -0.00063181-0.00021993i, -0.00082232+0.00034386i, -0.00007343+0.00013461i, -0.00015400+0.00047024i, +0.00022288+0.00040888i, +0.00000343-0.00037040i, -0.00032752-0.00022635i, -0.00011411+0.00098142i, -0.00079244+0.00013089i, -0.00032164-0.00072822i, +0.00012571+0.00072100i, +0.00056127+0.00053656i, +0.00071892+0.00050314i, +0.03044277-0.00000000i, -0.00045220+0.00008358i, +0.00047736+0.00052995i, +0.00011189+0.00005354i, +0.00036542+0.00030761i, +0.00075118+0.00022755i, +0.00038014+0.00059522i, +0.00005201-0.00054026i, -0.00031125-0.00045955i, +0.00026280+0.00011895i, +0.00057697-0.00047652i
-0.00064411+0.00112481i, +0.00079922-0.00063294i, -0.00020668-0.00026468i, -0.00081206+0.00007690i, -0.00024669-0.00096740i, -0.00037943-0.00009507i, +0.00035616-0.00051791i, -0.00067157+0.00005415i, +0.00021214-0.00062266i, +0.00093504-0.00038876i, +0.00029694-0.00036641i, -0.00037618-0.00016138i, -0.00069816-0.00009604i, +0.00008626+0.00037121i, +0.00009930+0.00026690i, -0.00034421-0.00040786i, +0.00070729-0.00002390i, +0.00053065+0.00053307i, -0.00021886-0.00031450i, -0.00047867-0.00083480i, -0.00059625+0.00008437i, -0.00045220-0.00008358i, +0.03050803-0.00000000i, -0.00063308-0.00025487i, -0.00014074+0.00024079i, -0.00049791-0.00042496i, -0.00099575+0.00000938i, -0.00015352+0.00008383i, +0.00059346+0.00041682i, +0.00004874+0.00032304i, +0.00004465-0.00020094i, -0.00037488+0.00062812i
+0.00058414-0.00116542i, -0.00078215+0.00075037i, +0.00057403-0.00005916i, +0.00049830-0.00027864i, -0.00016924+0.00055844i, +0.00066357+0.00057114i, +0.00010155-0.00004645i, +0.00082840-0.00097834i, -0.00040138+0.00004961i, -0.00056732+0.00039525i, +0.00042271+0.00025503i, +0.00073841+0.00061205i, +0.00060072+0.00019930i, -0.00033938-0.00006928i, -0.00053852-0.00028074i, +0.00062989+0.00088494i, -0.00075304+0.00061453i, -0.00114190-0.00113488i, +0.00068867+0.00066200i, +0.00082217+0.00076043i, +0.00099417-0.00040949i, +0.00047736-0.00052995i, -0.00063308+0.00025487i, +0.03093618+0.00000000i, -0.00018332+0.00046458i, +0.00003178-0.00034636i, +0.00094287-0.00066163i, +0.00021877+0.00026007i, -0.00034341-0.00040904i, +0.00004140+0.00005338i, +0.00034795+0.00029871i, +0.00077179-0.00126043i
-0.00032864-0.00079617i, +0.00012875+0.00089631i, -0.00017951-0.00052607i, +0.00040961-0.00048906i, +0.00010375+0.00020960i, +0.00059626-0.00023717i, -0.00033361+0.00036120i, -0.00015350-0.00038900i, -0.00035205+0.00073939i, +0.00048177+0.00035671i, -0.00037110+0.00028589i, +0.00026903-0.00036027i, -0.00010008-0.00010433i, -0.00011342-0.00003338i, -0.00049285+0.00034265i, +0.00060345-0.00034035i, -0.00026215+0.00006931i, -0.00010783-0.00006458i, +0.00081352-0.00021693i, +0.00030779+0.00004731i, -0.00007583-0.00027273i, +0.00011189-0.00005354i, -0.00014074-0.00024079i, -0.00018332-0.00046458i, +0.03088463+0.00000000i, +0.00057295-0.00079810i, +0.00050710-0.00031373i, +0.00022640+0.00002460i, -0.00045656+0.00038057i, +0.00025739+0.00054481i, +0.00024455-0.00044924i, -0.00037228-0.00027329i
-0.00008238-0.00148275i, -0.00001995+0.00072874i, +0.00017818-0.00011418i, +0.00023894-0.00050265i, +0.00034199+0.00059389i, +0.00078620+0.00020196i, +0.00022649-0.00035740i, +0.00023110-0.00093902i, -0.00052849+0.00007431i, +0.00027789+0.00103525i, +0.00008684+0.00004311i, +0.00028149-0.00007009i, +0.00053607-0.00034631i, -0.00075541-0.00030754i, -0.00028847+0.00025981i, +0.00054303-0.00005316i, -0.00072561+0.00048332i, -0.00077061+0.00067540i, +0.00091688+0.00027741i, +0.00073818+0.00022430i, +0.00013645-0.00086654i, +0.00036542-0.00030761i, -0.00049791+0.00042496i, +0.00003178+0.00034636i, +0.00057295+0.00079810i, +0.03073779+0.00000000i, +0.00013503-0.00151224i, -0.00029898-0.00066472i, -0.00055286-0.00010342i, -0.00012549+0.00092833i, +0.00085990+0.00018932i, -0.00036422-0.00122492i
+0.00307023-0.00085435i, -0.00251140+0.00057610i, +0.00049292+0.00009165i, +0.00166677+0.00014725i, -0.00059199+0.00088092i, +0.00000007+0.00209326i, -0.00025998+0.00034836i, +0.00178975+0.00034620i, -0.00121732-0.00030620i, -0.00129298+0.00065320i, -0.00041130+0.00032116i, +0.00079236+0.00113784i, +0.00149863+0.00094086i, +0.00015050-0.00072848i, -0.00075983+0.00002099i, +0.00034790+0.00225895i, -0.00215920-0.00024012i, -0.00100011-0.00131839i, -0.00037698+0.00222231i, -0.00006380+0.00190892i, +0.00100428-0.00006031i, +0.00075118-0.00022755i, -0.00099575-0.00000938i, +0.00094287+0.00066163i, +0.00050710+0.00031373i, +0.00013503+0.00151224i, +0.03279118+0.00000000i, +0.00021505+0.00030006i, -0.00049476-0.00160449i, -0.00046354+0.00007804i, +0.00018602+0.00090304i, +0.00164005-0.00117003i
+0.00030029-0.00078551i, -0.00037538+0.00032875i, +0.00019269-0.00004340i, +0.00024226-0.00025310i, +0.00033418+0.00039598i, -0.00003466-0.00027879i, +0.00000766+0.00002867i, +0.00064894-0.00060881i, -0.00048285+0.00023990i, +0.00016836+0.00047863i, +0.00018042-0.00004032i, +0.00066285+0.00052849i, +0.00034300-0.00004090i, -0.00009470-0.00030151i, -0.00018741+0.00000575i, +0.00046961+0.00027947i, -0.00050897+0.00043512i, -0.00067166+0.00001611i, +0.00046577+0.00019926i, -0.00010713+0.00046846i, -0.00035126-0.00048638i, +0.00038014-0.00059522i, -0.00015352-0.00008383i, +0.00021877-0.00026007i, +0.00022640-0.00002460i, -0.00029898+0.00066472i, +0.00021505-0.00030006i, +0.03031423+0.00000000i, -0.00031090-0.00030755i, -0.00015691+0.00003578i, +0.00011052+0.00000991i, +0.00003174-0.00099320i
-0.00030823+0.00183069i, +0.00037518-0.00117973i, -0.00024915+0.00043865i, -0.00043913+0.00075865i, -0.00049550-0.00040891i, -0.00069057-0.00009445i, -0.00024143-0.00042782i, -0.00032181+0.00087127i, +0.00036856-0.00060514i, -0.00037936-0.00065983i, +0.00056270-0.00025398i, -0.00073136-0.00004341i, -0.00091248+0.00145885i, +0.00049694+0.00002678i, +0.00000291-0.00020990i, -0.00089274+0.00009733i, -0.00014863-0.00084849i, +0.00088507-0.00018280i, -0.00092714-0.00042122i, -0.00095898+0.00002465i, -0.00071300+0.00038598i, +0.00005201+0.00054026i, +0.00059346-0.00041682i, -0.00034341+0.00040904i, -0.00045656-0.00038057i, -0.00055286+0.00010342i, -0.00049476+0.00160449i, -0.00031090+0.00030755i, +0.03106528-0.00000000i, +0.00020720-0.00111937i, -0.00095152-0.00037948i, +0.00042835+0.00085571i
-0.00061492+0.00009827i, +0.00065866+0.00018245i, -0.00002902-0.00037980i, -0.00085014+0.00003540i, +0.00029746+0.00004202i, -0.00024445-0.00016622i, -0.00011839-0.00008859i, -0.00050360-0.00002819i, +0.00045197+0.00009215i, +0.00035024-0.00059162i, +0.00020159-0.00007832i, +0.00000974-0.00016435i, -0.00043140-0.00038988i, -0.00038360+0.00095441i, +0.00032379+0.00006202i, +0.00002581-0.00072538i, +0.00028942-0.00001021i, -0.00009536+0.00023905i, -0.00006596-0.00039731i, -0.00032268+0.00022264i, -0.00046353+0.00003776i, -0.00031125+0.00045955i, +0.00004874-0.00032304i, +0.00004140-0.00005338i, +0.00025739-0.00054481i, -0.00012549-0.00092833i, -0.00046354-0.00007804i, -0.00015691-0.00003578i, +0.00020720+0.00111937i, +0.03066608+0.00000000i, -0.00056354-0.00043557i, -0.00047324+0.00070646i
-0.00049752-0.00122099i, -0.00016022+0.00090248i, +0.00033277-0.00091246i, -0.00016507-0.00038478i, +0.00039889+0.00031605i, +0.00085033-0.00016448i, -0.00013069-0.00011069i, +0.00035948-0.00095698i, -0.00037134+0.00047146i, +0.00027506+0.00032170i, -0.00020940+0.00038551i, +0.00026341-0.00032112i, +0.00041987-0.00043165i, -0.00032957+0.00009972i, -0.00026299+0.00089616i, +0.00086807-0.00014997i, -0.00040504+0.00057549i, -0.00068070+0.00019383i, +0.00078288+0.00052297i, +0.00100597-0.00002001i, +0.00012458-0.00051118i, +0.00026280-0.00011895i, +0.00004465+0.00020094i, +0.00034795-0.00029871i, +0.00024455+0.00044924i, +0.00085990-0.00018932i, +0.00018602-0.00090304i, +0.00011052-0.00000991i, -0.00095152+0.00037948i, -0.00056354+0.00043557i, +0.03081264+0.00000000i, -0.00083495-0.00100622i
