-0.00363838+0.00272937i, +0.00876168-0.00849038i, -0.00647193+0.01484465i, +0.01012764+0.01045399i, +0.00592197-0.01841640i, -0.00545369+0.00398022i, -0.00081711-0.01880775i, +0.01365835-0.00429332i, +0.00212010-0.00509264i, -0.00959401-0.00820448i, +0.01535432-0.01321212i, +0.01285274+0.00375865i, -0.00030354-0.01247436i, +0.01067135-0.00789708i, -0.00249999+0.01081808i, +0.01456727-0.00172400i, -0.01815511-0.00110184i, -0.01077135+0.01708378i, +0.00925140+0.00155696i, -0.00102925+0.00775829i, +0.00070873-0.00207014i, +0.00840575-0.00000000i, -0.00234216+0.00455959i, +0.01788844+0.01350928i, -0.01221920+0.00463403i, +0.02379787+0.01014654i, +0.02459668+0.02402208i, -0.01731272-0.00492393i, +0.02303080-0.00139356i, +0.01249198+0.01281497i, -0.00413559-0.00036426i, -0.02429501+0.00588820i
+0.00249431+0.00121309i, -0.00704684-0.00238691i, +0.00985562-0.00062567i, +0.00284868-0.00840649i, -0.01163983+0.00191921i, +0.00367863+0.00184924i, -0.00997434+0.00568379i, -0.00613459-0.00621251i, -0.00335318+0.00026898i, -0.00177716+0.00749023i, -0.01144504-0.00464735i, -0.00154244-0.00801911i, -0.00668198+0.00364049i, -0.00725712-0.00358811i, +0.00656472-0.00165824i, -0.00499416-0.00742146i, +0.00446103+0.01015502i, +0.01226819+0.00108258i, -0.00173324-0.00545213i, +0.00449517-0.00160345i, -0.00132040+0.00019238i, -0.00234216-0.00455959i, +0.00312591-0.00000000i, +0.00234353-0.01346756i, +0.00591840+0.00533693i, -0.00112714-0.01573606i, +0.00617690-0.02003562i, +0.00215306+0.01076306i, -0.00717318-0.01210446i, +0.00347057-0.01034685i, +0.00095474+0.00234479i, +0.00996350+0.01153784i
-0.00335641+0.01165586i, +0.00500060-0.03214988i, +0.01008451+0.04199257i, +0.03835396+0.00597073i, -0.01699521-0.04870982i, -0.00520931+0.01723529i, -0.03196574-0.03871195i, +0.02216663-0.03108771i, -0.00367280-0.01424507i, -0.03360304-0.00204114i, +0.01144201-0.05279367i, +0.03339290-0.01265741i, -0.02069413-0.02605912i, +0.01001815-0.03395640i, +0.01206598+0.02704005i, +0.02823020-0.02708065i, -0.04040709+0.02683311i, +0.00453344+0.05366751i, +0.02219035-0.01155498i, +0.01027835+0.01816474i, -0.00181875-0.00554455i, +0.01788844-0.01350928i, +0.00234353+0.01346756i, +0.05978020-0.00000000i, -0.01855637+0.02949984i, +0.06695175-0.01665365i, +0.09095177+0.01159139i, -0.04475705+0.01734540i, +0.04677267-0.03997957i, +0.04718000+0.00719534i, -0.00938646+0.00587131i, -0.04223952+0.05157650i
+0.00679370-0.00196180i, -0.01741730+0.00751199i, +0.01759182-0.01801133i, -0.00895906-0.02077997i, -0.01876144+0.02350667i, +0.01012215-0.00277936i, -0.00918077+0.02779077i, -0.02222165-0.00128867i, -0.00588947+0.00623423i, +0.00942347+0.01721574i, -0.02960390+0.01074137i, -0.01661157-0.01254947i, -0.00643578+0.01830098i, -0.01986626+0.00559673i, +0.00959810-0.01434772i, -0.02212647-0.00552471i, +0.02578415+0.01161049i, +0.02507618-0.01889606i, -0.01259016-0.00736353i, +0.00577328-0.01071059i, -0.00217152+0.00261859i, -0.01221920-0.00463403i, +0.00591840-0.00533693i, -0.01855637-0.02949984i, +0.02031742+0.00000000i, -0.02900060-0.02786934i, -0.02251231-0.04848022i, +0.02245250+0.01670216i, -0.03424750-0.01067094i, -0.01109445-0.02551551i, +0.00581097+0.00280944i, +0.03856311+0.00483415i
-0.00700617+0.01211913i, +0.01455686-0.03461368i, -0.00040405+0.04983958i, +0.04129177+0.01737171i, -0.00546441-0.05928786i, -0.01063567+0.01785171i, -0.02501610-0.05226111i, +0.03348631-0.02864195i, -0.00014499-0.01697716i, -0.03706562-0.01164719i, +0.02752199-0.05593955i, +0.04092501-0.00487323i, -0.01591712-0.03495031i, +0.02067960-0.03523912i, +0.00598062+0.03364528i, +0.03916102-0.02246498i, -0.05272975+0.01879550i, -0.00987347+0.06136869i, +0.02807143-0.00675935i, +0.00645104+0.02320724i, -0.00049233-0.00671637i, +0.02379787-0.01014654i, -0.00112714+0.01573606i, +0.06695175+0.01665365i, -0.02900060+0.02786934i, +0.07962305-0.00000000i, +0.09863369+0.03831942i, -0.05495846+0.00695777i, +0.06352134-0.03174575i, +0.05083549+0.02120200i, -0.01214814+0.00396077i, -0.06167505+0.04599675i
-0.00284649+0.01838446i, +0.00137423-0.04988361i, +0.02348530+0.06193364i, +0.05951083+0.00164725i, -0.03530198-0.07081351i, -0.00458370+0.02723248i, -0.05614010-0.05269961i, +0.02769720-0.05159608i, -0.00835005-0.02096081i, -0.05152066+0.00341017i, +0.00717159-0.08254081i, +0.04835090-0.02573234i, -0.03653767-0.03563470i, +0.00865783-0.05360502i, +0.02360069+0.03880013i, +0.03769952-0.04667533i, -0.05627387+0.04865982i, +0.01730348+0.08077267i, +0.03152070-0.02188287i, +0.01916001+0.02564352i, -0.00384220-0.00808302i, +0.02459668-0.02402208i, +0.00617690+0.02003562i, +0.09095177-0.01159139i, -0.02251231+0.04848022i, +0.09863369-0.03831942i, +0.14062491-0.00000000i, -0.06473173+0.03506833i, +0.06340960-0.06989561i, +0.07317655+0.00179904i, -0.01314245+0.01075285i, -0.05426405+0.08666061i
+0.00589490-0.00775280i, -0.01307230+0.02261947i, +0.00463406-0.03436562i, -0.02698294-0.01559876i, -0.00140909+0.04139994i, +0.00890104-0.01139245i, +0.01270016+0.03825835i, -0.02561620+0.01684346i, -0.00138345+0.01173087i, +0.02456614+0.01127821i, -0.02388480+0.03620635i, -0.02867364-0.00021252i, +0.00793243+0.02551476i, -0.01735308+0.02251614i, -0.00118797-0.02374569i, -0.02899330+0.01208403i, +0.03803824-0.00836554i, +0.01217763-0.04149592i, -0.01996649+0.00221254i, -0.00242478-0.01658212i, -0.00024708+0.00467888i, -0.01731272+0.00492393i, +0.00215306-0.01076306i, -0.04475705-0.01734540i, +0.02245250-0.01670216i, -0.05495846-0.00695777i, -0.06473173-0.03506833i, +0.03854214-0.00000000i, -0.04661859+0.01636122i, -0.03323562-0.01907652i, +0.00873116-0.00167230i, +0.04658953-0.02635907i
-0.01042125+0.00687498i, +0.02541360-0.02181013i, -0.02019340+0.03959972i, +0.02601547+0.03032178i, +0.01927873-0.04947708i, -0.01560237+0.01000121i, +0.00087929-0.05166658i, +0.03813413-0.00949885i, +0.00665313-0.01360178i, -0.02492631-0.02406992i, +0.04425950-0.03365419i, +0.03459194+0.01242908i, +0.00123641-0.03422868i, +0.03054754-0.01986795i, -0.00864319+0.02922587i, +0.04019851-0.00230851i, -0.04956029-0.00602878i, -0.03234454+0.04502190i, +0.02508967+0.00579964i, -0.00410625+0.02108621i, +0.00228505-0.00555445i, +0.02303080+0.00139356i, -0.00717318+0.01210446i, +0.04677267+0.03997957i, -0.03424750+0.01067094i, +0.06352134+0.03174575i, +0.06340960+0.06989561i, -0.04661859-0.01636122i, +0.06333283+0.00000000i, +0.03210207+0.03718257i, -0.01127065-0.00168367i, -0.06754179+0.01210522i
-0.00124602+0.00960308i, +0.00007694-0.02597536i, +0.01301330+0.03192777i, +0.03098854+0.00009584i, -0.01927591-0.03639739i, -0.00203682+0.01422952i, -0.02988765-0.02670492i, +0.01375263-0.02720323i, -0.00461324-0.01080049i, -0.02676602+0.00243365i, +0.00267590-0.04304326i, +0.02483101-0.01400882i, -0.01946888-0.01807569i, +0.00381947-0.02800504i, +0.01277739+0.01988837i, +0.01902046-0.02477059i, -0.02866055+0.02604088i, +0.01003750+0.04181006i, +0.01612238-0.01179037i, +0.01029830+0.01309892i, -0.00210276-0.00415698i, +0.01249198-0.01281497i, +0.00347057+0.01034685i, +0.04718000-0.00719534i, -0.01109445+0.02551551i, +0.05083549-0.02120200i, +0.07317655-0.00179904i, -0.03323562+0.01907652i, +0.03210207-0.03718257i, +0.03810167+0.00000000i, -0.00670133+0.00576356i, -0.02712855+0.04578952i
+0.00167179-0.00150051i, -0.00394277+0.00455692i, +0.00254086-0.00758396i, -0.00543578-0.00470443i, -0.00211551+0.00931741i, +0.00251071-0.00219459i, +0.00121705+0.00921791i, -0.00653379+0.00270418i, -0.00082239+0.00259743i, +0.00507575+0.00362081i, -0.00698170+0.00716568i, -0.00648637-0.00129226i, +0.00068992+0.00612417i, -0.00490804+0.00434777i, +0.00076118-0.00543078i, -0.00709232+0.00147947i, +0.00897998-0.00024465i, +0.00455912-0.00887192i, -0.00461911-0.00036511i, +0.00017018-0.00386164i, -0.00025898+0.00104921i, -0.00413559+0.00036426i, +0.00095474-0.00234479i, -0.00938646-0.00587131i, +0.00581097-0.00280944i, -0.01214814-0.00396077i, -0.01314245-0.01075285i, +0.00873116+0.00167230i, -0.01127065+0.00168367i, -0.00670133-0.00576356i, +0.00205047-0.00000000i, +0.01169787-0.00394979i
