+0.01596177-0.00000000i, +0.00075936+0.00099217i, +0.00060060+0.00160998i, -0.00037753-0.00187762i, +0.00410748+0.00253892i, +0.00257413+0.00123107i, -0.00182918-0.00106922i, -0.00295084-0.00008055i, +0.00079181-0.00013364i, -0.00256773-0.00125948i, -0.00093016+0.00095648i, -0.00265023+0.00326910i, +0.00128424-0.00113207i, +0.00103679-0.00251014i, -0.00000432+0.00010498i, +0.00015427-0.00331259i, -0.00188158-0.00234639i, -0.00242454-0.00234479i, +0.00428326-0.00158135i, +0.00131795+0.00086987i, -0.00039862-0.00190737i, -0.00311364+0.00262395i, +0.00147439-0.00004376i, -0.00197021+0.00195898i, -0.00029791-0.00118657i, -0.00100428+0.00122073i, -0.00198126-0.00106656i, -0.00160187+0.00039068i, +0.00134931+0.00251904i, -0.00320027+0.00125756i, -0.00138069-0.00145871i, +0.00100501-0.00244176i, +0.00170909-0.00280017i, -0.00194487-0.00156907i, +0.00314096-0.00187207i, +0.00144691+0.00147749i, -0.00065633-0.00159037i, -0.00035392+0.00232140i, -0.00073469-0.00107188i, -0.00312684+0.00097999i, +0.00249759+0.00003671i, +0.00073407-0.00097211i, +0.00219292+0.00200734i, -0.00162847+0.00212950i, -0.00189726-0.00397466i, +0.00339832-0.00299613i, +0.00096558+0.00119864i, -0.00215317+0.00055730i, -0.00220737-0.00624266i, -0.00180440-0.00104336i, +0.00230437-0.00113351i, -0.00202188+0.00218671i, +0.00055772-0.00423195i, -0.00015632-0.00366561i, +0.00057268+0.00211349i, +0.00199189+0.00011000i, -0.00032452+0.00063512i, -0.00247773-0.00309969i, -0.00217790-0.00040049i, -0.00050031-0.00100601i, -0.00066914+0.00125075i, +0.00232230+0.00033097i, +0.00120333+0.00128966i, +0.00175204-0.00054641i
-0.00100428-0.00122073i, +0.00071324-0.00029425i, +0.00074936-0.00142153i, -0.00119120+0.00014672i, -0.00063496-0.00272789i, +0.00025855-0.00138674i, +0.00006837+0.00119726i, +0.00105187+0.00114464i, +0.00027220-0.00022822i, +0.00111115+0.00180538i, +0.00043628+0.00020799i, +0.00219265+0.00036467i, +0.00031832-0.00017555i, -0.00040155+0.00018598i, -0.00042099-0.00018012i, -0.00138534+0.00163330i, +0.00060279+0.00216269i, +0.00027507+0.00232623i, -0.00216002-0.00113232i, +0.00057170-0.00061829i, +0.00063314+0.00092318i, +0.00277702+0.00108784i, -0.00202881-0.00014444i, +0.00107451+0.00080155i, -0.00023163+0.00038540i, +0.01420224-0.00000000i, +0.00123051+0.00211557i, +0.00019858+0.00019612i, -0.00008278-0.00195808i, +0.00036454+0.00218324i, -0.00031306+0.00091143i, -0.00248876+0.00281323i, -0.00106179+0.00044182i, +0.00073624+0.00173511i, -0.00185462-0.00034341i, -0.00000955-0.00109076i, -0.00039759+0.00080100i, +0.00117704-0.00157948i, -0.00005907+0.00118777i, +0.00212299+0.00068975i, -0.00143674-0.00080832i, -0.00353524+0.00125507i, -0.00057130-0.00262587i, +0.00209867-0.00061570i, -0.00015325+0.00239943i, -0.00192361+0.00040548i, +0.00004289-0.00124832i, +0.00128109-0.00028249i, -0.00117003+0.00188770i, +0.00084864+0.00021026i, -0.00078007-0.00087615i, +0.00208353-0.00016210i, -0.00152077+0.00066238i, -0.00114451+0.00124032i, +0.00069428-0.00072282i, -0.00052356-0.00057485i, +0.00066760+0.00021936i, +0.00031389+0.00380199i, +0.00061421+0.00158490i, -0.00066426+0.00071765i, +0.00125532-0.00025529i, -0.00103291-0.00128925i, +0.00022958-0.00106891i, -0.00083369-0.00059659i
-0.00198126+0.00106656i, -0.00145583-0.00083019i, -0.00147539-0.00083329i, +0.00078312+0.00164396i, -0.00394026-0.00083292i, -0.00224128-0.00073062i, +0.00261583+0.00115306i, +0.00147157-0.00112834i, -0.00014435+0.00082836i, +0.00289633-0.00069290i, +0.00063705-0.00082028i, +0.00012037-0.00242909i, -0.00029485-0.00021836i, +0.00065049+0.00076404i, -0.00042529+0.00044089i, +0.00087505+0.00182902i, +0.00176940+0.00172778i, +0.00349502+0.00055743i, -0.00240362+0.00281660i, -0.00095956-0.00076023i, +0.00135014+0.00112220i, +0.00083196-0.00362709i, -0.00129703+0.00041033i, +0.00019440-0.00206898i, +0.00071312+0.00085894i, +0.00123051-0.00211557i, +0.01396706-0.00000000i, +0.00123202+0.00043871i, -0.00313508-0.00083036i, +0.00151903-0.00290855i, +0.00099850+0.00157068i, +0.00041316+0.00306796i, -0.00022806+0.00070955i, +0.00177999-0.00005343i, -0.00104724+0.00297428i, -0.00170085-0.00041152i, +0.00102345+0.00081969i, -0.00060654-0.00219201i, +0.00127738+0.00136467i, +0.00123311-0.00186428i, -0.00200743+0.00143748i, +0.00038647+0.00181837i, -0.00514195+0.00024932i, -0.00009372-0.00367558i, +0.00212986+0.00037805i, -0.00067452+0.00397931i, -0.00151120-0.00180839i, +0.00075215-0.00135263i, +0.00201906+0.00230503i, +0.00158778+0.00012400i, +0.00027345+0.00147438i, +0.00072799-0.00266470i, +0.00119671+0.00261728i, +0.00187401+0.00208729i, -0.00007045-0.00118100i, -0.00113077+0.00038103i, -0.00035014-0.00083873i, +0.00316296+0.00091890i, +0.00253169+0.00134686i, +0.00054140+0.00118528i, -0.00070874-0.00167243i, -0.00181393+0.00084456i, -0.00176832-0.00036561i, -0.00041881+0.00131139i
-0.00160187-0.00039068i, +0.00017918-0.00038652i, +0.00021214-0.00048923i, +0.00025452+0.00104936i, -0.00137462-0.00003889i, -0.00091183-0.00032334i, +0.00106072+0.00010744i, +0.00163414+0.00037640i, +0.00001772+0.00025057i, +0.00078522-0.00042334i, +0.00043147-0.00036210i, +0.00106051-0.00076395i, -0.00027493+0.00046110i, -0.00002297+0.00085366i, +0.00037115+0.00007482i, -0.00047717+0.00180209i, +0.00145637+0.00159719i, +0.00139231+0.00096967i, -0.00134708+0.00077621i, -0.00134304-0.00002842i, +0.00042549+0.00065324i, +0.00145143-0.00111296i, -0.00114138+0.00000236i, +0.00007411-0.00086564i, -0.00054033-0.00003913i, +0.00019858-0.00019612i, +0.00123202-0.00043871i, +0.01306563-0.00000000i, -0.00183706-0.00039409i, +0.00103702-0.00135218i, +0.00078472+0.00058778i, -0.00086670+0.00243599i, -0.00033766+0.00059048i, +0.00043458+0.00061446i, -0.00096867+0.00090456i, -0.00088014-0.00010729i, -0.00000412+0.00058528i, +0.00044790-0.00059656i, +0.00044140+0.00060830i, +0.00103017+0.00057843i, -0.00104709+0.00103209i, -0.00021652+0.00004071i, -0.00076274-0.00018276i, -0.00230336-0.00030773i, +0.00083625+0.00056968i, -0.00114814+0.00154451i, -0.00071576-0.00041920i, +0.00061728-0.00074042i, +0.00030461+0.00204396i, +0.00019597+0.00007223i, -0.00052948+0.00028832i, +0.00168790-0.00112425i, +0.00016669+0.00079522i, -0.00019507+0.00164353i, -0.00041295-0.00071908i, -0.00039316-0.00016722i, +0.00012490-0.00010946i, +0.00115425+0.00103775i, +0.00062245+0.00026434i, +0.00060251+0.00232964i, -0.00045604-0.00044324i, -0.00110594-0.00054152i, -0.00012600-0.00041588i, -0.00093849-0.00006277i
+0.00134931-0.00251904i, +0.00151366+0.00116483i, +0.00174990+0.00092785i, -0.00115952-0.00040848i, +0.00526496-0.00151062i, +0.00378258+0.00039447i, -0.00327288-0.00037424i, -0.00004412+0.00264421i, +0.00106858-0.00140337i, -0.00230324+0.00219573i, +0.00065429+0.00199521i, +0.00041307+0.00269686i, -0.00016052-0.00024868i, -0.00106602-0.00087240i, -0.00015195-0.00177963i, -0.00200397-0.00194783i, -0.00390576-0.00071586i, -0.00525899+0.00176681i, +0.00075477-0.00431592i, +0.00148292+0.00051645i, -0.00259778-0.00087046i, -0.00002222+0.00353948i, +0.00125041-0.00103405i, +0.00024509+0.00362915i, -0.00140297-0.00045259i, -0.00008278+0.00195808i, -0.00313508+0.00083036i, -0.00183706+0.00039409i, +0.01645879-0.00000000i, +0.00042569+0.00344085i, -0.00233620-0.00005619i, -0.00161967-0.00274100i, -0.00044225-0.00137390i, -0.00236002+0.00044851i, -0.00035432-0.00336327i, +0.00215974-0.00047699i, -0.00052657-0.00049470i, +0.00131748+0.00169024i, -0.00172999+0.00010979i, -0.00011491+0.00318064i, +0.00122651-0.00299631i, -0.00114098-0.00098841i, +0.00314023-0.00042496i, +0.00194345+0.00336314i, -0.00630892+0.00064900i, -0.00034053-0.00450586i, +0.00161719+0.00051998i, -0.00059476+0.00266156i, -0.00365664-0.00167751i, -0.00113021+0.00082709i, -0.00066462-0.00276664i, -0.00005494+0.00280006i, -0.00351608-0.00220910i, -0.00404822-0.00217101i, +0.00133346+0.00108677i, +0.00045425-0.00123301i, +0.00145866+0.00028079i, -0.00449677+0.00086936i, -0.00067096+0.00088874i, -0.00104657-0.00117594i, +0.00240043+0.00311480i, +0.00199502-0.00239567i, +0.00178382-0.00103419i, +0.00030606-0.00143046i
-0.00320027-0.00125756i, +0.00053893-0.00225865i, -0.00052019-0.00159467i, -0.00087403+0.00188899i, -0.00252313-0.00325739i, -0.00069579-0.00380050i, +0.00096706+0.00262528i, +0.00396405+0.00095442i, -0.00100706+0.00001537i, +0.00278943+0.00204280i, +0.00153680+0.00031646i, +0.00221671-0.00195275i, -0.00047091+0.00024963i, -0.00090810+0.00172049i, -0.00095154+0.00006047i, -0.00078239+0.00357514i, -0.00038476+0.00130464i, +0.00278092+0.00500252i, -0.00453593-0.00094178i, -0.00062271-0.00113692i, -0.00057031+0.00212777i, +0.00507738-0.00121791i, -0.00092461+0.00029757i, +0.00284656-0.00099592i, -0.00142318+0.00205998i, +0.00036454-0.00218324i, +0.00151903+0.00290855i, +0.00103702+0.00135218i, +0.00042569-0.00344085i, +0.01870990-0.00000000i, +0.00082217+0.00169912i, -0.00068738+0.00293836i, -0.00141458+0.00127512i, +0.00212192+0.00190081i, -0.00410181+0.00105167i, -0.00139223-0.00226968i, +0.00012241+0.00206619i, +0.00169702-0.00161030i, +0.00056463+0.00156938i, +0.00319860-0.00087160i, -0.00310488-0.00005080i, -0.00084437+0.00092102i, -0.00240734-0.00321645i, +0.00233511-0.00298133i, +0.00176629+0.00380452i, -0.00793721+0.00293048i, -0.00113477-0.00156398i, +0.00207059+0.00005085i, -0.00034789+0.00464705i, +0.00071254+0.00098331i, -0.00334212+0.00094351i, +0.00313124-0.00105223i, -0.00226837+0.00410347i, -0.00065427+0.00462070i, +0.00042270-0.00205647i, -0.00109530-0.00058428i, -0.00051508-0.00079801i, +0.00151011+0.00383629i, +0.00142351+0.00043122i, -0.00059651+0.00145500i, +0.00092228-0.00147950i, -0.00217301+0.00059519i, -0.00088591-0.00182698i, -0.00220694+0.00003098i
-0.00138069+0.00145871i, -0.00029713-0.00134405i, -0.00100672-0.00018673i, +0.00045410+0.00054496i, -0.00238943-0.00009956i, -0.00108432-0.00019802i, +0.00236417-0.00030089i, +0.00079838-0.00151064i, -0.00083923+0.00058189i, +0.00156912-0.00007016i, +0.00027795-0.00084005i, +0.00027486-0.00203090i, +0.00051557+0.00082792i, +0.00021461+0.00079931i, -0.00019524+0.00043879i, +0.00082914+0.00137616i, +0.00177825+0.00096566i, +0.00255565+0.00016074i, -0.00168269+0.00136127i, -0.00017424-0.00020663i, +0.00124373+0.00095452i, +0.00064757-0.00230356i, -0.00097070+0.00058204i, -0.00000716-0.00210636i, +0.00080072+0.00089038i, -0.00031306-0.00091143i, +0.00099850-0.00157068i, +0.00078472-0.00058778i, -0.00233620+0.00005619i, +0.00082217-0.00169912i, +0.01251960-0.00000000i, +0.00102883+0.00120909i, -0.00022269+0.00112118i, +0.00101011+0.00014823i, -0.00164640+0.00171044i, -0.00092148-0.00023428i, +0.00080180+0.00070817i, -0.00048904-0.00068552i, +0.00143071-0.00009082i, +0.00108524-0.00183428i, -0.00128263+0.00114239i, -0.00016889+0.00070469i, -0.00193932+0.00063729i, -0.00058432-0.00180967i, +0.00158834+0.00085007i, -0.00131921+0.00236271i, -0.00427567+0.00026082i, +0.00036559-0.00165065i, +0.00193001+0.00204005i, +0.00043773-0.00066956i, -0.00094556+0.00109262i, +0.00045339-0.00137154i, +0.00093784+0.00168026i, +0.00153859+0.00162585i, -0.00155820-0.00093135i, -0.00069159+0.00033255i, -0.00079489+0.00019450i, +0.00239573+0.00041342i, +0.00118210-0.00055174i, +0.00040150+0.00080601i, -0.00064107-0.00150225i, -0.00141805+0.00076248i, -0.00026583+0.00101478i, -0.00079381+0.00100581i
+0.00100501+0.00244176i, -0.00091458+0.00031469i, -0.00204124+0.00079119i, +0.00073763+0.00021880i, -0.00127775+0.00394834i, -0.00184920+0.00217893i, +0.00100802-0.00186739i, -0.00097985-0.00320760i, +0.00045637+0.00091541i, -0.00097741-0.00314870i, -0.00083248-0.00015671i, -0.00263366-0.00109126i, +0.00037657+0.00006103i, +0.00097061-0.00043941i, +0.00014787+0.00042074i, +0.00303436-0.00041223i, +0.00173942-0.00258478i, +0.00157760-0.00333917i, +0.00223243+0.00318346i, -0.00015748+0.00060196i, +0.00086475-0.00191813i, -0.00251487-0.00230127i, +0.00121723+0.00214267i, -0.00182014-0.00143730i, +0.00101781-0.00020373i, -0.00248876-0.00281323i, +0.00041316-0.00306796i, -0.00086670-0.00243599i, -0.00161967+0.00274100i, -0.00068738-0.00293836i, +0.00102883-0.00120909i, +0.01534004-0.00000000i, +0.00153685+0.00053312i, +0.00065953-0.00245912i, +0.00304422+0.00156980i, -0.00151393+0.00204056i, +0.00166274-0.00095177i, -0.00184179+0.00040957i, +0.00121850-0.00143003i, -0.00207253-0.00220279i, +0.00201734+0.00302584i, +0.00112068+0.00044759i, -0.00148231+0.00301476i, -0.00269289-0.00024296i, +0.00169560-0.00333646i, +0.00378925+0.00184857i, -0.00156538+0.00200863i, -0.00415548-0.00071505i, +0.00326645-0.00229311i, -0.00011927-0.00092756i, +0.00149238+0.00149835i, -0.00264310-0.00148570i, +0.00278837-0.00032589i, +0.00364156-0.00156397i, -0.00194708+0.00060043i, -0.00053378+0.00195589i, -0.00080486+0.00078733i, +0.00210522-0.00308561i, -0.00074949-0.00148137i, +0.00145947-0.00063203i, -0.00131344+0.00063317i, +0.00041600+0.00262290i, -0.00067528+0.00141672i, +0.00087462+0.00246362i
+0.00170909+0.00280017i, -0.00125088+0.00068870i, -0.00082560+0.00082626i, +0.00052311-0.00038161i, +0.00022885+0.00253133i, -0.00123318+0.00114952i, +0.00016175-0.00095994i, -0.00085795-0.00108865i, +0.00084270+0.00079204i, -0.00025387-0.00193508i, -0.00055147-0.00060780i, -0.00150698-0.00009485i, +0.00072676+0.00088860i, +0.00097455+0.00024703i, +0.00016486+0.00051409i, +0.00190775-0.00091146i, +0.00307262-0.00058684i, +0.00029411-0.00239894i, +0.00184368+0.00165553i, -0.00044859+0.00062040i, +0.00077990-0.00171766i, -0.00113122-0.00135287i, +0.00070373+0.00113819i, -0.00050540-0.00059728i, +0.00065045-0.00082453i, -0.00106179-0.00044182i, -0.00022806-0.00070955i, -0.00033766-0.00059048i, -0.00044225+0.00137390i, -0.00141458-0.00127512i, -0.00022269-0.00112118i, +0.00153685-0.00053312i, +0.01486193+0.00000000i, +0.00115569-0.00190843i, +0.00313060+0.00149693i, -0.00098053+0.00116012i, +0.00143124-0.00162395i, -0.00004798-0.00024391i, -0.00052327-0.00016363i, -0.00199983-0.00146897i, +0.00223602+0.00154172i, +0.00053478+0.00039554i, -0.00013828+0.00187388i, -0.00271145+0.00089740i, +0.00327308-0.00262719i, +0.00325958-0.00075567i, -0.00049375+0.00140934i, -0.00072274-0.00105218i, +0.00254190-0.00182445i, -0.00002318+0.00002913i, +0.00068946+0.00155204i, -0.00245277-0.00068989i, +0.00261745-0.00062444i, +0.00193973-0.00154843i, -0.00082657+0.00047311i, +0.00053750+0.00061443i, -0.00028282-0.00012057i, +0.00130630-0.00228528i, +0.00008212-0.00133368i, +0.00065858-0.00008678i, -0.00128161+0.00065486i, +0.00064525+0.00127740i, +0.00011780+0.00141742i, +0.00009467+0.00128765i
-0.00194487+0.00156907i, +0.00048715+0.00068379i, -0.00227310-0.00106730i, +0.00036111+0.00107382i, -0.00406639-0.00031761i, -0.00212265-0.00114457i, +0.00173547+0.00043568i, +0.00151085-0.00171774i, -0.00103837+0.00075717i, +0.00389396-0.00088450i, -0.00023399-0.00116841i, -0.00064051-0.00325290i, +0.00054560+0.00104435i, +0.00061499+0.00262976i, -0.00038213+0.00025420i, +0.00151199+0.00195586i, +0.00235417+0.00019209i, +0.00667500+0.00025918i, -0.00196915+0.00324085i, -0.00117463+0.00016372i, +0.00165123+0.00084036i, +0.00084463-0.00407212i, -0.00153260+0.00137695i, +0.00095004-0.00257135i, -0.00038177+0.00134725i, +0.00073624-0.00173511i, +0.00177999+0.00005343i, +0.00043458-0.00061446i, -0.00236002-0.00044851i, +0.00212192-0.00190081i, +0.00101011-0.00014823i, +0.00065953+0.00245912i, +0.00115569+0.00190843i, +0.01775927-0.00000000i, -0.00010926+0.00436903i, -0.00248716-0.00035909i, +0.00189227+0.00264041i, -0.00143295-0.00260047i, +0.00041736+0.00098889i, +0.00142435-0.00400189i, -0.00117136+0.00156642i, +0.00074035+0.00101772i, -0.00252880+0.00030280i, -0.00141877-0.00238838i, +0.00476380+0.00151857i, +0.00045442+0.00477778i, -0.00241822-0.00094666i, -0.00002920-0.00095687i, +0.00301930+0.00197189i, +0.00121298+0.00017332i, -0.00082622+0.00204448i, +0.00024469-0.00288031i, +0.00206466+0.00316332i, +0.00327575+0.00194988i, -0.00082869-0.00168059i, -0.00125214+0.00088103i, -0.00043206-0.00078528i, +0.00311143+0.00059250i, +0.00200905-0.00085291i, +0.00039095+0.00059652i, -0.00137443-0.00061389i, -0.00233987+0.00186645i, -0.00209773-0.00025663i, -0.00212639+0.00116236i
+0.00314096+0.00187207i, -0.00074556+0.00199720i, -0.00033176+0.00338172i, +0.00094721-0.00134996i, +0.00137124+0.00487772i, -0.00105920+0.00313444i, -0.00035890-0.00269399i, -0.00337932-0.00185204i, +0.00093942+0.00125943i, -0.00228389-0.00390923i, -0.00146253-0.00002762i, -0.00396408+0.00156808i, +0.00070032-0.00047810i, +0.00179117-0.00111083i, +0.00049919-0.00048725i, +0.00231220-0.00278144i, +0.00060583-0.00312120i, -0.00168516-0.00560290i, +0.00690784+0.00240126i, +0.00024644+0.00184216i, +0.00053131-0.00320222i, -0.00519967+0.00013020i, +0.00214827+0.00121906i, -0.00323881+0.00006802i, +0.00120217-0.00070188i, -0.00185462+0.00034341i, -0.00104724-0.00297428i, -0.00096867-0.00090456i, -0.00035432+0.00336327i, -0.00410181-0.00105167i, -0.00164640-0.00171044i, +0.00304422-0.00156980i, +0.00313060-0.00149693i, -0.00010926-0.00436903i, +0.01720268+0.00000000i, +0.00009296+0.00374233i, +0.00208521-0.00304989i, -0.00236146+0.00180882i, +0.00046508-0.00140007i, -0.00522447+0.00013829i, +0.00406678+0.00180883i, +0.00145261-0.00123061i, +0.00219292+0.00414544i, -0.00420717+0.00308738i, +0.00041738-0.00506298i, +0.00616683-0.00203992i, -0.00004594+0.00231844i, -0.00261128-0.00042234i, +0.00263908-0.00581776i, +0.00003150-0.00162106i, +0.00386207+0.00069701i, -0.00439960+0.00059804i, +0.00434417-0.00378394i, +0.00243083-0.00494600i, -0.00074660+0.00219594i, +0.00081299+0.00058578i, -0.00091915+0.00083454i, -0.00056802-0.00465235i, -0.00152964-0.00147529i, +0.00015666-0.00163101i, -0.00145216+0.00261302i, +0.00296631+0.00221308i, +0.00050094+0.00216930i, +0.00186890+0.00125536i
+0.00144691-0.00147749i, +0.00101272+0.00096123i, +0.00140359+0.00090484i, +0.00065988+0.00076657i, +0.00303826-0.00042245i, +0.00215963+0.00058766i, -0.00179849-0.00081922i, -0.00171083+0.00180743i, +0.00102465-0.00093878i, -0.00271921+0.00093949i, -0.00046702+0.00086155i, +0.00116930+0.00234161i, -0.00031107-0.00044415i, -0.00029363-0.00081152i, +0.00022361-0.00029877i, -0.00187961-0.00279761i, -0.00198600-0.00080063i, -0.00310811+0.00032559i, +0.00152330-0.00321026i, +0.00338526+0.00053187i, -0.00072303-0.00066009i, -0.00072514+0.00272554i, +0.00108417-0.00098367i, +0.00032606+0.00225113i, -0.00031998-0.00064467i, -0.00000955+0.00109076i, -0.00170085+0.00041152i, -0.00088014+0.00010729i, +0.00215974+0.00047699i, -0.00139223+0.00226968i, -0.00092148+0.00023428i, -0.00151393-0.00204056i, -0.00098053-0.00116012i, -0.00248716+0.00035909i, +0.00009296-0.00374233i, +0.01520723+0.00000000i, -0.00160994+0.00014967i, +0.00092082+0.00134776i, -0.00142035-0.00064576i, -0.00008906+0.00245878i, +0.00056150-0.00341566i, -0.00031442-0.00126025i, +0.00250097-0.00027030i, +0.00239187+0.00282693i, -0.00340180+0.00021647i, +0.00079506-0.00364878i, +0.00090974+0.00022929i, -0.00134203+0.00140261i, -0.00282685-0.00202823i, -0.00166987+0.00092305i, +0.00081819-0.00229170i, +0.00038541+0.00265097i, -0.00157739-0.00211563i, -0.00296132-0.00161227i, +0.00075270+0.00138377i, +0.00052148+0.00016085i, +0.00083466+0.00076587i, -0.00196673+0.00011597i, -0.00129693+0.00142829i, -0.00137885-0.00017135i, +0.00116931+0.00104810i, +0.00224430-0.00114187i, +0.00141499-0.00011775i, +0.00107149-0.00088209i
-0.00065633+0.00159037i, -0.00061113-0.00096337i, -0.00137746+0.00022947i, +0.00056931+0.00019115i, -0.00118578+0.00263286i, -0.00212992+0.00039496i, +0.00114289-0.00105241i, +0.00066648-0.00171145i, -0.00162032+0.00097161i, +0.00086327-0.00202556i, +0.00002325-0.00065670i, -0.00192872-0.00167841i, +0.00076463+0.00090844i, +0.00086646+0.00122025i, -0.00026754+0.00008579i, +0.00185459+0.00080332i, +0.00120589+0.00035523i, +0.00166492-0.00152586i, -0.00046669+0.00312662i, -0.00003701+0.00033795i, +0.00403051+0.00076627i, -0.00124218-0.00223731i, -0.00028524+0.00096181i, -0.00075426-0.00264024i, +0.00087835+0.00175693i, -0.00039759-0.00080100i, +0.00102345-0.00081969i, -0.00000412-0.00058528i, -0.00052657+0.00049470i, +0.00012241-0.00206619i, +0.00080180-0.00070817i, +0.00166274+0.00095177i, +0.00143124+0.00162395i, +0.00189227-0.00264041i, +0.00208521+0.00304989i, -0.00160994-0.00014967i, +0.01526741-0.00000000i, +0.00004627-0.00021257i, -0.00035709-0.00104857i, -0.00068175-0.00324371i, -0.00100153+0.00164261i, -0.00081007+0.00010772i, -0.00106732+0.00067574i, -0.00150322-0.00094454i, +0.00200352-0.00117971i, +0.00168728+0.00288065i, -0.00152230+0.00076937i, +0.00032865-0.00187477i, +0.00232807+0.00037503i, +0.00056425-0.00032131i, -0.00022744+0.00182185i, -0.00113520-0.00164648i, +0.00222132+0.00129818i, +0.00262843-0.00010051i, -0.00144997+0.00031626i, -0.00032544+0.00091845i, -0.00083816-0.00057144i, +0.00257845-0.00122311i, +0.00135299-0.00099457i, +0.00104996+0.00054730i, -0.00127788-0.00017809i, -0.00110786+0.00184661i, -0.00129075+0.00050159i, -0.00013837+0.00133612i
-0.00035392-0.00232140i, +0.00062468-0.00102492i, +0.00127718-0.00094157i, -0.00072511+0.00043267i, +0.00151976-0.00274078i, +0.00264218-0.00029962i, -0.00082375+0.00124462i, +0.00081039+0.00164886i, +0.00035382-0.00019162i, -0.00141566+0.00283982i, +0.00017205+0.00067400i, +0.00185950+0.00107121i, +0.00013175-0.00017479i, -0.00107318+0.00050250i, -0.00075737-0.00023617i, -0.00196332+0.00049231i, -0.00141397+0.00175543i, -0.00132626+0.00291591i, -0.00183491-0.00270210i, +0.00037503-0.00049638i, -0.00106429+0.00035723i, +0.00461091+0.00305708i, -0.00005683-0.00121572i, +0.00119445+0.00129450i, -0.00056367-0.00024568i, +0.00117704+0.00157948i, -0.00060654+0.00219201i, +0.00044790+0.00059656i, +0.00131748-0.00169024i, +0.00169702+0.00161030i, -0.00048904+0.00068552i, -0.00184179-0.00040957i, -0.00004798+0.00024391i, -0.00143295+0.00260047i, -0.00236146-0.00180882i, +0.00092082-0.00134776i, +0.00004627+0.00021257i, +0.01653063-0.00000000i, -0.00133396+0.00054632i, +0.00211191+0.00251304i, +0.00024548-0.00287510i, -0.00089804+0.00171890i, +0.00179341-0.00228652i, +0.00189915+0.00052078i, -0.00168558+0.00167665i, -0.00351922-0.00231333i, +0.00070909-0.00079917i, +0.00080544+0.00109288i, -0.00299664+0.00113593i, -0.00109128+0.00083538i, -0.00113400-0.00070107i, +0.00210519+0.00090529i, -0.00221555+0.00029217i, -0.00249893+0.00129169i, +0.00127367+0.00006324i, +0.00011192-0.00143062i, +0.00087107-0.00039838i, -0.00165856+0.00222179i, -0.00057516+0.00200342i, -0.00116307+0.00113100i, +0.00091573+0.00060829i, -0.00004320-0.00231148i, +0.00035502-0.00067477i, -0.00005589-0.00082525i
-0.00073469+0.00107188i, -0.00042906-0.00096992i, -0.00087052-0.00041683i, +0.00048393+0.00019813i, -0.00226643+0.00020045i, -0.00177718-0.00034833i, +0.00242273+0.00129007i, +0.00053520-0.00159382i, -0.00035501+0.00059291i, +0.00145536-0.00096883i, +0.00089357-0.00075900i, -0.00013479-0.00114075i, +0.00007685-0.00000782i, +0.00032829+0.00012806i, -0.00018690+0.00098203i, +0.00118982+0.00110833i, +0.00159898+0.00004934i, +0.00146377-0.00070313i, -0.00046818+0.00137416i, -0.00033301+0.00049573i, +0.00031175+0.00038175i, +0.00028096-0.00176663i, +0.00155876+0.00129683i, +0.00007469-0.00096832i, +0.00001621+0.00060789i, -0.00005907-0.00118777i, +0.00127738-0.00136467i, +0.00044140-0.00060830i, -0.00172999-0.00010979i, +0.00056463-0.00156938i, +0.00143071+0.00009082i, +0.00121850+0.00143003i, -0.00052327+0.00016363i, +0.00041736-0.00098889i, +0.00046508+0.00140007i, -0.00142035+0.00064576i, -0.00035709+0.00104857i, -0.00133396-0.00054632i, +0.01227685+0.00000000i, +0.00086140-0.00111918i, -0.00022422+0.00182122i, +0.00077085+0.00067962i, -0.00144543-0.00043881i, -0.00028306-0.00141008i, +0.00133370-0.00014286i, -0.00064745+0.00271484i, -0.00123993-0.00055483i, +0.00042639-0.00059081i, +0.00175776+0.00106539i, +0.00049058-0.00050763i, +0.00015519+0.00116739i, +0.00021042-0.00153031i, +0.00131023+0.00039423i, +0.00196688+0.00148240i, -0.00047995-0.00107181i, -0.00093926+0.00061539i, -0.00043168-0.00010474i, +0.00196504-0.00016149i, +0.00067289-0.00022234i, +0.00001722+0.00058474i, -0.00023742-0.00097363i, -0.00095406+0.00077859i, -0.00119302+0.00035963i, +0.00006899+0.00101260i
