+0.01583578+0.00000000i, +0.00034634-0.00016875i, +0.00007931-0.00006169i, +0.00031329+0.00006248i, -0.00017210-0.00022931i, -0.00010373+0.00014743i, +0.00026997-0.00017098i, -0.00009934-0.00020270i, +0.00012972+0.00022103i, -0.00004044-0.00008836i, +0.00009526+0.00000351i, -0.00016359+0.00000069i, -0.00008986-0.00014911i, -0.00044017-0.00006439i, +0.00011474+0.00014329i, +0.00010566-0.00009564i, +0.00016045-0.00016121i, -0.00000865+0.00021893i, +0.00010827-0.00013506i, +0.00014259-0.00001342i, +0.00012801-0.00021953i, +0.00010075+0.00019586i, -0.00030085+0.00005656i, -0.00018057+0.00009780i, +0.00031846+0.00004593i, -0.00006285+0.00006374i, -0.00005677-0.00009497i, +0.00018628-0.00030663i, +0.00011522-0.00012591i, +0.00011662+0.00007297i, -0.00002529+0.00006257i, -0.00008264+0.00016644i, -0.00017068-0.00024776i, +0.00014525-0.00002667i, -0.00009937-0.00000111i, -0.00018935-0.00010188i, +0.00020550+0.00016946i, +0.00027190-0.00001412i, -0.00002421-0.00003951i, +0.00005681+0.00026390i, +0.00022297-0.00004269i, +0.00014276+0.00022049i, +0.00005069+0.00003493i, -0.00002187-0.00003287i, +0.00020404+0.00001645i, -0.00001824+0.00015170i, -0.00005814+0.00000311i, -0.00004616-0.00005128i, +0.00002207-0.00017277i, -0.00007907-0.00009781i, +0.00008808+0.00008815i, -0.00001693+0.00006920i, +0.00005802+0.00017136i, +0.00008017+0.00021026i, -0.00013266-0.00014096i, +0.00006860-0.00004449i, -0.00000477-0.00003872i, +0.00008857-0.00002263i, -0.00018745+0.00009731i, +0.00015624-0.00005385i, +0.00023032-0.00004600i, +0.00003091+0.00017600i, -0.00002798-0.00027967i, -0.00003569-0.00010584i
-0.00006285-0.00006374i, -0.00005086+0.00001378i, -0.00012455+0.00001218i, -0.00001786+0.00003602i, -0.00008637-0.00001884i, -0.00010598-0.00010670i, -0.00004148-0.00000747i, -0.00005987+0.00001585i, +0.00001800+0.00000356i, +0.00005844-0.00005660i, +0.00002542-0.00003367i, -0.00005814+0.00008607i, +0.00001429-0.00002459i, -0.00008569-0.00009036i, +0.00003350-0.00007585i, -0.00010594-0.00001480i, -0.00014171-0.00008933i, -0.00000281+0.00003040i, +0.00001319-0.00006907i, +0.00003278-0.00004666i, +0.00009316+0.00002175i, +0.00009045+0.00006158i, +0.00003472+0.00013313i, -0.00007225-0.00011730i, -0.00001598+0.00001629i, +0.01572218-0.00000000i, +0.00019267-0.00004693i, -0.00006080-0.00004382i, +0.00003238+0.00001435i, -0.00006463-0.00007025i, +0.00001649-0.00005734i, -0.00000576-0.00004835i, -0.00001063-0.00000495i, -0.00014197-0.00022300i, +0.00005758-0.00002709i, +0.00002475+0.00001297i, -0.00000466+0.00004242i, -0.00001940-0.00008529i, +0.00002560+0.00002528i, -0.00000969-0.00001759i, -0.00005661-0.00003035i, -0.00000233+0.00007781i, +0.00002952-0.00003242i, +0.00000317-0.00000621i, +0.00001524-0.00002029i, +0.00002996+0.00000159i, +0.00006978-0.00003542i, +0.00002145+0.00004785i, +0.00000522+0.00001593i, -0.00006274+0.00005084i, +0.00005088+0.00000105i, -0.00002367-0.00007556i, +0.00001075+0.00000151i, +0.00004579+0.00002226i, -0.00007284+0.00000008i, -0.00002685+0.00004775i, -0.00002493-0.00003361i, +0.00010472+0.00011399i, +0.00005938+0.00001739i, -0.00010381+0.00000450i, -0.00001211+0.00000093i, -0.00006166+0.00001739i, -0.00004193+0.00009582i, +0.00007529-0.00001616i
-0.00005677+0.00009497i, -0.00013158+0.00009566i, +0.00001747+0.00002760i, -0.00012199-0.00013180i, +0.00012596-0.00003677i, +0.00008797-0.00008687i, -0.00003045+0.00012402i, +0.00016182+0.00009738i, -0.00012679-0.00007955i, +0.00001598+0.00001258i, +0.00000697-0.00004135i, +0.00014658-0.00009663i, +0.00024757+0.00008893i, +0.00015297-0.00012689i, +0.00000566+0.00006849i, +0.00008431+0.00004254i, -0.00006079-0.00000869i, -0.00011773-0.00013929i, +0.00009366+0.00008558i, -0.00010990+0.00004545i, -0.00011141+0.00010860i, -0.00022593-0.00013521i, +0.00007778-0.00010340i, +0.00016799-0.00017671i, -0.00004673+0.00003449i, +0.00019267+0.00004693i, +0.01553202+0.00000000i, +0.00007187+0.00028598i, -0.00011118+0.00014920i, -0.00001464-0.00004008i, +0.00001657+0.00005633i, +0.00000843-0.00010851i, +0.00009876+0.00000793i, -0.00005909+0.00004270i, -0.00007782-0.00009887i, +0.00025073-0.00008933i, -0.00019529+0.00008652i, -0.00010250+0.00008210i, +0.00001454+0.00006022i, -0.00014472-0.00012705i, -0.00004726+0.00013393i, -0.00013261-0.00012753i, -0.00005160+0.00005651i, +0.00004769-0.00008085i, -0.00006565+0.00012228i, -0.00008163-0.00000380i, +0.00000688-0.00008902i, +0.00002661+0.00009551i, -0.00003485+0.00001308i, +0.00001389+0.00001008i, -0.00007399+0.00004869i, -0.00002461-0.00005473i, -0.00006251-0.00003418i, -0.00015894-0.00008063i, +0.00009231+0.00002959i, -0.00001451+0.00004952i, -0.00002159-0.00004690i, +0.00001429+0.00004341i, +0.00002190-0.00001770i, -0.00014364+0.00013778i, -0.00010484+0.00006529i, -0.00003672-0.00012334i, +0.00017360+0.00014482i, +0.00007412-0.00003451i
+0.00018628+0.00030663i, +0.00032937+0.00018723i, +0.00005946-0.00001901i, -0.00003850+0.00006785i, +0.00013057-0.00026780i, -0.00016653-0.00002357i, +0.00029518-0.00000512i, +0.00005684-0.00023374i, -0.00001687+0.00024199i, -0.00003414+0.00010671i, -0.00004195+0.00003368i, -0.00015014-0.00028508i, +0.00008603-0.00028774i, -0.00026874-0.00031438i, +0.00002487+0.00021797i, +0.00013861+0.00004001i, +0.00017260+0.00005734i, -0.00015171+0.00006443i, +0.00017337-0.00011258i, +0.00003320+0.00011950i, +0.00040740+0.00005183i, -0.00015522+0.00036922i, -0.00031572-0.00034960i, -0.00024290-0.00020053i, +0.00038337+0.00029644i, -0.00006080+0.00004382i, +0.00007187-0.00028598i, +0.01605353-0.00000000i, +0.00018558+0.00013926i, +0.00013138+0.00013929i, -0.00004319-0.00002984i, -0.00031111-0.00000041i, +0.00002291-0.00032884i, +0.00009674+0.00004912i, -0.00003672-0.00012311i, -0.00032441-0.00043479i, +0.00000859+0.00025586i, +0.00013921+0.00031190i, +0.00000405-0.00010904i, -0.00024109+0.00036058i, +0.00016118+0.00017010i, -0.00016310+0.00034648i, -0.00002770+0.00007435i, -0.00000583+0.00010759i, +0.00017099+0.00007381i, -0.00009748+0.00011879i, -0.00003743-0.00001484i, +0.00006119-0.00005818i, +0.00015630-0.00015624i, -0.00005724-0.00006103i, -0.00010338+0.00018742i, -0.00008544+0.00010328i, -0.00012085+0.00028378i, -0.00020877+0.00022099i, +0.00007689-0.00020264i, +0.00008125-0.00004201i, -0.00010028+0.00014871i, +0.00004492+0.00020668i, -0.00032468+0.00000086i, +0.00026337+0.00019966i, +0.00022635+0.00014601i, -0.00021866+0.00022891i, +0.00029581-0.00022699i, +0.00005980-0.00009820i
+0.00011522+0.00012591i, +0.00013808+0.00002320i, +0.00003887+0.00000892i, -0.00000425+0.00017721i, -0.00005601-0.00008800i, -0.00015029+0.00000576i, +0.00002276-0.00003463i, -0.00005358+0.00003870i, -0.00006646+0.00002998i, +0.00004867-0.00005612i, -0.00004172+0.00005712i, -0.00004808-0.00006706i, +0.00007231-0.00013644i, -0.00018694-0.00010930i, +0.00003467+0.00008146i, +0.00006899-0.00000342i, +0.00004105-0.00001264i, -0.00009163+0.00002373i, +0.00000684+0.00001486i, +0.00000609+0.00004976i, +0.00021107-0.00000014i, -0.00007633+0.00020879i, +0.00003142-0.00013681i, -0.00026340-0.00003603i, +0.00009403+0.00001221i, +0.00003238-0.00001435i, -0.00011118-0.00014920i, +0.00018558-0.00013926i, +0.01553776+0.00000000i, +0.00004444+0.00005788i, +0.00001469-0.00002938i, -0.00028656+0.00007291i, +0.00002061-0.00012755i, +0.00005408+0.00000664i, -0.00004516-0.00006753i, -0.00009531-0.00006266i, +0.00014114+0.00010483i, +0.00012166+0.00008539i, +0.00000739-0.00005393i, -0.00001803+0.00012385i, +0.00008066+0.00002677i, +0.00005189+0.00010397i, -0.00003693+0.00000548i, -0.00004479+0.00001435i, -0.00001815+0.00002783i, -0.00001179+0.00004548i, -0.00005307-0.00003553i, -0.00004218-0.00000085i, -0.00001058-0.00000729i, -0.00006302-0.00008642i, -0.00006224+0.00006333i, +0.00003012+0.00006170i, +0.00001603+0.00006755i, +0.00009897+0.00012853i, -0.00000297-0.00009267i, +0.00004535-0.00003866i, -0.00006260+0.00006531i, +0.00000614+0.00001523i, -0.00013144+0.00000435i, +0.00003869-0.00001507i, +0.00012795+0.00008752i, -0.00003222+0.00012572i, +0.00007279-0.00008641i, +0.00002112-0.00002489i
+0.00011662-0.00007297i, +0.00009880-0.00006826i, +0.00005994-0.00000387i, -0.00002002+0.00004549i, -0.00003266-0.00004757i, -0.00008162+0.00011247i, -0.00000288-0.00003463i, -0.00003416-0.00003738i, +0.00006226-0.00001182i, -0.00003213+0.00004723i, +0.00007263-0.00000931i, -0.00014944-0.00008430i, -0.00005269-0.00000283i, -0.00008906-0.00008419i, +0.00007540-0.00000493i, +0.00004019-0.00008401i, +0.00008529-0.00001585i, +0.00002044+0.00002271i, +0.00007933-0.00014079i, +0.00005778+0.00002614i, +0.00008180-0.00014661i, -0.00001460+0.00013418i, -0.00013637-0.00006966i, -0.00014999+0.00000173i, +0.00013783+0.00006633i, -0.00006463+0.00007025i, -0.00001464+0.00004008i, +0.00013138-0.00013929i, +0.00004444-0.00005788i, +0.01556866-0.00000000i, -0.00027513-0.00005528i, -0.00010592+0.00016255i, -0.00010594-0.00006782i, +0.00003142-0.00000528i, -0.00003919-0.00002892i, -0.00012616-0.00004596i, +0.00000683+0.00008183i, +0.00021041+0.00008161i, +0.00001961-0.00007414i, +0.00008970+0.00004426i, +0.00000531-0.00002868i, +0.00007882+0.00006039i, +0.00009454+0.00000053i, +0.00000275+0.00003789i, -0.00000905-0.00004572i, -0.00000478+0.00010684i, -0.00000725+0.00006427i, -0.00002135-0.00004326i, +0.00000636-0.00013647i, -0.00009465-0.00004317i, +0.00005364+0.00002492i, +0.00006088+0.00000752i, +0.00010546+0.00009899i, +0.00011193+0.00007931i, -0.00008028-0.00010786i, +0.00005814-0.00001575i, -0.00004793+0.00008600i, -0.00002361+0.00009983i, -0.00004274+0.00002939i, +0.00003821+0.00005148i, +0.00011613-0.00000682i, +0.00004095+0.00010995i, -0.00007265-0.00011431i, -0.00003078+0.00001471i
-0.00002529-0.00006257i, +0.00007896+0.00000734i, +0.00002118+0.00003474i, -0.00003078-0.00002405i, +0.00001328-0.00000163i, -0.00003968+0.00007842i, -0.00004249-0.00007080i, +0.00003455+0.00006851i, +0.00009184+0.00004771i, +0.00004812+0.00006771i, +0.00001132+0.00005135i, -0.00002792+0.00002347i, +0.00002257-0.00018166i, +0.00000327+0.00008242i, +0.00002187-0.00003410i, -0.00002786-0.00007340i, +0.00006831+0.00002773i, +0.00010834+0.00001533i, +0.00001050+0.00006886i, +0.00010359+0.00003216i, +0.00001599+0.00007198i, -0.00006369+0.00001917i, +0.00005898-0.00002242i, +0.00008470+0.00005758i, -0.00002569+0.00001723i, +0.00001649+0.00005734i, +0.00001657-0.00005633i, -0.00004319+0.00002984i, +0.00001469+0.00002938i, -0.00027513+0.00005528i, +0.01541170+0.00000000i, +0.00007630+0.00009832i, -0.00001259+0.00000567i, +0.00003577-0.00000644i, -0.00002120-0.00000715i, -0.00008017+0.00004283i, -0.00007128-0.00004464i, -0.00006000-0.00002395i, +0.00017821+0.00013408i, +0.00008101+0.00005520i, +0.00002673-0.00002144i, +0.00004695+0.00006333i, -0.00004397-0.00001024i, -0.00005986+0.00000006i, +0.00002559-0.00006076i, -0.00004747+0.00003216i, +0.00001213+0.00001313i, +0.00009266-0.00005872i, -0.00004761-0.00001002i, -0.00002083-0.00001757i, +0.00006623+0.00007413i, +0.00011887+0.00005081i, +0.00002169+0.00003853i, +0.00001107-0.00002010i, +0.00008955+0.00000012i, +0.00002635+0.00001990i, -0.00000019-0.00001466i, -0.00005507+0.00001595i, +0.00003395-0.00005526i, -0.00002043-0.00001281i, -0.00002428+0.00003082i, -0.00003621-0.00006167i, +0.00002002+0.00007517i, -0.00005558+0.00006898i
-0.00008264-0.00016644i, -0.00015815-0.00010653i, -0.00007311+0.00003242i, +0.00011114-0.00006076i, -0.00001541+0.00018018i, +0.00013390-0.00003699i, -0.00012764+0.00000693i, -0.00008448+0.00023197i, +0.00000561-0.00006287i, -0.00008461-0.00009099i, -0.00001028-0.00002232i, +0.00013172+0.00006859i, -0.00000477+0.00010995i, +0.00012107+0.00016311i, -0.00004640-0.00013862i, +0.00000847-0.00016034i, -0.00006958-0.00002862i, +0.00006326-0.00006833i, -0.00015829+0.00005795i, -0.00004428-0.00016456i, -0.00032762+0.00000930i, -0.00003342-0.00005501i, +0.00001698+0.00012218i, +0.00012502+0.00015288i, -0.00006760-0.00010609i, -0.00000576+0.00004835i, +0.00000843+0.00010851i, -0.00031111+0.00000041i, -0.00028656-0.00007291i, -0.00010592-0.00016255i, +0.00007630-0.00009832i, +0.01562116-0.00000000i, -0.00003050+0.00017715i, -0.00006736-0.00000086i, +0.00003136+0.00007608i, +0.00015348+0.00014289i, +0.00001094-0.00013762i, -0.00009615-0.00012654i, +0.00005371+0.00004287i, +0.00018885-0.00011330i, +0.00000523-0.00007749i, +0.00004349-0.00015037i, -0.00007169+0.00004205i, -0.00003815+0.00000703i, -0.00012198-0.00005084i, +0.00005631+0.00000121i, -0.00000894+0.00000138i, -0.00010984+0.00018275i, -0.00008700+0.00004893i, +0.00005002+0.00004245i, -0.00000899-0.00000459i, +0.00007027-0.00005495i, +0.00008094-0.00014930i, +0.00011277-0.00009472i, -0.00001220+0.00016866i, -0.00006978-0.00011125i, +0.00003491-0.00003683i, +0.00006935-0.00001873i, +0.00015437-0.00003013i, +0.00001761+0.00001248i, -0.00014034-0.00006432i, +0.00009303-0.00010000i, -0.00016849+0.00016792i, +0.00004781+0.00006452i
-0.00017068+0.00024776i, -0.00010532+0.00015191i, +0.00001278+0.00004555i, -0.00002211-0.00009675i, +0.00016232+0.00000650i, -0.00001583-0.00019280i, +0.00003573+0.00020501i, +0.00014740+0.00001209i, -0.00010881+0.00004928i, -0.00003964+0.00000678i, +0.00003071+0.00001252i, +0.00019194-0.00006606i, +0.00011214-0.00003743i, +0.00009315-0.00022472i, -0.00017525+0.00004942i, -0.00004127+0.00006614i, -0.00001421+0.00007739i, -0.00004831-0.00010122i, +0.00004411+0.00016019i, -0.00006859+0.00006322i, -0.00008262+0.00020856i, -0.00019060+0.00002278i, +0.00020411-0.00015611i, +0.00002704-0.00017042i, -0.00028351+0.00013663i, -0.00001063+0.00000495i, +0.00009876-0.00000793i, +0.00002291+0.00032884i, +0.00002061+0.00012755i, -0.00010594+0.00006782i, -0.00001259-0.00000567i, -0.00003050-0.00017715i, +0.01567221-0.00000000i, +0.00001935+0.00005181i, +0.00009474-0.00000310i, +0.00049368-0.00028075i, -0.00011064+0.00001341i, -0.00019399+0.00022040i, +0.00011883-0.00003659i, -0.00024720-0.00023543i, -0.00011030+0.00015778i, -0.00030768-0.00019734i, -0.00002164-0.00002120i, -0.00008690-0.00005610i, -0.00017126+0.00018120i, -0.00019319-0.00012605i, -0.00000845-0.00005159i, +0.00005781+0.00005835i, +0.00012583+0.00016908i, +0.00006558-0.00001213i, -0.00007755-0.00006405i, -0.00005414+0.00007474i, -0.00026675-0.00012010i, -0.00018122-0.00015106i, +0.00017785+0.00013844i, +0.00007652+0.00011368i, -0.00000597-0.00013798i, -0.00014246-0.00008557i, -0.00000475-0.00023952i, +0.00000270+0.00007067i, -0.00016870+0.00019775i, -0.00009551-0.00022888i, +0.00032183+0.00020293i, +0.00003402+0.00000697i
+0.00014525+0.00002667i, +0.00004056+0.00017465i, +0.00003155+0.00001111i, -0.00006383+0.00005769i, -0.00003737-0.00009924i, -0.00005199-0.00004408i, +0.00004895-0.00008614i, +0.00004396-0.00023506i, +0.00001014+0.00015850i, +0.00013103+0.00009559i, -0.00001699-0.00000662i, -0.00013450+0.00000340i, -0.00011012-0.00012028i, -0.00021021+0.00000916i, +0.00002298+0.00005348i, +0.00008773-0.00004346i, +0.00007496+0.00004620i, -0.00004404+0.00015289i, +0.00004892-0.00004706i, +0.00000113+0.00002477i, +0.00011510-0.00007094i, -0.00001117+0.00015926i, -0.00021519-0.00000556i, -0.00008879+0.00004139i, +0.00006815+0.00008688i, -0.00014197+0.00022300i, -0.00005909-0.00004270i, +0.00009674-0.00004912i, +0.00005408-0.00000664i, +0.00003142+0.00000528i, +0.00003577+0.00000644i, -0.00006736+0.00000086i, +0.00001935-0.00005181i, +0.01568905-0.00000000i, +0.00021104-0.00007952i, -0.00015956-0.00006581i, +0.00000096+0.00007380i, +0.00021284+0.00006104i, +0.00001699+0.00005044i, -0.00000330+0.00025391i, +0.00016967+0.00011930i, +0.00010376+0.00012048i, +0.00003699-0.00001329i, -0.00009143-0.00000221i, +0.00012114+0.00006831i, -0.00017779+0.00012071i, -0.00009143+0.00004432i, -0.00008131-0.00004551i, +0.00008256-0.00002121i, +0.00005202-0.00000968i, +0.00001466+0.00010862i, +0.00007226+0.00008166i, +0.00011088+0.00007965i, +0.00002140+0.00007502i, +0.00000296-0.00002200i, +0.00004330+0.00000191i, -0.00005416+0.00006332i, -0.00005432+0.00002137i, -0.00016405+0.00001345i, +0.00006322-0.00005397i, +0.00011099+0.00000455i, -0.00008614+0.00007959i, -0.00002619-0.00012538i, -0.00009580-0.00011571i
-0.00009937+0.00000111i, -0.00002495+0.00009046i, -0.00007959+0.00019237i, -0.00004946-0.00000236i, -0.00000383+0.00006362i, +0.00002901-0.00005086i, +0.00000631+0.00007265i, +0.00009923-0.00003720i, -0.00005166+0.00004866i, +0.00000333-0.00001767i, +0.00001097+0.00001409i, +0.00001946-0.00006114i, +0.00002241+0.00004199i, +0.00002227-0.00005578i, +0.00000259-0.00002840i, -0.00004735-0.00000002i, -0.00005482+0.00009172i, -0.00006070-0.00005566i, +0.00004272+0.00010520i, -0.00003823+0.00003325i, -0.00000309+0.00006808i, -0.00002590-0.00001862i, +0.00010659-0.00002095i, -0.00000160-0.00004356i, -0.00004594+0.00008054i, +0.00005758+0.00002709i, -0.00007782+0.00009887i, -0.00003672+0.00012311i, -0.00004516+0.00006753i, -0.00003919+0.00002892i, -0.00002120+0.00000715i, +0.00003136-0.00007608i, +0.00009474+0.00000310i, +0.00021104+0.00007952i, +0.01542012-0.00000000i, +0.00011160-0.00000672i, -0.00002659-0.00007154i, -0.00007993+0.00002177i, -0.00011236-0.00001188i, -0.00010334+0.00001478i, +0.00004268+0.00009174i, -0.00015462-0.00002588i, -0.00008343-0.00001712i, +0.00002490-0.00007978i, -0.00004840-0.00008263i, -0.00006935-0.00016413i, +0.00004479+0.00007833i, +0.00011035+0.00000106i, -0.00001389+0.00002063i, +0.00006759-0.00000917i, +0.00005461+0.00011428i, -0.00007112+0.00000022i, -0.00002460+0.00001943i, -0.00002610+0.00004751i, +0.00010622-0.00002103i, -0.00007664+0.00003314i, -0.00000143+0.00004026i, -0.00005423+0.00002547i, -0.00007620-0.00009752i, +0.00002600+0.00006464i, +0.00009368+0.00006551i, -0.00008983-0.00009686i, +0.00010646+0.00008340i, -0.00002584-0.00000664i
-0.00018935+0.00010188i, -0.00025701+0.00009154i, -0.00008342+0.00009721i, -0.00005190-0.00009232i, +0.00011204+0.00018684i, +0.00011632-0.00022454i, -0.00004618+0.00024408i, +0.00019049+0.00026539i, -0.00015033-0.00019795i, +0.00000118-0.00005981i, -0.00008538+0.00002104i, +0.00026995+0.00004911i, +0.00012126+0.00017950i, +0.00035138-0.00012903i, -0.00015518-0.00010617i, -0.00000292+0.00016863i, -0.00017685+0.00004974i, +0.00002110-0.00013874i, -0.00006794+0.00016616i, -0.00007086+0.00006162i, -0.00019180+0.00024839i, -0.00029114-0.00005848i, +0.00029715-0.00005638i, +0.00023765-0.00007486i, -0.00027333+0.00004722i, +0.00002475-0.00001297i, +0.00025073+0.00008933i, -0.00032441+0.00043479i, -0.00009531+0.00006266i, -0.00012616+0.00004596i, -0.00008017-0.00004283i, +0.00015348-0.00014289i, +0.00049368+0.00028075i, -0.00015956+0.00006581i, +0.00011160+0.00000672i, +0.01571348-0.00000000i, -0.00022967-0.00015630i, -0.00027467+0.00003951i, +0.00008495+0.00012193i, -0.00022609-0.00039938i, -0.00018627+0.00013368i, -0.00027932-0.00027563i, -0.00008055+0.00002119i, +0.00000865-0.00000125i, -0.00020195+0.00009713i, -0.00011598-0.00008339i, +0.00002678-0.00012315i, +0.00004470+0.00005953i, -0.00001215+0.00011138i, +0.00015441+0.00006567i, -0.00007151-0.00008649i, -0.00003483-0.00003818i, -0.00012593-0.00023542i, -0.00006630-0.00021868i, +0.00011157+0.00016246i, +0.00002524+0.00009734i, -0.00000585-0.00015900i, -0.00001564-0.00011184i, +0.00016951-0.00023899i, -0.00019896+0.00011734i, -0.00021974+0.00012753i, -0.00004200-0.00020808i, +0.00019436+0.00030240i, +0.00009299+0.00005601i
+0.00020550-0.00016946i, +0.00013115-0.00011748i, +0.00002725-0.00002724i, +0.00006734+0.00015619i, -0.00025605+0.00007567i, -0.00005478+0.00010929i, +0.00002260-0.00012032i, -0.00018222-0.00007304i, +0.00020198+0.00004127i, +0.00001895-0.00002801i, +0.00000056-0.00005269i, -0.00015926+0.00008248i, -0.00016020-0.00006945i, -0.00011083+0.00018334i, +0.00005118+0.00008430i, +0.00002040-0.00011751i, +0.00001864-0.00010358i, +0.00001360+0.00013392i, +0.00005671-0.00015223i, +0.00006685-0.00002037i, +0.00007345-0.00015211i, +0.00019671+0.00009794i, -0.00016539+0.00012359i, -0.00006974+0.00005233i, +0.00015247-0.00010862i, -0.00000466-0.00004242i, -0.00019529-0.00008652i, +0.00000859-0.00025586i, +0.00014114-0.00010483i, +0.00000683-0.00008183i, -0.00007128+0.00004464i, +0.00001094+0.00013762i, -0.00011064-0.00001341i, +0.00000096-0.00007380i, -0.00002659+0.00007154i, -0.00022967+0.00015630i, +0.01578736+0.00000000i, +0.00015560-0.00015265i, -0.00009973-0.00013961i, +0.00002963+0.00014348i, +0.00010437-0.00013043i, +0.00007419+0.00013387i, +0.00000274+0.00006472i, +0.00003280+0.00008807i, +0.00004316-0.00018169i, +0.00013019-0.00001095i, -0.00016427+0.00001704i, +0.00000721+0.00008242i, -0.00008335-0.00013602i, -0.00004176+0.00000325i, +0.00002352-0.00006954i, +0.00007486+0.00006372i, +0.00030197+0.00012062i, +0.00016499+0.00009378i, -0.00013132-0.00001752i, -0.00003179-0.00016673i, +0.00005681+0.00015823i, +0.00007913-0.00000577i, -0.00008877+0.00021695i, +0.00013865-0.00016602i, +0.00004571-0.00013044i, +0.00003754+0.00017273i, -0.00009999-0.00021604i, -0.00012675-0.00003306i
+0.00027190+0.00001412i, +0.00024458-0.00001355i, +0.00003041-0.00006872i, -0.00006633+0.00009484i, -0.00010864-0.00017631i, -0.00016275+0.00022345i, +0.00003588-0.00016088i, -0.00010067-0.00025884i, +0.00004378+0.00019187i, +0.00007250-0.00000252i, +0.00003470-0.00001007i, -0.00025320+0.00001668i, -0.00014959-0.00016874i, -0.00039825-0.00000061i, +0.00009477+0.00004088i, +0.00009664-0.00009757i, +0.00007663-0.00000832i, -0.00011877+0.00019345i, +0.00007432-0.00004998i, +0.00006191+0.00002145i, +0.00019168-0.00014210i, +0.00015508+0.00022682i, -0.00025301-0.00001308i, -0.00019554+0.00000826i, +0.00022636-0.00010527i, -0.00001940+0.00008529i, -0.00010250-0.00008210i, +0.00013921-0.00031190i, +0.00012166-0.00008539i, +0.00021041-0.00008161i, -0.00006000+0.00002395i, -0.00009615+0.00012654i, -0.00019399-0.00022040i, +0.00021284-0.00006104i, -0.00007993-0.00002177i, -0.00027467-0.00003951i, +0.00015560+0.00015265i, +0.01580864-0.00000000i, -0.00028279-0.00003654i, +0.00003889+0.00044822i, +0.00022760-0.00004197i, +0.00014953+0.00018575i, +0.00015079-0.00004221i, +0.00003199+0.00010496i, +0.00003540+0.00002785i, +0.00005715+0.00022017i, -0.00003734+0.00004358i, +0.00001428+0.00002434i, -0.00005500-0.00012543i, -0.00018665+0.00003431i, +0.00010094+0.00011755i, -0.00004586-0.00007849i, +0.00018227+0.00018718i, +0.00013482+0.00020039i, -0.00015678-0.00011787i, +0.00003435-0.00008384i, -0.00010890+0.00005900i, +0.00025406+0.00010085i, -0.00023014+0.00011191i, +0.00012565-0.00011649i, +0.00021397-0.00006920i, -0.00006276+0.00022807i, -0.00005875-0.00028315i, -0.00004258-0.00008260i
-0.00002421+0.00003951i, -0.00001427+0.00000833i, -0.00004597+0.00007020i, -0.00004058-0.00001915i, +0.00002841+0.00005831i, -0.00004887-0.00010100i, -0.00004668+0.00011986i, +0.00005833+0.00001052i, +0.00003910-0.00008039i, -0.00002666+0.00002873i, -0.00010114-0.00001599i, +0.00011981-0.00000248i, +0.00004578-0.00001286i, +0.00011025-0.00007560i, -0.00010518-0.00008316i, +0.00000214-0.00000001i, -0.00004354-0.00005297i, -0.00001956-0.00005152i, +0.00004184-0.00004279i, -0.00004761+0.00000036i, +0.00003176-0.00009056i, -0.00009366+0.00007100i, +0.00001564+0.00000039i, +0.00002991-0.00002201i, -0.00005099+0.00012500i, +0.00002560-0.00002528i, +0.00001454-0.00006022i, +0.00000405+0.00010904i, +0.00000739+0.00005393i, +0.00001961+0.00007414i, +0.00017821-0.00013408i, +0.00005371-0.00004287i, +0.00011883+0.00003659i, +0.00001699-0.00005044i, -0.00011236+0.00001188i, +0.00008495-0.00012193i, -0.00009973+0.00013961i, -0.00028279+0.00003654i, +0.01543126+0.00000000i, -0.00003199-0.00003183i, -0.00012181+0.00005399i, +0.00006975+0.00002061i, -0.00004635+0.00007122i, +0.00002440+0.00004727i, +0.00002175-0.00002776i, -0.00012244+0.00007119i, -0.00008438-0.00005968i, -0.00001974-0.00008416i, +0.00002911+0.00009266i, +0.00002522+0.00001834i, +0.00002007+0.00001710i, -0.00001543-0.00005041i, -0.00009237+0.00001433i, -0.00004127-0.00004500i, +0.00014493+0.00000560i, +0.00002550-0.00000121i, -0.00014753-0.00002145i, +0.00001225+0.00005001i, -0.00005024-0.00005779i, -0.00011298+0.00004508i, +0.00001838+0.00002820i, -0.00001263-0.00004250i, +0.00001136+0.00008882i, +0.00003598-0.00000548i
