-0.00339806-0.00012886i, +0.00392654-0.00138719i, -0.00027352+0.00304747i, +0.00218558+0.00076617i, -0.00004935+0.00010367i, +0.00249860-0.00022708i, -0.00032226+0.00139623i, -0.00173676+0.00102946i, -0.00384479+0.00032488i, +0.00059236-0.00275458i, -0.00327061+0.00286268i, +0.00217269+0.00302518i, +0.00170104-0.00040580i, +0.00081610+0.00361782i, -0.00001151-0.00022736i, +0.00153985-0.00220921i, +0.00040388-0.00328795i, +0.00069787-0.00298928i, +0.00168946-0.00204725i, -0.00183782+0.00002747i, +0.00246805+0.00241277i, +0.02767472-0.00000000i, -0.00631902-0.00461728i, -0.00208548+0.00294531i, +0.00045246+0.00209557i, +0.00135865-0.00277571i, +0.00021994+0.00028075i, +0.00002079+0.00162393i, +0.00451444-0.00242863i, +0.00216694-0.00314088i, -0.00323691+0.00372049i, -0.00059534+0.00179130i
+0.00666881-0.00959486i, -0.00319487+0.01335690i, -0.00566685-0.00766082i, -0.00357759+0.00461163i, -0.00275451-0.00449894i, -0.00444480+0.01365875i, -0.00928867-0.00100208i, +0.00564461-0.00460068i, +0.00835401-0.01346028i, +0.00760823+0.01000591i, +0.00195267-0.01725961i, -0.01284598+0.00248632i, +0.00197327+0.00178798i, -0.00674081-0.00981460i, +0.00710444+0.00248411i, -0.00097012+0.00771942i, +0.00658734+0.00840173i, +0.00845464+0.01021016i, -0.00226495+0.00683847i, +0.00715512-0.00146572i, -0.01069694-0.00561320i, -0.00631902+0.00461728i, +0.05389908-0.00000000i, -0.00483506-0.01009626i, -0.00672607-0.00259672i, +0.00669736+0.00464359i, +0.00131138-0.00362701i, -0.00739217-0.00414461i, -0.00916906+0.01798011i, +0.00086234+0.01145778i, -0.00050835-0.01676131i, +0.00004238-0.00980064i
+0.00019841+0.00332377i, -0.00406969-0.00395079i, +0.00462323+0.00032896i, -0.00066928-0.00375869i, +0.00151649+0.00037882i, -0.00335388-0.00502923i, +0.00336540-0.00330024i, -0.00008149+0.00376070i, +0.00091419+0.00537656i, -0.00685858+0.00121185i, +0.00541860+0.00308227i, +0.00199022-0.00744452i, +0.00026992+0.00084133i, +0.00381623-0.00026710i, +0.00022176+0.00023598i, -0.00125912-0.00175934i, -0.00253890-0.00020053i, -0.00431857+0.00017023i, -0.00138015-0.00143283i, -0.00122947+0.00219874i, +0.00111290-0.00238399i, -0.00208548-0.00294531i, -0.00483506+0.01009626i, +0.02789960-0.00000000i, +0.00212183-0.00191484i, -0.00274155+0.00120754i, -0.00004191+0.00192729i, +0.00323424-0.00079880i, -0.00423895-0.00565552i, -0.00385105-0.00233734i, +0.00461658+0.00229084i, +0.00295179-0.00196062i
-0.00031375+0.00419161i, -0.00029242-0.00396747i, +0.00323007+0.00134379i, -0.00037368-0.00164088i, -0.00130507+0.00224690i, -0.00133826-0.00375410i, +0.00322820+0.00117633i, -0.00073208+0.00242013i, -0.00030308+0.00458291i, -0.00533455-0.00072690i, +0.00163902+0.00497392i, +0.00446560-0.00292643i, -0.00164703+0.00063789i, +0.00351422+0.00210445i, -0.00235837+0.00008714i, +0.00004661-0.00291342i, -0.00345718-0.00162239i, -0.00288119-0.00224539i, -0.00098416-0.00159195i, -0.00055847+0.00080008i, +0.00385256+0.00122201i, +0.00045246-0.00209557i, -0.00672607+0.00259672i, +0.00212183+0.00191484i, +0.02849517-0.00000000i, -0.00242423-0.00093482i, +0.00156334+0.00258862i, +0.00339240-0.00218265i, +0.00090854-0.00552414i, -0.00231335-0.00320425i, +0.00183942+0.00369173i, +0.00047036+0.00321345i
-0.00191998-0.00516301i, +0.00034390+0.00378121i, -0.00444439-0.00194243i, +0.00014880+0.00362812i, -0.00252533+0.00035993i, -0.00045972+0.00622627i, -0.00292684+0.00138910i, +0.00020193-0.00183672i, +0.00084535-0.00439936i, +0.00475803+0.00120776i, -0.00406948-0.00445028i, -0.00443156+0.00340686i, +0.00060970+0.00062942i, -0.00326708-0.00046888i, +0.00098004-0.00001640i, +0.00173238+0.00136482i, +0.00440528+0.00038441i, +0.00281307+0.00269974i, +0.00000463+0.00235943i, +0.00107762-0.00189416i, -0.00318743-0.00034321i, +0.00135865+0.00277571i, +0.00669736-0.00464359i, -0.00274155-0.00120754i, -0.00242423+0.00093482i, +0.02952249+0.00000000i, -0.00177377-0.00368234i, -0.00144869-0.00047586i, +0.00107042+0.00782794i, +0.00154611+0.00379988i, -0.00481882-0.00374677i, -0.00107187-0.00395804i
+0.00285635+0.00066536i, -0.00209265+0.00078327i, +0.00051269-0.00284071i, -0.00032552-0.00146302i, +0.00131946-0.00247348i, -0.00467546+0.00112704i, +0.00030418-0.00136482i, +0.00282491+0.00038228i, +0.00395805+0.00002355i, -0.00144268+0.00461142i, +0.00492207-0.00053726i, -0.00247492-0.00194865i, -0.00047780+0.00005980i, +0.00077333-0.00147433i, -0.00020176+0.00144872i, -0.00218567+0.00055014i, -0.00032297+0.00253412i, -0.00033603+0.00200704i, -0.00151011+0.00121893i, +0.00089099+0.00118623i, -0.00006795-0.00244108i, +0.00021994-0.00028075i, +0.00131138+0.00362701i, -0.00004191-0.00192729i, +0.00156334-0.00258862i, -0.00177377+0.00368234i, +0.02967269-0.00000000i, -0.00082237-0.00341147i, -0.00486194-0.00177093i, -0.00156706+0.00081801i, +0.00264450-0.00219172i, +0.00234132-0.00090756i
-0.00024189+0.00395712i, -0.00195527-0.00459724i, +0.00403587+0.00062417i, +0.00008787-0.00177728i, +0.00124237-0.00008630i, -0.00124517-0.00522583i, +0.00269786-0.00217025i, -0.00000103+0.00243886i, -0.00119817+0.00508961i, -0.00516725-0.00229749i, +0.00156969+0.00568464i, +0.00475499-0.00226393i, -0.00215111-0.00004482i, +0.00298564+0.00272337i, -0.00174380+0.00048860i, -0.00054084-0.00164652i, -0.00304908-0.00078713i, -0.00377112-0.00225764i, -0.00093306-0.00204106i, -0.00171337+0.00099064i, +0.00378526+0.00045500i, +0.00002079-0.00162393i, -0.00739217+0.00414461i, +0.00323424+0.00079880i, +0.00339240+0.00218265i, -0.00144869+0.00047586i, -0.00082237+0.00341147i, +0.02648642-0.00000000i, -0.00208190-0.00791290i, -0.00274388-0.00338928i, +0.00135680+0.00312068i, +0.00162092+0.00176241i
-0.00906021+0.00114686i, +0.01028052-0.00201812i, -0.00173104+0.01011279i, +0.00454065+0.00210878i, -0.00159028+0.00419501i, +0.01105859-0.00383012i, +0.00180599+0.00753180i, -0.00467024-0.00166763i, -0.01077555-0.00057100i, +0.00345825-0.01019106i, -0.01071914+0.00398468i, +0.00631951+0.00898650i, +0.00023062-0.00204930i, -0.00460024+0.00773929i, -0.00164315-0.00415708i, +0.00656808-0.00372161i, +0.00333049-0.00755357i, +0.00446917-0.00741286i, +0.00446875-0.00040256i, -0.00296843-0.00384978i, +0.00041097+0.00942573i, +0.00451444+0.00242863i, -0.00916906-0.01798011i, -0.00423895+0.00565552i, +0.00090854+0.00552414i, +0.00107042-0.00782794i, -0.00486194+0.00177093i, -0.00208190+0.00791290i, +0.04260851-0.00000000i, +0.00852361-0.00598215i, -0.01125189+0.00587925i, -0.00747400+0.00544436i
-0.00321958-0.00175803i, +0.00633022+0.00132504i, -0.00388552+0.00193379i, +0.00277828+0.00121140i, -0.00051123+0.00052412i, +0.00602237+0.00130377i, +0.00037718+0.00307083i, -0.00195451-0.00221650i, -0.00578879-0.00314674i, +0.00454999-0.00290646i, -0.00781868-0.00019645i, +0.00149307+0.00679746i, +0.00075235-0.00268702i, -0.00433985+0.00174288i, +0.00179870-0.00246246i, +0.00206345+0.00016857i, +0.00344875-0.00353358i, +0.00559711-0.00447353i, +0.00326192-0.00009453i, -0.00047579-0.00335196i, -0.00246757+0.00406672i, +0.00216694+0.00314088i, +0.00086234-0.01145778i, -0.00385105+0.00233734i, -0.00231335+0.00320425i, +0.00154611-0.00379988i, -0.00156706-0.00081801i, -0.00274388+0.00338928i, +0.00852361+0.00598215i, +0.03213585-0.00000000i, -0.00852593+0.00060407i, -0.00515158+0.00101391i
+0.00505559+0.00448990i, -0.00711144-0.00261309i, +0.00517364-0.00326038i, -0.00180160-0.00278338i, +0.00185984-0.00215485i, -0.00760447-0.00296710i, +0.00219775-0.00545670i, +0.00303080+0.00383097i, +0.00819638+0.00479907i, -0.00676218+0.00445657i, +0.01024768+0.00158800i, +0.00038552-0.00767513i, -0.00141238+0.00078418i, +0.00490569-0.00383149i, -0.00231753+0.00221534i, -0.00381083-0.00051819i, -0.00460608+0.00489846i, -0.00494161+0.00427190i, -0.00416657-0.00023079i, +0.00125727+0.00417274i, +0.00229226-0.00557586i, -0.00323691-0.00372049i, -0.00050835+0.01676131i, +0.00461658-0.00229084i, +0.00183942-0.00369173i, -0.00481882+0.00374677i, +0.00264450+0.00219172i, +0.00135680-0.00312068i, -0.01125189-0.00587925i, -0.00852593-0.00060407i, +0.03797416-0.00000000i, +0.00574357-0.00138236i
