-0.00039195-0.00162700i, +0.00285343+0.00003066i, +0.00016122+0.00038865i, -0.00000869+0.00099834i, -0.00155481+0.00061348i, +0.00032747-0.00003091i, -0.00062635-0.00158726i, -0.00011981+0.00067052i, -0.00075652-0.00055666i, +0.00068712-0.00207337i, -0.00087618-0.00097024i, +0.00044084-0.00137266i, +0.00112086-0.00046949i, -0.00023689-0.00020696i, -0.00126559+0.00011651i, +0.00017825-0.00032199i, -0.00131630-0.00171805i, -0.00003553+0.00208168i, +0.00195845+0.00334286i, +0.00123178-0.00098425i, -0.00075974-0.00216651i, +0.03104556-0.00000000i, +0.00028028-0.00096516i, -0.00198320+0.00016905i, -0.00061494+0.00083636i, +0.00118153-0.00156463i, +0.00099367-0.00029519i, -0.00182056+0.00173009i, +0.00242695+0.00069621i, +0.00191158-0.00037344i, +0.00154259-0.00041245i, -0.00113281+0.00069306i
+0.00196102-0.00039476i, +0.00020244+0.00318965i, -0.00003630-0.00004211i, -0.00146006+0.00069009i, -0.00098893-0.00188879i, -0.00023475+0.00118758i, +0.00137905-0.00100123i, -0.00040717+0.00063465i, +0.00076412-0.00066853i, +0.00188560+0.00019969i, +0.00158183-0.00105694i, +0.00114819+0.00058566i, +0.00023411+0.00170014i, +0.00064285+0.00027029i, +0.00006022-0.00152894i, +0.00018249-0.00011485i, +0.00184131-0.00184023i, -0.00195234-0.00089839i, -0.00320624+0.00118986i, +0.00063810+0.00134862i, +0.00250685-0.00070717i, +0.00028028+0.00096516i, +0.03145781-0.00000000i, -0.00021235-0.00258825i, -0.00163055-0.00092183i, +0.00075895+0.00108199i, +0.00014717+0.00104474i, -0.00285615-0.00228196i, -0.00028908+0.00209615i, +0.00080932+0.00057500i, +0.00087161+0.00272913i, -0.00035699-0.00194095i
-0.00002425+0.00337458i, -0.00374105+0.00001735i, +0.00010066-0.00049335i, +0.00031421-0.00213415i, +0.00255127+0.00017334i, -0.00064273-0.00079667i, +0.00057486+0.00207519i, +0.00051604+0.00004000i, +0.00079673+0.00083848i, -0.00026878+0.00260018i, +0.00067555+0.00171374i, -0.00149942+0.00121558i, -0.00162007-0.00016832i, +0.00043142-0.00021612i, +0.00234320-0.00010213i, +0.00022335+0.00079800i, +0.00323025+0.00324463i, +0.00233448-0.00168103i, -0.00135043-0.00344307i, -0.00251935-0.00002154i, -0.00019314+0.00330396i, -0.00198320-0.00016905i, -0.00021235+0.00258825i, +0.03324136+0.00000000i, +0.00097442-0.00212861i, -0.00193810+0.00237759i, -0.00129764-0.00032565i, +0.00410133-0.00289529i, -0.00381506-0.00190844i, -0.00204388+0.00012313i, -0.00247498-0.00020974i, +0.00326262-0.00023954i
-0.00111378+0.00078620i, -0.00068792-0.00265793i, +0.00016273-0.00021792i, +0.00068638+0.00020171i, +0.00038559+0.00074192i, +0.00016052-0.00010976i, -0.00088159-0.00002099i, +0.00012109-0.00027310i, -0.00038796+0.00065087i, -0.00127875+0.00054041i, -0.00086969+0.00061423i, -0.00036255-0.00030149i, -0.00050628-0.00089951i, +0.00016217+0.00006015i, +0.00027787+0.00136661i, -0.00033588-0.00010723i, -0.00150241+0.00251570i, +0.00130201+0.00023397i, +0.00097974-0.00074617i, -0.00026058-0.00065897i, -0.00106686+0.00131920i, -0.00061494-0.00083636i, -0.00163055+0.00092183i, +0.00097442+0.00212861i, +0.03163061-0.00000000i, -0.00125904-0.00014991i, -0.00000462+0.00006374i, +0.00162356+0.00119922i, +0.00101929-0.00205787i, -0.00050631-0.00082514i, -0.00049048-0.00137339i, +0.00087905+0.00121868i
+0.00148286-0.00202269i, +0.00313676+0.00234628i, -0.00024234+0.00064903i, +0.00002905+0.00076881i, -0.00157094-0.00084964i, +0.00042061+0.00023647i, +0.00059503-0.00165412i, -0.00051470+0.00022220i, +0.00061620-0.00134990i, +0.00111375-0.00115303i, +0.00033178-0.00180096i, +0.00172442+0.00050082i, +0.00141555+0.00070738i, +0.00028138-0.00002216i, -0.00138143-0.00087481i, +0.00080283-0.00119186i, -0.00071274-0.00243052i, -0.00239703+0.00085959i, -0.00006327+0.00270323i, +0.00059013+0.00143110i, +0.00112908-0.00232157i, +0.00118153+0.00156463i, +0.00075895-0.00108199i, -0.00193810-0.00237759i, -0.00125904+0.00014991i, +0.03211730-0.00000000i, +0.00158315+0.00043784i, -0.00389078-0.00010912i, +0.00143668+0.00256038i, +0.00099213+0.00026752i, +0.00259505+0.00147161i, -0.00309584-0.00080432i
+0.00011010-0.00106531i, +0.00063393-0.00024633i, +0.00049740+0.00043184i, +0.00040529+0.00056445i, -0.00114106-0.00000222i, +0.00067374-0.00004137i, -0.00066776-0.00084995i, -0.00021335+0.00059925i, -0.00036091-0.00061803i, +0.00013146-0.00018875i, -0.00032330-0.00108785i, +0.00029381-0.00052187i, +0.00072190+0.00005698i, +0.00002619+0.00051749i, -0.00051811+0.00007987i, +0.00052628-0.00059340i, -0.00056137-0.00087435i, -0.00075146+0.00068671i, +0.00030800+0.00208962i, +0.00070262-0.00025780i, +0.00006636-0.00077339i, +0.00099367+0.00029519i, +0.00014717-0.00104474i, -0.00129764+0.00032565i, -0.00000462-0.00006374i, +0.00158315-0.00043784i, +0.03014199-0.00000000i, -0.00050639+0.00088519i, +0.00115674+0.00008884i, +0.00025633+0.00051620i, +0.00081926+0.00017034i, -0.00094749+0.00010021i
-0.00233339+0.00309316i, -0.00398432-0.00235985i, -0.00016191-0.00057447i, +0.00175502-0.00158584i, +0.00329587+0.00194165i, -0.00045566-0.00152826i, -0.00106512+0.00264876i, +0.00048060-0.00033936i, +0.00025572+0.00184070i, -0.00235282+0.00198801i, +0.00041545+0.00253998i, -0.00244573+0.00003176i, -0.00171226-0.00167897i, -0.00033591-0.00060312i, +0.00207443+0.00192212i, -0.00053700+0.00120488i, +0.00009602+0.00435495i, +0.00246982-0.00063726i, +0.00129533-0.00471417i, -0.00231286-0.00027871i, -0.00129805+0.00432931i, -0.00182056-0.00173009i, -0.00285615+0.00228196i, +0.00410133+0.00289529i, +0.00162356-0.00119922i, -0.00389078+0.00010912i, -0.00050639-0.00088519i, +0.03532403-0.00000000i, -0.00153660-0.00510320i, -0.00294598-0.00124718i, -0.00198925-0.00192049i, +0.00238358+0.00179660i
-0.00146422-0.00322630i, +0.00342729-0.00151836i, +0.00050033+0.00092549i, +0.00057322+0.00124553i, -0.00246002+0.00093572i, +0.00111312-0.00003138i, -0.00168203-0.00240334i, +0.00026894+0.00041023i, -0.00143114-0.00106390i, -0.00100404-0.00201427i, -0.00186550-0.00147092i, +0.00063950-0.00257589i, +0.00128822-0.00179106i, +0.00041715-0.00000432i, -0.00145974+0.00174533i, -0.00052078-0.00142944i, -0.00365471-0.00114753i, -0.00026521+0.00253866i, +0.00374612+0.00242039i, +0.00222811-0.00091645i, -0.00181103-0.00397655i, +0.00242695-0.00069621i, -0.00028908-0.00209615i, -0.00381506+0.00190844i, +0.00101929+0.00205787i, +0.00143668-0.00256038i, +0.00115674-0.00008884i, -0.00153660+0.00510320i, +0.03635311+0.00000000i, +0.00180856-0.00154034i, +0.00230669-0.00103638i, -0.00307798+0.00140284i
+0.00019063-0.00231433i, +0.00162004+0.00092503i, +0.00036837+0.00093618i, -0.00063259+0.00067972i, -0.00144355-0.00029974i, -0.00001511+0.00022678i, +0.00042781-0.00091880i, -0.00015570+0.00061826i, -0.00016479-0.00058282i, +0.00046937-0.00129580i, -0.00047380-0.00105290i, +0.00090933-0.00071936i, +0.00100964+0.00018457i, -0.00030790-0.00018815i, -0.00092604+0.00022614i, +0.00029141-0.00074989i, -0.00093452-0.00186789i, -0.00157968+0.00070523i, +0.00007168+0.00208684i, +0.00048438+0.00048178i, -0.00043633-0.00165326i, +0.00191158+0.00037344i, +0.00080932-0.00057500i, -0.00204388-0.00012313i, -0.00050631+0.00082514i, +0.00099213-0.00026752i, +0.00025633-0.00051620i, -0.00294598+0.00124718i, +0.00180856+0.00154034i, +0.03041007+0.00000000i, +0.00188321+0.00076751i, -0.00204671-0.00042329i
-0.00028714-0.00232138i, +0.00250737-0.00022249i, -0.00009839+0.00051321i, +0.00039234+0.00157466i, -0.00168084-0.00000410i, +0.00007219+0.00055012i, -0.00018314-0.00168807i, -0.00008385+0.00009229i, -0.00033924-0.00061883i, +0.00013396-0.00165277i, -0.00083534-0.00141612i, +0.00074926-0.00066229i, +0.00172858-0.00026534i, +0.00083898-0.00040337i, -0.00164740+0.00008097i, -0.00036080-0.00080647i, -0.00244432-0.00190015i, -0.00085035+0.00156978i, +0.00083594+0.00243834i, +0.00083786-0.00004848i, -0.00045437-0.00217313i, +0.00154259+0.00041245i, +0.00087161-0.00272913i, -0.00247498+0.00020974i, -0.00049048+0.00137339i, +0.00259505-0.00147161i, +0.00081926-0.00017034i, -0.00198925+0.00192049i, +0.00230669+0.00103638i, +0.00188321-0.00076751i, +0.03084838-0.00000000i, -0.00167427+0.00078540i
