-0.00093273+0.00046254i, +0.00019550-0.00080242i, -0.00019545+0.00069596i, +0.00107710-0.00157925i, +0.00080451+0.00036889i, -0.00081839-0.00135118i, +0.00182992-0.00003759i, +0.00039986+0.00098782i, -0.00139306+0.00077963i, -0.00191707+0.00127337i, -0.00131860-0.00095180i, -0.00001434+0.00049335i, -0.00026300+0.00086419i, -0.00005544-0.00058386i, -0.00039743-0.00018921i, -0.00035705+0.00111594i, -0.00069545-0.00146144i, +0.00040978-0.00057919i, +0.00086285+0.00047553i, +0.00101528+0.00120597i, -0.00113512+0.00146154i, +0.02818855+0.00000000i, -0.00086359-0.00077040i, +0.00081643-0.00043859i, -0.00159340-0.00125093i, -0.00068995+0.00004822i, -0.00095375+0.00048158i, -0.00028780+0.00124163i, -0.00017895-0.00014312i, -0.00077412+0.00029069i, -0.00021884+0.00171911i, -0.00158809-0.00128162i
-0.00027264+0.00326935i, -0.00250400-0.00003018i, +0.00015155+0.00161915i, -0.00135474-0.00105081i, +0.00117774-0.00035100i, -0.00465494+0.00188126i, +0.00294647-0.00150525i, +0.00216558-0.00020813i, -0.00140521+0.00279739i, -0.00013545+0.00308963i, -0.00370853+0.00201782i, +0.00042310+0.00159969i, +0.00070125+0.00107978i, -0.00121588+0.00072634i, +0.00088467+0.00127592i, +0.00033321-0.00001143i, -0.00032171+0.00085423i, -0.00147181+0.00020695i, -0.00101849-0.00431652i, +0.00206945-0.00188425i, +0.00257881+0.00235676i, -0.00086359+0.00077040i, +0.03134845+0.00000000i, +0.00062345-0.00043259i, -0.00363946-0.00140796i, -0.00030747+0.00126714i, +0.00099334+0.00244075i, -0.00165601+0.00043475i, +0.00002826+0.00113103i, -0.00286068+0.00131957i, +0.00407581+0.00285831i, -0.00219849-0.00001476i
-0.00068485+0.00121665i, -0.00141343-0.00186884i, -0.00065284+0.00130027i, +0.00224285-0.00130705i, +0.00010357-0.00004869i, -0.00265112-0.00201450i, +0.00121958+0.00096185i, +0.00181272+0.00097478i, -0.00206780+0.00073252i, -0.00230123+0.00091213i, -0.00213744-0.00106983i, -0.00107932+0.00111611i, -0.00048104+0.00086212i, -0.00074430-0.00101461i, +0.00068281+0.00019505i, +0.00046440+0.00060838i, -0.00042490+0.00067227i, -0.00060822-0.00141532i, +0.00181183-0.00000432i, +0.00243533-0.00011092i, -0.00004353+0.00209065i, +0.00081643+0.00043859i, +0.00062345+0.00043259i, +0.02707902-0.00000000i, -0.00088290-0.00236879i, -0.00049524-0.00040116i, -0.00049563+0.00057868i, -0.00017740+0.00041474i, -0.00047213-0.00055226i, -0.00171072-0.00130734i, -0.00052490+0.00318495i, -0.00140380-0.00186635i
-0.00132833-0.00570100i, +0.00539909-0.00261212i, -0.00131212-0.00438273i, +0.00257892+0.00281951i, -0.00183368+0.00038131i, +0.00614596-0.00651590i, -0.00244990+0.00463779i, -0.00374247+0.00264123i, +0.00026374-0.00946434i, -0.00320823-0.00789759i, +0.00509532-0.00648707i, -0.00065373-0.00193516i, -0.00371264-0.00082276i, +0.00163916-0.00181731i, -0.00180939-0.00157641i, -0.00177745+0.00057605i, +0.00045673-0.00057124i, +0.00177844-0.00114515i, +0.00344613+0.00468225i, -0.00122436+0.00416713i, -0.00444451-0.00120844i, -0.00159340+0.00125093i, -0.00363946+0.00140796i, -0.00088290+0.00236879i, +0.03737025-0.00000000i, +0.00213224-0.00246767i, -0.00234612-0.00336280i, +0.00195380-0.00118318i, +0.00123100-0.00178069i, +0.00335191-0.00576717i, -0.00921142-0.00207213i, +0.00430919-0.00315671i
+0.00110966-0.00086347i, +0.00166606+0.00078371i, +0.00121934-0.00037884i, -0.00078110+0.00076987i, +0.00057168-0.00010780i, +0.00173016+0.00159140i, -0.00057443-0.00055282i, -0.00141418-0.00002154i, +0.00159963+0.00009366i, +0.00272360-0.00158917i, +0.00109220+0.00040053i, +0.00096006+0.00065254i, -0.00071260-0.00061351i, +0.00026824+0.00188216i, -0.00076418+0.00005519i, -0.00062177+0.00015230i, +0.00113396+0.00082756i, -0.00015381-0.00013744i, -0.00143380+0.00046398i, -0.00104610-0.00034254i, +0.00023197-0.00105216i, -0.00068995-0.00004822i, -0.00030747-0.00126714i, -0.00049524+0.00040116i, +0.00213224+0.00246767i, +0.02930233-0.00000000i, +0.00153722+0.00084878i, -0.00014524+0.00088909i, +0.00100458-0.00030229i, +0.00207400+0.00087414i, +0.00033812-0.00173768i, +0.00115013+0.00053826i
+0.00295587+0.00111639i, -0.00061606+0.00353751i, +0.00296990-0.00063317i, -0.00222845+0.00091383i, +0.00095892-0.00048162i, +0.00149048+0.00519136i, -0.00211020-0.00320398i, -0.00018623-0.00246515i, +0.00370392+0.00203203i, +0.00552934+0.00213102i, +0.00140398+0.00355281i, +0.00170088+0.00023684i, +0.00100659-0.00052417i, -0.00002339+0.00202300i, +0.00178054-0.00051207i, +0.00044951-0.00087537i, +0.00010056-0.00069369i, +0.00009095+0.00107366i, -0.00338285-0.00011844i, -0.00115424-0.00222166i, +0.00168620-0.00047901i, -0.00095375-0.00048158i, +0.00099334-0.00244075i, -0.00049563-0.00057868i, -0.00234612+0.00336280i, +0.00153722-0.00084878i, +0.03271635+0.00000000i, +0.00057741+0.00154484i, +0.00051968-0.00020891i, +0.00115416+0.00302193i, +0.00340677-0.00559308i, -0.00001507+0.00366567i
+0.00138222-0.00041580i, +0.00057805+0.00105250i, +0.00229733-0.00088540i, -0.00029826+0.00007068i, -0.00006694-0.00069910i, +0.00230232+0.00033413i, -0.00039673-0.00095705i, -0.00082520-0.00166096i, +0.00200747-0.00132716i, +0.00133955-0.00112886i, +0.00114056+0.00028705i, +0.00013076-0.00190905i, -0.00008025-0.00115365i, -0.00010981+0.00028944i, +0.00001361-0.00085027i, +0.00101307-0.00090145i, +0.00002089-0.00025224i, +0.00075843-0.00129942i, -0.00175215+0.00135109i, -0.00044114-0.00060785i, +0.00061349-0.00012567i, -0.00028780-0.00124163i, -0.00165601-0.00043475i, -0.00017740-0.00041474i, +0.00195380+0.00118318i, -0.00014524-0.00088909i, +0.00057741-0.00154484i, +0.02706395-0.00000000i, -0.00014043-0.00086841i, +0.00156308+0.00111253i, +0.00048041-0.00183195i, +0.00105387+0.00084839i
+0.00046882-0.00133915i, +0.00109395+0.00048468i, +0.00052784-0.00112858i, -0.00018562+0.00051687i, +0.00085220-0.00087192i, +0.00084663+0.00088869i, -0.00082145-0.00040128i, -0.00148924+0.00013116i, +0.00182815-0.00157212i, +0.00117590-0.00056718i, +0.00081180+0.00036574i, +0.00069173-0.00029630i, +0.00108596-0.00016340i, +0.00044953+0.00020673i, +0.00008637-0.00073077i, -0.00041250-0.00008600i, +0.00037996+0.00011756i, +0.00006971+0.00071656i, -0.00042765+0.00112831i, -0.00071307+0.00013613i, -0.00038173-0.00101741i, -0.00017895+0.00014312i, +0.00002826-0.00113103i, -0.00047213+0.00055226i, +0.00123100+0.00178069i, +0.00100458+0.00030229i, +0.00051968+0.00020891i, -0.00014043+0.00086841i, +0.02717792-0.00000000i, +0.00073454-0.00028928i, +0.00139572-0.00230925i, +0.00133510+0.00017905i
+0.00242730-0.00261920i, +0.00378493+0.00215796i, +0.00126636-0.00172264i, +0.00016720+0.00220154i, -0.00078485-0.00168049i, +0.00860780-0.00000129i, -0.00354017-0.00078912i, -0.00288776-0.00093196i, +0.00402597-0.00288659i, +0.00410124-0.00613496i, +0.00551117+0.00031571i, +0.00121541-0.00158028i, -0.00117791-0.00265366i, +0.00259510+0.00119915i, -0.00053108-0.00152117i, -0.00099949+0.00064512i, +0.00048378-0.00040368i, +0.00063989+0.00071269i, -0.00014179+0.00473047i, -0.00373717+0.00117564i, -0.00103574-0.00379831i, -0.00077412-0.00029069i, -0.00286068-0.00131957i, -0.00171072+0.00130734i, +0.00335191+0.00576717i, +0.00207400-0.00087414i, +0.00115416-0.00302193i, +0.00156308-0.00111253i, +0.00073454+0.00028928i, +0.03325198+0.00000000i, -0.00351771-0.00749086i, +0.00358728+0.00161769i
+0.00282125+0.00480374i, -0.00512057+0.00311910i, +0.00198816+0.00265160i, -0.00343616-0.00095968i, +0.00153188-0.00060559i, -0.00541738+0.00853581i, +0.00244556-0.00522939i, +0.00336931-0.00403082i, +0.00181726+0.00828487i, +0.00436772+0.00675139i, -0.00508121+0.00729656i, +0.00130585+0.00211801i, +0.00336525+0.00025153i, -0.00194622+0.00272482i, +0.00398559+0.00169765i, +0.00214495-0.00115700i, +0.00033093+0.00040425i, -0.00110594+0.00200969i, -0.00588936-0.00440637i, +0.00041793-0.00655004i, +0.00533548-0.00003239i, -0.00021884-0.00171911i, +0.00407581-0.00285831i, -0.00052490-0.00318495i, -0.00921142+0.00207213i, +0.00033812+0.00173768i, +0.00340677+0.00559308i, +0.00048041+0.00183195i, +0.00139572+0.00230925i, -0.00351771+0.00749086i, +0.04136844+0.00000000i, -0.00521837+0.00447193i
