+0.01225410-0.00417304i, -0.02259534+0.00267110i, -0.01164846-0.01158286i, -0.03064727+0.01743455i, +0.01166493+0.02418160i, -0.00675299-0.01028907i, -0.01935023-0.00298528i, +0.00438794+0.01619924i, -0.04152499+0.02628750i, -0.01006446-0.03302650i, -0.02297145+0.01640457i, -0.02895877-0.00997135i, -0.00100738-0.02930418i, +0.02490197-0.02329806i, -0.00627502+0.04158704i, +0.00844319+0.05401432i, +0.01602632+0.00746284i, +0.01198208+0.00273635i, +0.03703950-0.00291703i, +0.01926940-0.02898096i, -0.01941269-0.02605022i, +0.02756627+0.00000000i, +0.00858804+0.00427933i, -0.02668043+0.02348078i, -0.00053666+0.02395757i, -0.02221094+0.00253855i, -0.00504519+0.02175462i, -0.00770056+0.03305593i, -0.02750798-0.00591251i, +0.00421023-0.02421012i, +0.02594773+0.00475665i, +0.02184324+0.01374486i
+0.00316984-0.00320238i, -0.00662473+0.00433981i, -0.00542708-0.00180026i, -0.00684139+0.01018921i, +0.00738801+0.00572273i, -0.00370109-0.00215715i, -0.00649183+0.00207385i, +0.00388176+0.00436556i, -0.00885593+0.01463590i, -0.00826246-0.00872674i, -0.00460995+0.00867674i, -0.01056979+0.00138901i, -0.00486296-0.00897308i, +0.00414125-0.01112404i, +0.00450096+0.01393021i, +0.01101548+0.01551699i, +0.00615138-0.00016291i, +0.00415770-0.00100759i, +0.01108650-0.00665871i, +0.00150427-0.01202011i, -0.01009184-0.00510213i, +0.00858804-0.00427933i, +0.00333984-0.00000000i, -0.00466695+0.01145705i, +0.00355193+0.00754709i, -0.00652555+0.00423885i, +0.00180536+0.00756067i, +0.00273249+0.01149371i, -0.00948772+0.00242829i, -0.00244667-0.00819604i, +0.00882221-0.00254618i, +0.00893880+0.00089119i
-0.01541488-0.00639902i, +0.02414447+0.01666131i, +0.00140793+0.02113273i, +0.04451306+0.00923086i, +0.00930766-0.03334064i, -0.00222818+0.01571058i, +0.01618557+0.01937176i, +0.00955148-0.01941629i, +0.06258211+0.00992797i, -0.01839072+0.04053803i, +0.03620657+0.00368953i, +0.01953465+0.03431781i, -0.02398610+0.02922057i, -0.04394688+0.00133803i, +0.04149695-0.03490562i, +0.03783719-0.05947042i, -0.00915451-0.02087414i, -0.00926622-0.01285468i, -0.03833394-0.02872672i, -0.04333597+0.01163611i, -0.00340054+0.04174870i, -0.02668043-0.02348078i, -0.00466695-0.01145705i, +0.04582382-0.00000000i, +0.02092632-0.02273056i, +0.02365951+0.01646217i, +0.02341350-0.01675807i, +0.03560994-0.02543439i, +0.02158777+0.02915363i, -0.02469696+0.01984588i, -0.02106222-0.02670591i, -0.00943352-0.03190910i
-0.00386531-0.01056867i, +0.00276131+0.01958539i, -0.00983978+0.01034906i, +0.01574884+0.02629582i, +0.02078889-0.01060864i, -0.00881066+0.00606926i, -0.00221777+0.01687521i, +0.01399317-0.00412888i, +0.02365462+0.03557718i, -0.02850706+0.00938989i, +0.01470426+0.01964489i, -0.00810222+0.02536190i, -0.02544835+0.00144600i, -0.02073290-0.02118848i, +0.03626505+0.00464394i, +0.04677893-0.00838945i, +0.00617388-0.01407360i, +0.00214487-0.01046677i, -0.00325625-0.03213387i, -0.02556220-0.01618263i, -0.02226205+0.01737853i, -0.00053666-0.02395757i, +0.00355193-0.00754709i, +0.02092632+0.02273056i, +0.02083173-0.00000000i, +0.00263863+0.01925389i, +0.01900494+0.00396120i, +0.02887850+0.00604894i, -0.00460297+0.02402201i, -0.02112274-0.00318774i, +0.00362880-0.02264352i, +0.01152027-0.01925132i
-0.01025777+0.00223387i, +0.01845170-0.00007140i, +0.00831885+0.01040534i, +0.02629893-0.01122525i, -0.00717191-0.02055803i, +0.00449357+0.00891208i, +0.01531613+0.00418727i, -0.00204372-0.01345628i, +0.03587868-0.01735661i, +0.00506785+0.02753723i, +0.02001945-0.01110222i, +0.02241467+0.01070099i, -0.00188692+0.02370399i, -0.02220974+0.01647872i, +0.00888568-0.03293003i, -0.00182880-0.04429843i, -0.01222562-0.00748887i, -0.00940232-0.00330818i, -0.03011242-0.00106060i, -0.01819474+0.02157630i, +0.01324243+0.02277711i, -0.02221094-0.00253855i, -0.00652555-0.00423885i, +0.02365951-0.01646217i, +0.00263863-0.01925389i, +0.01812977+0.00000000i, +0.00606841-0.01706372i, +0.00924865-0.02592499i, +0.02161950+0.00729706i, -0.00562179+0.01911908i, -0.02046881-0.00622207i, -0.01633398-0.01308615i
-0.00553601-0.00890688i, +0.00624337+0.01734282i, -0.00700900+0.01131258i, +0.01936799+0.02099519i, +0.01694860-0.01363139i, -0.00688394+0.00721240i, +0.00118557+0.01581709i, +0.01198095-0.00642764i, +0.02834536+0.02795935i, -0.02422169+0.01398714i, +0.01715032+0.01512613i, -0.00256910+0.02467850i, -0.02294176+0.00615826i, -0.02294382-0.01538800i, +0.03396792-0.00265918i, +0.04108148-0.01654887i, +0.00295635-0.01401342i, -0.00003350-0.00995677i, -0.00908103-0.02869678i, -0.02639775-0.00990283i, -0.01700527+0.02008773i, -0.00504519-0.02175462i, +0.00180536-0.00756067i, +0.02341350+0.01675807i, +0.01900494-0.00396120i, +0.00606841+0.01706372i, +0.01809158+0.00000000i, +0.02749628+0.00002719i, +0.00036851+0.02279072i, -0.01987659+0.00110834i, -0.00099513-0.02134787i, +0.00684935-0.01975373i
-0.00842723-0.01352870i, +0.00951498+0.02634891i, -0.01063556+0.01720383i, +0.02946777+0.03188020i, +0.02573866-0.02074299i, -0.01045165+0.01097203i, +0.00182565+0.02403765i, +0.01819946-0.00978698i, +0.04312240+0.04245111i, -0.03679205+0.02129460i, +0.02608845+0.02296351i, -0.00386753+0.03751121i, -0.03485853+0.00939404i, -0.03489403-0.02335281i, +0.05162177-0.00409257i, +0.06241237-0.02521336i, +0.00447211-0.02130259i, -0.00006588-0.01513263i, -0.01384482-0.04360083i, -0.04013521-0.01501103i, -0.02581508+0.03055568i, -0.00770056-0.03305593i, +0.00273249-0.01149371i, +0.03560994+0.02543439i, +0.02887850-0.00604894i, +0.00924865+0.02592499i, +0.02749628-0.00002719i, +0.04178996+0.00000000i, +0.00059433+0.03463768i, -0.03020754+0.00171436i, -0.00154452-0.03244383i, +0.01038022-0.03003278i
-0.01133314+0.00679252i, +0.02197466-0.00751178i, +0.01410816+0.00905997i, +0.02684305-0.02397102i, -0.01682681-0.02162854i, +0.00894554+0.00881891i, +0.01994961-0.00117133i, -0.00785313-0.01522384i, +0.03579895-0.03513834i, +0.01712681+0.03079800i, +0.01940437-0.02129687i, +0.03103622+0.00373909i, +0.00729051+0.02902615i, -0.01985227+0.02858985i, -0.00265798-0.04284499i, -0.02001051-0.05208918i, -0.01759308-0.00400968i, -0.01254364-0.00016061i, -0.03633552+0.01085522i, -0.01301272+0.03305265i, +0.02495898+0.02183143i, -0.02750798+0.00591251i, -0.00948772-0.00242829i, +0.02158777-0.02915363i, -0.00460297-0.02402201i, +0.02161950-0.00729706i, +0.00036851-0.02279072i, +0.00059433-0.03463768i, +0.02871795+0.00000000i, +0.00099134+0.02506195i, -0.02691309+0.00081877i, -0.02474509-0.00903078i
+0.00553656+0.01012483i, -0.00579691-0.01943644i, +0.00839359-0.01199935i, -0.01999272-0.02425322i, -0.01945594+0.01393803i, +0.00800500-0.00750228i, -0.00033355-0.01745032i, -0.01355683+0.00632784i, -0.02942920-0.03245447i, +0.02746842-0.01388330i, -0.01791579-0.01766923i, +0.00433445-0.02695602i, +0.02558258-0.00536039i, +0.02426487+0.01831186i, -0.03748228+0.00084059i, -0.04614863+0.01566491i, -0.00410653+0.01521495i, -0.00057317+0.01094121i, +0.00821897+0.03208448i, +0.02839562+0.01249708i, +0.01991372-0.02102791i, +0.00421023+0.02421012i, -0.00244667+0.00819604i, -0.02469696-0.01984588i, -0.02112274+0.00318774i, -0.00562179-0.01911908i, -0.01987659-0.00110834i, -0.03020754-0.00171436i, +0.00099134-0.02506195i, +0.02190561-0.00000000i, -0.00021451+0.02351513i, -0.00873530+0.02128313i
+0.01081453-0.00604251i, -0.02080776+0.00641317i, -0.01296319-0.00889280i, -0.02583945+0.02169918i, +0.01515264+0.02074897i, -0.00813190-0.00851970i, -0.01872922+0.00052894i, +0.00692553+0.01449096i, -0.03455088+0.03190932i, -0.01517236-0.02935071i, -0.01879204+0.01940518i, -0.02897906-0.00438895i, -0.00600476-0.02740977i, +0.01941971-0.02622704i, +0.00126939+0.04022806i, +0.01726780+0.04938600i, +0.01637308+0.00425927i, +0.01175072+0.00050814i, +0.03436140-0.00913704i, +0.01313725-0.03060436i, -0.02276794-0.02117097i, +0.02594773-0.00475665i, +0.00882221+0.00254618i, -0.02106222+0.02670591i, +0.00362880+0.02264352i, -0.02046881+0.00622207i, -0.00099513+0.02134787i, -0.00154452+0.03244383i, -0.02691309-0.00081877i, -0.00021451-0.02351513i, +0.02524500+0.00000000i, +0.02293244+0.00916872i
