-0.01628498-0.01379645i, -0.05819970-0.01063811i, +0.01019603-0.00741708i, +0.04604577+0.00202844i, +0.01830962-0.00704597i, -0.02604370+0.02181108i, +0.02482685-0.00189868i, +0.01516967-0.03945920i, -0.00517359+0.02658781i, -0.01344830-0.00000314i, +0.02809079-0.01846007i, -0.03244637-0.02504461i, -0.03301743-0.01018137i, -0.02889049-0.03580955i, +0.00221062+0.01162842i, -0.00496541-0.01667205i, +0.00623543+0.00879811i, -0.00941212+0.00400409i, +0.03211161-0.02697708i, -0.01747518-0.00837813i, +0.02674664-0.00950905i, +0.03058326-0.00000000i, -0.01932848-0.03058470i, -0.00727351-0.00185062i, -0.00691429-0.01451378i, -0.04477217+0.01732215i, -0.00837103-0.01397163i, +0.01639121-0.02815696i, +0.02071275+0.01306457i, -0.00076853-0.04567015i, -0.00577531+0.01700825i, +0.02058503+0.01166070i
+0.02408914-0.00756645i, +0.04742054-0.05147920i, +0.00097358+0.01488407i, -0.03112925+0.04476597i, -0.00452530+0.02276350i, -0.00535260-0.03982942i, -0.01379168+0.02602798i, +0.02987389+0.04010841i, -0.02331937-0.02197721i, +0.00850241-0.01344695i, +0.00070769+0.03975879i, +0.04555175-0.01661981i, +0.03104872-0.02658440i, +0.05406988-0.00626038i, -0.01302607-0.00513838i, +0.01981095+0.00557101i, -0.01273929+0.00067536i, +0.00194414-0.01194313i, +0.00668395+0.04916251i, +0.01942276-0.01218106i, -0.00739426+0.03275757i, -0.01932848+0.03058470i, +0.04280164+0.00000000i, +0.00644753-0.00610427i, +0.01888426+0.00225803i, +0.01097284-0.05572179i, +0.01926274+0.00045858i, +0.01779912+0.03418705i, -0.02615554+0.01245697i, +0.04615801+0.02809475i, -0.01335908-0.01652471i, -0.02467089+0.01321648i
+0.00470784+0.00229574i, +0.01448515-0.00099169i, -0.00197607+0.00238095i, -0.01107365+0.00230385i, -0.00392816+0.00278365i, +0.00487408-0.00676318i, -0.00578959+0.00195385i, -0.00122004+0.01030237i, -0.00037843-0.00663635i, +0.00319855-0.00081302i, -0.00556370+0.00609009i, +0.00923208+0.00399292i, +0.00846851+0.00042349i, +0.00903779+0.00676827i, -0.00122939-0.00263178i, +0.00218975+0.00366460i, -0.00201533-0.00171511i, +0.00199616-0.00152181i, -0.00600459+0.00835897i, +0.00466303+0.00093510i, -0.00578566+0.00387997i, -0.00727351+0.00185062i, +0.00644753+0.00610427i, +0.00184182-0.00000000i, +0.00252264+0.00303337i, +0.00959983-0.00682887i, +0.00283629+0.00281629i, -0.00219446+0.00768832i, -0.00571659-0.00185375i, +0.00294632+0.01081507i, +0.00034434-0.00439448i, -0.00560127-0.00152761i
+0.01022905-0.00460919i, +0.01820631-0.02521453i, +0.00121477+0.00651555i, -0.01137269+0.02139317i, -0.00079567+0.01028208i, -0.00446282-0.01729052i, -0.00471182+0.01221124i, +0.01529643+0.01611997i, -0.01144802-0.00846620i, +0.00304189-0.00638140i, +0.00240974+0.01750440i, +0.01922082-0.00973584i, +0.01229634-0.01336714i, +0.02352558-0.00561460i, -0.00601823-0.00157987i, +0.00903457+0.00141281i, -0.00558500+0.00097004i, +0.00022769-0.00537192i, +0.00554259+0.02133808i, +0.00792678-0.00639899i, -0.00153423+0.01484286i, -0.00691429+0.01451378i, +0.01888426-0.00225803i, +0.00252264-0.00303337i, +0.00845093-0.00000000i, +0.00190162-0.02516356i, +0.00852299-0.00081389i, +0.00965660+0.01414446i, -0.01088275+0.00687592i, +0.02184725+0.00996042i, -0.00676585-0.00658600i, -0.01018765+0.00713269i
+0.01602608+0.02942094i, +0.07917573+0.04853750i, -0.01912740+0.00508322i, -0.06625952-0.02904954i, -0.03079505-0.00005554i, +0.05048015-0.01717921i, -0.03742051-0.01128219i, -0.04455696+0.04917404i, +0.02263300-0.03599277i, +0.01968578+0.00762163i, -0.05157900+0.01111408i, +0.03331456+0.05504131i, +0.04256900+0.03360581i, +0.02201177+0.06878654i, +0.00335003-0.01827543i, -0.00217385+0.02721932i, -0.00414513-0.01641165i, +0.01604670-0.00053080i, -0.06228922+0.02130512i, +0.02083737+0.02216294i, -0.04454144-0.00122841i, -0.04477217-0.01732215i, +0.01097284+0.05572179i, +0.00959983+0.00682887i, +0.00190162+0.02516356i, +0.07535509-0.00000000i, +0.00434129+0.02519497i, -0.03994373+0.03193634i, -0.02292261-0.03085735i, -0.02474217+0.06729382i, +0.01808808-0.02162803i, -0.02353078-0.02872983i
+0.01076017-0.00366335i, +0.02078991-0.02367611i, +0.00059762+0.00668810i, -0.01353000+0.02048030i, -0.00179271+0.01029312i, -0.00283565-0.01786775i, -0.00592804+0.01186157i, +0.01387437+0.01773059i, -0.01073027-0.00964093i, +0.00368241-0.00614285i, +0.00074447+0.01788573i, +0.02032235-0.00796773i, +0.01368855-0.01229688i, +0.02426690-0.00339677i, -0.00591739-0.00217295i, +0.00897554+0.00229496i, -0.00572604+0.00044043i, +0.00074699-0.00539579i, +0.00353482+0.02205381i, +0.00861064-0.00569014i, -0.00297680+0.01482166i, -0.00837103+0.01397163i, +0.01926274-0.00045858i, +0.00283629-0.00281629i, +0.00852299+0.00081389i, +0.00434129-0.02519497i, +0.00867405-0.00000000i, +0.00837671+0.01519507i, -0.01163775+0.00588645i, +0.02107427+0.01214942i, -0.00618926-0.00729376i, -0.01096145+0.00621236i
+0.00397393-0.02238729i, -0.02139820-0.05928401i, +0.01229325+0.00541193i, +0.02281089+0.04347993i, +0.01630010+0.01308073i, -0.03403893-0.01228782i, +0.01505410+0.02183963i, +0.04445898-0.00718211i, -0.02725129+0.00948668i, -0.00720478-0.01238308i, +0.03205093+0.01596849i, +0.00566797-0.04329502i, -0.00832217-0.03585477i, +0.01748466-0.04579075i, -0.00952109+0.00826754i, +0.01268816-0.01350694i, -0.00475822+0.01045613i, -0.00873089-0.00651941i, +0.04204721+0.01510560i, -0.00165243-0.02057910i, +0.02308962+0.01952831i, +0.01639121+0.02815696i, +0.01779912-0.03418705i, -0.00219446-0.00768832i, +0.00965660-0.01414446i, -0.03994373-0.03193634i, +0.00837671-0.01519507i, +0.03470809-0.00000000i, -0.00092703+0.02607153i, +0.04163505-0.02518465i, -0.01875421+0.00379851i, +0.00029701+0.02520153i
-0.01692270-0.00238713i, -0.04396058+0.01765703i, +0.00373691-0.00937882i, +0.03205137-0.01829607i, +0.00939043-0.01259345i, -0.00832103+0.02589707i, +0.01600310-0.01189144i, -0.00658242-0.03320423i, +0.00785393+0.02021686i, -0.00910931+0.00574272i, +0.01113892-0.02450206i, -0.03267312-0.00310121i, -0.02671059+0.00720899i, -0.03486344-0.01191084i, +0.00646459+0.00693110i, -0.01048484-0.00917015i, +0.00798137+0.00329494i, -0.00466396+0.00673247i, +0.01022376-0.03198788i, -0.01541417+0.00179090i, +0.01405229-0.01786572i, +0.02071275-0.01306457i, -0.02615554-0.01245697i, -0.00571659+0.00185375i, -0.01088275-0.00687592i, -0.02292261+0.03085735i, -0.01163775-0.00588645i, -0.00092703-0.02607153i, +0.01960879+0.00000000i, -0.02002989-0.03060216i, +0.00335422+0.01398607i, +0.01892259-0.00089622i
+0.02101155-0.02397176i, +0.01734846-0.08664260i, +0.01081974+0.01541218i, -0.00418618+0.06870944i, +0.01006168+0.02751892i, -0.03191614-0.03943930i, +0.00221144+0.03712179i, +0.05854343+0.02364453i, -0.03957371-0.00839389i, +0.00034264-0.02008235i, +0.02686063+0.04241202i, +0.03821462-0.04782299i, +0.01603360-0.04904926i, +0.05420059-0.04224246i, -0.01742033+0.00300892i, +0.02502125-0.00699592i, -0.01329496+0.00909031i, -0.00574281-0.01415579i, +0.03947808+0.04863036i, +0.01295025-0.02588525i, +0.01352779+0.04017987i, -0.00076853+0.04567015i, +0.04615801-0.02809475i, +0.00294632-0.01081507i, +0.02184725-0.00996042i, -0.02474217-0.06729382i, +0.02107427-0.01214942i, +0.04163505+0.02518465i, -0.02002989+0.03060216i, +0.06821880-0.00000000i, -0.02525339-0.00905170i, -0.01793028+0.03044671i
-0.00459738+0.01166186i, +0.00507420+0.03437545i, -0.00605026-0.00426968i, -0.00756715-0.02599046i, -0.00737604-0.00885197i, +0.01704784+0.01036489i, -0.00574419-0.01344840i, -0.02480904-0.00098487i, +0.01576324-0.00214362i, +0.00253781+0.00747959i, -0.01557082-0.01213614i, -0.00780091+0.02277378i, +0.00057281+0.02028460i, -0.01445910+0.02282908i, +0.00604945-0.00342529i, -0.00833416+0.00590974i, +0.00371540-0.00512913i, +0.00400417+0.00447823i, -0.02106666-0.01276389i, -0.00135933+0.01130058i, -0.01033906-0.01307892i, -0.00577531-0.01700825i, -0.01335908+0.01652471i, +0.00034434+0.00439448i, -0.00676585+0.00658600i, +0.01808808+0.02162803i, -0.00618926+0.00729376i, -0.01875421-0.00379851i, +0.00335422-0.01398607i, -0.02525339+0.00905170i, +0.01054939-0.00000000i, +0.00259761-0.01364993i
