+0.00009784+0.00008828i, +0.00031929-0.00018761i, -0.00004874+0.00029069i, +0.00038604+0.00003960i, +0.00026596-0.00018647i, -0.00022043+0.00013164i, -0.00002766-0.00016555i, +0.00005836+0.00020955i, -0.00019186-0.00015227i, +0.00018255+0.00003890i, -0.00026373+0.00010098i, +0.03058101-0.00000000i, +0.00044981-0.00027557i, -0.00005236-0.00009626i, +0.00009430+0.00002422i, +0.00005277+0.00020746i, +0.00004822+0.00017537i, -0.00016469+0.00010406i, -0.00014674-0.00007676i, +0.00001224-0.00019040i, -0.00017553-0.00013988i, -0.00012882-0.00001619i, -0.00010707-0.00026572i, +0.00032016-0.00005371i, -0.00024551+0.00007107i, -0.00001231-0.00021975i, +0.00006568+0.00012317i, +0.00012281-0.00017686i, -0.00020435-0.00009757i, +0.00037199-0.00012101i, -0.00032317-0.00016772i, +0.00014423+0.00001190i
+0.00053471+0.00030963i, +0.00059815-0.00038040i, -0.00001592+0.00067407i, +0.00051447-0.00020448i, +0.00038558-0.00066687i, -0.00017141+0.00005056i, -0.00040289-0.00029767i, +0.00009487+0.00066246i, +0.00019252+0.00008569i, -0.00025677+0.00007151i, -0.00031021+0.00022378i, +0.00044981+0.00027557i, +0.03124110+0.00000000i, -0.00025256-0.00016573i, +0.00038150+0.00007854i, -0.00023152+0.00053111i, +0.00003088+0.00031247i, -0.00008994-0.00017356i, -0.00030855-0.00019137i, +0.00032359-0.00037895i, -0.00066083-0.00034136i, -0.00043939+0.00053336i, -0.00037068-0.00047291i, +0.00043072-0.00037593i, -0.00034629+0.00007591i, +0.00011636-0.00044247i, -0.00018173+0.00005453i, +0.00014877-0.00022129i, -0.00089643+0.00015281i, +0.00022162-0.00024447i, -0.00078059-0.00018436i, +0.00002532+0.00014887i
-0.00000145-0.00005073i, -0.00005247+0.00023380i, +0.00003005-0.00004332i, -0.00001242-0.00009373i, +0.00002667+0.00008659i, +0.00011583-0.00001096i, +0.00000234+0.00009445i, -0.00022950+0.00002442i, -0.00006019-0.00010202i, +0.00001622-0.00013570i, +0.00003908-0.00003705i, -0.00005236+0.00009626i, -0.00025256+0.00016573i, +0.03090988+0.00000000i, -0.00006495+0.00006378i, -0.00010383-0.00026387i, -0.00000435-0.00005633i, +0.00004749+0.00021103i, +0.00018219-0.00009099i, +0.00014744+0.00009602i, +0.00011241+0.00007159i, -0.00049131-0.00021048i, +0.00002062+0.00012053i, -0.00003129+0.00012556i, -0.00006123+0.00002250i, +0.00018762-0.00017984i, +0.00000974+0.00008260i, +0.00003519-0.00004998i, +0.00013063+0.00001482i, -0.00023352+0.00008410i, +0.00011782-0.00025089i, -0.00005727+0.00013269i
-0.00001206+0.00001222i, +0.00037494-0.00012046i, -0.00033732+0.00007793i, +0.00023073-0.00004313i, +0.00026226-0.00026170i, -0.00002922-0.00008684i, +0.00009792-0.00054978i, -0.00006511+0.00038681i, +0.00005351-0.00018811i, -0.00005118+0.00018110i, +0.00009850+0.00001313i, +0.00009430-0.00002422i, +0.00038150-0.00007854i, -0.00006495-0.00006378i, +0.03096084+0.00000000i, -0.00018710-0.00003065i, +0.00007427+0.00038895i, -0.00004137-0.00014961i, -0.00024492-0.00033118i, +0.00020188-0.00008659i, -0.00013530+0.00001017i, -0.00032617+0.00000622i, -0.00049870-0.00030969i, +0.00054773-0.00013966i, -0.00025515+0.00001796i, +0.00007635-0.00023338i, -0.00005212+0.00002180i, +0.00000289+0.00000796i, -0.00009808-0.00022995i, +0.00016906-0.00005230i, -0.00049135-0.00029714i, -0.00017656+0.00002262i
-0.00000677-0.00018011i, -0.00064391-0.00006230i, +0.00069864-0.00029623i, -0.00037735-0.00006479i, -0.00050521+0.00018462i, +0.00015561+0.00008172i, +0.00002247+0.00033810i, +0.00011932-0.00059735i, -0.00010663+0.00004840i, +0.00033370-0.00001249i, +0.00019277+0.00013899i, +0.00005277-0.00020746i, -0.00023152-0.00053111i, -0.00010383+0.00026387i, -0.00018710+0.00003065i, +0.03140716-0.00000000i, +0.00014755-0.00011626i, -0.00031893+0.00007677i, +0.00016015+0.00018709i, -0.00050807+0.00010073i, +0.00015813+0.00034482i, +0.00074356+0.00003438i, -0.00004974+0.00040450i, -0.00090984-0.00007373i, +0.00032105+0.00008146i, -0.00015463+0.00027912i, -0.00006240-0.00000114i, -0.00029600+0.00017187i, +0.00032465+0.00035330i, -0.00026181+0.00008792i, +0.00043433+0.00045443i, -0.00003750+0.00026927i
+0.00026857-0.00003622i, -0.00011215-0.00026364i, +0.00017981+0.00008109i, +0.00001075-0.00016182i, -0.00025282-0.00024635i, -0.00003566+0.00001688i, -0.00004580+0.00023145i, +0.00030585+0.00007401i, -0.00002260+0.00009855i, +0.00014400-0.00004882i, -0.00008773+0.00004332i, +0.00004822-0.00017537i, +0.00003088-0.00031247i, -0.00000435+0.00005633i, +0.00007427-0.00038895i, +0.00014755+0.00011626i, +0.03066537+0.00000000i, -0.00027913-0.00030949i, -0.00019938+0.00024320i, -0.00027732-0.00019822i, -0.00039555-0.00004789i, +0.00023488+0.00023831i, -0.00001370+0.00010150i, +0.00000868-0.00040998i, +0.00029808+0.00012948i, -0.00029172+0.00001466i, -0.00000247-0.00015095i, -0.00019792-0.00011957i, -0.00034221+0.00024911i, -0.00000984-0.00012316i, +0.00000835+0.00016031i, -0.00012361-0.00006504i
-0.00010701+0.00027507i, +0.00054952+0.00034552i, -0.00035191+0.00008385i, +0.00007296+0.00004126i, +0.00005103-0.00009284i, -0.00011723-0.00007379i, -0.00006596-0.00004260i, -0.00019930+0.00006677i, -0.00011734+0.00018834i, +0.00004693+0.00008707i, -0.00005714-0.00021219i, -0.00016469-0.00010406i, -0.00008994+0.00017356i, +0.00004749-0.00021103i, -0.00004137+0.00014961i, -0.00031893-0.00007677i, -0.00027913+0.00030949i, +0.03101655+0.00000000i, -0.00024503-0.00008351i, +0.00043785-0.00005175i, +0.00008163-0.00021831i, -0.00048033-0.00005640i, +0.00010179-0.00025335i, +0.00015342+0.00030921i, -0.00016312-0.00024709i, +0.00054508-0.00019737i, +0.00011668-0.00001665i, +0.00025003-0.00001568i, +0.00004150-0.00014283i, -0.00013665+0.00005320i, -0.00008857-0.00028770i, +0.00004232-0.00005298i
-0.00036338-0.00024050i, -0.00040996+0.00033404i, +0.00015613-0.00045602i, -0.00022240+0.00009731i, -0.00008467+0.00043342i, +0.00004937+0.00000882i, +0.00017510+0.00025491i, -0.00032991-0.00036690i, +0.00001878-0.00003528i, +0.00007395-0.00013022i, +0.00028431+0.00004193i, -0.00014674+0.00007676i, -0.00030855+0.00019137i, +0.00018219+0.00009099i, -0.00024492+0.00033118i, +0.00016015-0.00018709i, -0.00019938-0.00024320i, -0.00024503+0.00008351i, +0.03087620-0.00000000i, -0.00030400+0.00008956i, +0.00014664+0.00005326i, +0.00029834-0.00047823i, +0.00025568+0.00037125i, -0.00025556+0.00035300i, +0.00028514-0.00005401i, -0.00006390+0.00025910i, +0.00041785-0.00017693i, -0.00000632+0.00026818i, +0.00034286+0.00014738i, -0.00026333+0.00027717i, +0.00100861-0.00000488i, -0.00004539-0.00004441i
+0.00004115+0.00022139i, +0.00049946+0.00012513i, -0.00054483-0.00002602i, +0.00049931+0.00027821i, +0.00034854-0.00002955i, -0.00021364-0.00024534i, +0.00009030-0.00040999i, -0.00023601+0.00026655i, -0.00001172+0.00014874i, +0.00004014-0.00013249i, -0.00017173-0.00009637i, +0.00001224+0.00019040i, +0.00032359+0.00037895i, +0.00014744-0.00009602i, +0.00020188+0.00008659i, -0.00050807-0.00010073i, -0.00027732+0.00019822i, +0.00043785+0.00005175i, -0.00030400-0.00008956i, +0.03095239+0.00000000i, +0.00007895-0.00039891i, -0.00072448-0.00011969i, +0.00023896-0.00041366i, +0.00065449+0.00025218i, -0.00044883-0.00028150i, +0.00046664-0.00019265i, -0.00000415+0.00005301i, +0.00041603-0.00016199i, -0.00015263-0.00035361i, +0.00016858-0.00005186i, -0.00027786-0.00050709i, +0.00007574-0.00001274i
-0.00028503+0.00008707i, -0.00003172+0.00047326i, -0.00045493-0.00026748i, -0.00015724+0.00029152i, +0.00044368+0.00066526i, +0.00005640-0.00011799i, +0.00033785+0.00024404i, -0.00043898-0.00036104i, -0.00032327+0.00018584i, +0.00017268+0.00005521i, +0.00002925-0.00022597i, -0.00017553+0.00013988i, -0.00066083+0.00034136i, +0.00011241-0.00007159i, -0.00013530-0.00001017i, +0.00015813-0.00034482i, -0.00039555+0.00004789i, +0.00008163+0.00021831i, +0.00014664-0.00005326i, +0.00007895+0.00039891i, +0.03131239+0.00000000i, -0.00004149-0.00072264i, +0.00064060+0.00038367i, -0.00031079+0.00027429i, +0.00029980-0.00015954i, +0.00012647+0.00029793i, -0.00008980-0.00015457i, -0.00017836+0.00044573i, +0.00063228-0.00029985i, +0.00001930+0.00027376i, +0.00049699-0.00009370i, -0.00004588-0.00018961i
