+0.00280059-0.00137131i, -0.00162269-0.00392011i, +0.00243403+0.00147131i, -0.00330787-0.00253793i, +0.00380582-0.00342429i, -0.00133542-0.00142724i, +0.00006222-0.00017117i, -0.00678763+0.00211076i, +0.00259384-0.00160698i, -0.00087965-0.00192978i, +0.00613033+0.00061125i, +0.00609003+0.00125017i, +0.00219142-0.00689212i, +0.00721205+0.00128010i, +0.00058848+0.00010344i, +0.00087538-0.00058087i, +0.00369776+0.00115755i, +0.00447730-0.00450625i, -0.00221575+0.00371807i, -0.00002146-0.00023772i, -0.00471686+0.00030464i, +0.03070023-0.00000000i, -0.00577706-0.00192579i, +0.00563248+0.00002034i, +0.00324664-0.00511136i, -0.00111999-0.00259800i, +0.00426619-0.00183856i, +0.00529322+0.00140338i, -0.00274473-0.00266206i, +0.00110803-0.00258595i, -0.00054639+0.00160555i, +0.00414299-0.00175652i
-0.00282774+0.00558305i, +0.00449119+0.00457389i, -0.00378305-0.00302072i, +0.00595033+0.00273365i, -0.00787247+0.00618701i, -0.00126174-0.00409240i, +0.00014117+0.00202829i, +0.01011196-0.00535155i, -0.00640644+0.00198344i, +0.00314322+0.00196896i, -0.01159138+0.00261642i, -0.01160533-0.00037210i, +0.00179420+0.01056557i, -0.01125312+0.00117089i, +0.00225108+0.00634530i, -0.00305062+0.00470030i, -0.00465812+0.00124194i, -0.00522870+0.01039682i, +0.00077307-0.00577268i, -0.00252158-0.00239016i, +0.00609261-0.00255649i, -0.00577706+0.00192579i, +0.03501955+0.00000000i, -0.00823767+0.00043992i, -0.00239128+0.01485441i, +0.00262789+0.00447105i, -0.00519264+0.00537394i, -0.00835640-0.00120999i, +0.00764037+0.00355024i, +0.00268164+0.00633206i, +0.00094826-0.00252915i, -0.00547085+0.00401760i
+0.00327765-0.00238232i, -0.00207952-0.00551213i, +0.00201417+0.00209740i, -0.00362097-0.00253448i, +0.00488122-0.00521240i, +0.00094347+0.00383655i, -0.00050405-0.00228087i, -0.00759209+0.00018857i, +0.00404492+0.00002632i, -0.00032399-0.00149725i, +0.00831741+0.00070479i, +0.00654465+0.00126695i, +0.00163631-0.00846278i, +0.00807749-0.00011070i, +0.00049283-0.00011600i, +0.00349261-0.00131179i, +0.00437054+0.00115313i, +0.00330323-0.00709666i, -0.00178401+0.00185376i, +0.00289761+0.00345679i, -0.00594660+0.00275149i, +0.00563248-0.00002034i, -0.00823767-0.00043992i, +0.03036117+0.00000000i, +0.00328475-0.00710302i, -0.00119844-0.00504529i, +0.00513146-0.00415990i, +0.00801141+0.00480396i, -0.00318651-0.00258896i, -0.00185737-0.00372518i, +0.00092656+0.00055383i, +0.00188915-0.00438367i
+0.00836511+0.00003885i, +0.00313240-0.00702140i, -0.00196285+0.00451654i, +0.00303202-0.00495993i, +0.00912904+0.00592440i, -0.00375067+0.00166460i, +0.00321658-0.00198121i, -0.00723928-0.00869847i, +0.00702107+0.00908795i, +0.00257063-0.00399302i, +0.00401070+0.01216368i, +0.00286330+0.01266711i, +0.01083282-0.00331582i, +0.00491305+0.01075820i, +0.00291124-0.00061030i, +0.00488826+0.00170420i, +0.00134777+0.00841786i, +0.01265029+0.00308936i, -0.00822495+0.00095740i, -0.00260383+0.00307276i, -0.00616371-0.00426398i, +0.00324664+0.00511136i, -0.00239128-0.01485441i, +0.00328475+0.00710302i, +0.03944263+0.00000000i, +0.00503622-0.00506130i, +0.00888137+0.00821381i, +0.00356739+0.01034260i, +0.00089645-0.00984909i, +0.00785140-0.00297507i, -0.00250783+0.00005944i, +0.00414091+0.00401167i
+0.00191203+0.00378048i, +0.00386748-0.00386577i, -0.00275193+0.00242386i, +0.00429585-0.00172198i, +0.00218572+0.00536316i, -0.00106422-0.00101750i, +0.00174698-0.00069058i, +0.00018530-0.00536903i, -0.00051638+0.00277128i, +0.00366425+0.00197992i, -0.00259373+0.00633593i, -0.00410031+0.00582592i, +0.00474255+0.00211691i, -0.00101370+0.00586182i, -0.00038581+0.00053433i, +0.00164562+0.00186134i, -0.00192487+0.00210041i, +0.00353571+0.00396333i, -0.00244155-0.00295196i, -0.00044301+0.00033051i, +0.00111737-0.00506321i, -0.00111999+0.00259800i, +0.00262789-0.00447105i, -0.00119844+0.00504529i, +0.00503622+0.00506130i, +0.02908914+0.00000000i, +0.00046153+0.00539985i, -0.00319525+0.00378091i, +0.00114021-0.00107828i, +0.00301611+0.00162755i, -0.00105180-0.00052679i, +0.00011316+0.00327424i
+0.00446031-0.00128275i, -0.00081857-0.00618088i, +0.00220560+0.00173820i, -0.00166701-0.00524502i, +0.00663314-0.00125098i, -0.00299068+0.00228885i, -0.00036379-0.00277279i, -0.00703203-0.00097203i, +0.00496010+0.00081129i, -0.00017219-0.00259423i, +0.01010722+0.00854067i, +0.00740669+0.00532693i, +0.00442783-0.00546407i, +0.00678551+0.00402587i, +0.00057035-0.00131881i, +0.00278163-0.00108948i, +0.00555640+0.00549022i, +0.00927263-0.00299921i, -0.00406831+0.00433881i, +0.00219977+0.00346205i, -0.00733822-0.00003416i, +0.00426619+0.00183856i, -0.00519264-0.00537394i, +0.00513146+0.00415990i, +0.00888137-0.00821381i, +0.00046153-0.00539985i, +0.03086608-0.00000000i, +0.00559753+0.00399799i, -0.00369119-0.00531505i, +0.00299100-0.00547106i, -0.00175160+0.00026284i, +0.00368772-0.00081907i
+0.00268293-0.00484586i, -0.00489498-0.00458850i, +0.00284325+0.00325427i, -0.00220822-0.00326496i, +0.00409798-0.00509910i, +0.00117291+0.00296064i, -0.00104257-0.00217066i, -0.00799661+0.00270025i, +0.00581901-0.00202842i, -0.00167022-0.00027281i, +0.00820338-0.00067682i, +0.01089614+0.00204482i, -0.00050566-0.00773947i, +0.00926930-0.00198463i, -0.00006264-0.00112108i, +0.00136457-0.00322804i, +0.00451905+0.00154993i, +0.00297821-0.00757174i, -0.00180313+0.00294238i, +0.00257269+0.00381101i, -0.00457985+0.00350067i, +0.00529322-0.00140338i, -0.00835640+0.00120999i, +0.00801141-0.00480396i, +0.00356739-0.01034260i, -0.00319525-0.00378091i, +0.00559753-0.00399799i, +0.03098432+0.00000000i, -0.00492162-0.00174811i, +0.00020956-0.00381718i, -0.00057464+0.00042736i, +0.00307955-0.00109176i
-0.00024995+0.00291931i, +0.00405558+0.00300755i, -0.00289404-0.00102415i, +0.00380891+0.00070809i, -0.00451451+0.00689189i, -0.00080791-0.00272086i, -0.00022043+0.00077928i, +0.00445189-0.00310040i, -0.00356692+0.00276856i, +0.00216248+0.00085339i, -0.00657283+0.00197639i, -0.00686666+0.00144078i, +0.00466211+0.00893242i, -0.00652888+0.00358435i, +0.00269917+0.00077615i, -0.00202928+0.00137973i, -0.00355303+0.00024305i, -0.00146894+0.00591129i, -0.00156013-0.00613578i, -0.00190201-0.00079389i, +0.00268427-0.00297938i, -0.00274473+0.00266206i, +0.00764037-0.00355024i, -0.00318651+0.00258896i, +0.00089645+0.00984909i, +0.00114021+0.00107828i, -0.00369119+0.00531505i, -0.00492162+0.00174811i, +0.03050325-0.00000000i, +0.00180174+0.00487181i, +0.00136781-0.00106697i, -0.00238083+0.00074911i
+0.00250657+0.00221084i, +0.00337601-0.00284010i, -0.00244368+0.00261531i, +0.00359082-0.00310062i, +0.00349171+0.00645536i, -0.00507129+0.00192322i, +0.00103444+0.00122952i, -0.00167604-0.00560590i, +0.00112008+0.00358497i, +0.00107017-0.00207315i, -0.00126337+0.00709247i, -0.00090531+0.00772182i, +0.00748699+0.00048018i, +0.00247501+0.00969692i, +0.00180762-0.00112831i, +0.00203030+0.00281894i, -0.00138959+0.00584822i, +0.00388409+0.00789445i, -0.00362077-0.00012886i, -0.00001267+0.00356521i, -0.00312882-0.00483093i, +0.00110803+0.00258595i, +0.00268164-0.00633206i, -0.00185737+0.00372518i, +0.00785140+0.00297507i, +0.00301611-0.00162755i, +0.00299100+0.00547106i, +0.00020956+0.00381718i, +0.00180174-0.00487181i, +0.03059860-0.00000000i, -0.00147157-0.00249552i, +0.00300701+0.00200242i
-0.00106103-0.00022404i, -0.00027096+0.00176379i, -0.00093296-0.00186575i, +0.00043797+0.00024567i, -0.00235305+0.00060702i, +0.00038077-0.00153054i, -0.00192783+0.00195509i, +0.00219535-0.00005950i, -0.00118124-0.00166047i, -0.00004066+0.00039438i, -0.00121040-0.00126756i, -0.00112966-0.00137767i, -0.00288665+0.00031157i, -0.00142426-0.00042036i, +0.00274728+0.00446296i, -0.00121213+0.00142739i, -0.00266050+0.00013506i, -0.00315724-0.00127411i, +0.00111159-0.00096998i, -0.00082747-0.00011565i, +0.00035624-0.00187375i, -0.00054639-0.00160555i, +0.00094826+0.00252915i, +0.00092656-0.00055383i, -0.00250783-0.00005944i, -0.00105180+0.00052679i, -0.00175160-0.00026284i, -0.00057464-0.00042736i, +0.00136781+0.00106697i, -0.00147157+0.00249552i, +0.02374586+0.00000000i, +0.00026621+0.00105983i
