+0.01683185-0.00000000i, -0.00040778+0.00051927i, -0.00048139-0.00048342i, -0.00008264+0.00010302i, +0.00049048+0.00120926i, -0.00050041-0.00079872i, +0.00025259+0.00050142i, +0.00021764-0.00002641i, -0.00143125-0.00040680i, +0.00006804-0.00030791i, -0.00000517-0.00006870i, -0.00029316+0.00057100i, +0.00019823-0.00043682i, -0.00010981-0.00024570i, -0.00038186+0.00020930i, -0.00048493+0.00000909i, -0.00019656-0.00020744i, +0.00037834+0.00028009i, -0.00043939-0.00042482i, +0.00072389-0.00008100i, -0.00067575+0.00015305i, +0.00080320+0.00011457i, +0.00102791-0.00015613i, +0.00040530-0.00041307i, -0.00002716+0.00037496i, +0.00030318-0.00076412i, +0.00023331-0.00055044i, -0.00020227+0.00057589i, +0.00097626+0.00099964i, +0.00013340+0.00053808i, -0.00044956+0.00078103i, +0.00021261+0.00109686i, -0.00041815+0.00064700i, +0.00045315-0.00007908i, -0.00011068-0.00000402i, -0.00061583+0.00031653i, +0.00026140-0.00005621i, +0.00044342-0.00021727i, +0.00024323+0.00023956i, +0.00041018+0.00007455i, +0.00112042+0.00114461i, -0.00009023-0.00119855i, -0.00060329-0.00009098i, -0.00021464+0.00000443i, +0.00090689-0.00045706i, -0.00009537+0.00019774i, +0.00014803-0.00019643i, +0.00039221-0.00027816i, -0.00001372+0.00053125i, -0.00018906-0.00079883i, -0.00002856-0.00029053i, +0.00031788-0.00031025i, -0.00032777-0.00076563i, +0.00040623+0.00023047i, +0.00053941+0.00024684i, -0.00026661+0.00018163i, -0.00141164-0.00015122i, -0.00049283-0.00034338i, +0.00001338+0.00036784i, -0.00020291-0.00046872i, +0.00043579+0.00001461i, +0.00031264-0.00056851i, +0.00043344+0.00063622i, +0.00028580-0.00015626i
+0.00030318+0.00076412i, -0.00009867+0.00095665i, -0.00018736+0.00029205i, +0.00000372-0.00037837i, +0.00084080+0.00041147i, +0.00008256-0.00077670i, +0.00029842+0.00082778i, +0.00015401+0.00039529i, -0.00058079-0.00008174i, -0.00026613+0.00015846i, -0.00004682+0.00017284i, +0.00003215+0.00097159i, -0.00017119-0.00074835i, -0.00008260+0.00028910i, -0.00042925-0.00002159i, -0.00024863+0.00009622i, -0.00090526-0.00011384i, -0.00032304+0.00047359i, -0.00073446+0.00000307i, +0.00114724-0.00068694i, +0.00013053+0.00072972i, +0.00068030-0.00073284i, +0.00003900-0.00013063i, +0.00059047-0.00044182i, +0.00089652+0.00081812i, +0.01477249-0.00000000i, -0.00035301-0.00053019i, -0.00071839+0.00010770i, +0.00059844+0.00078243i, +0.00078279+0.00010359i, -0.00013524+0.00066360i, +0.00026221+0.00068313i, -0.00071981+0.00071234i, +0.00017252+0.00045545i, +0.00010904+0.00025565i, -0.00025709-0.00011685i, -0.00000891+0.00021577i, +0.00015858+0.00004805i, -0.00029534-0.00002341i, +0.00066484+0.00003513i, +0.00070410+0.00028138i, +0.00003690-0.00059186i, -0.00070189+0.00007403i, +0.00038986+0.00022321i, +0.00047186+0.00045178i, +0.00090315+0.00058245i, -0.00042600-0.00013927i, +0.00037534+0.00007146i, +0.00031015-0.00012746i, -0.00035315-0.00112933i, -0.00014772-0.00002156i, +0.00006806-0.00010570i, -0.00078208-0.00059842i, +0.00062239-0.00052862i, +0.00036179+0.00022125i, -0.00022599+0.00038563i, -0.00066989-0.00038597i, -0.00108932-0.00105226i, +0.00024645+0.00013271i, -0.00003056-0.00020883i, +0.00022272+0.00002124i, +0.00038425-0.00081235i, +0.00035219-0.00019882i, +0.00042499-0.00054160i
+0.00023331+0.00055044i, -0.00061738-0.00062131i, +0.00006195-0.00009036i, +0.00024928+0.00008946i, -0.00143344+0.00016641i, +0.00072333+0.00066272i, -0.00077287-0.00071446i, -0.00015271-0.00025599i, +0.00100238+0.00027824i, +0.00034603+0.00040844i, -0.00004543+0.00030081i, -0.00056617-0.00103415i, +0.00063549+0.00115056i, -0.00003234-0.00004935i, +0.00066615-0.00041286i, +0.00012458-0.00051299i, +0.00105890-0.00040432i, +0.00007322+0.00000398i, +0.00023201-0.00043651i, -0.00068722+0.00079918i, +0.00011578-0.00037407i, -0.00049528+0.00056498i, +0.00046018+0.00080808i, +0.00034456+0.00053841i, -0.00085736-0.00017430i, -0.00035301+0.00053019i, +0.01518041-0.00000000i, +0.00029260-0.00067970i, -0.00156089-0.00046332i, -0.00112870-0.00090889i, +0.00055114-0.00035472i, -0.00125781+0.00011094i, +0.00055612-0.00091213i, -0.00039239-0.00022186i, -0.00042728-0.00021309i, -0.00018400-0.00018833i, -0.00052354-0.00043220i, -0.00049658+0.00054996i, +0.00065230-0.00032802i, -0.00060668-0.00000416i, -0.00106888+0.00025128i, +0.00098986+0.00079580i, +0.00191207-0.00034641i, -0.00040438-0.00046387i, -0.00018910-0.00032942i, -0.00054129-0.00013373i, +0.00008978-0.00031256i, +0.00010254+0.00033841i, -0.00045726+0.00001727i, +0.00022654+0.00020582i, +0.00020126-0.00040831i, +0.00020612+0.00009128i, +0.00080980-0.00002915i, -0.00048763+0.00048797i, -0.00039338+0.00055611i, +0.00007757-0.00050811i, +0.00103401-0.00045909i, +0.00090297-0.00002316i, -0.00061839-0.00066707i, -0.00027506+0.00041249i, -0.00023730+0.00049548i, +0.00026882+0.00071775i, -0.00175720+0.00079890i, -0.00021581+0.00095379i
-0.00020227-0.00057589i, +0.00046074-0.00035506i, +0.00011686+0.00049535i, -0.00057563+0.00050333i, -0.00023878-0.00033297i, -0.00010307+0.00044348i, +0.00039953-0.00056972i, -0.00018305-0.00072748i, -0.00007560+0.00089226i, -0.00039375+0.00006008i, -0.00007827-0.00011875i, +0.00088830-0.00011509i, -0.00078687+0.00079320i, -0.00023197-0.00025054i, +0.00044448+0.00004676i, +0.00068695-0.00035302i, +0.00054335+0.00148028i, +0.00034056+0.00028751i, +0.00063963+0.00078885i, -0.00206162-0.00104198i, +0.00009611+0.00016337i, -0.00068218-0.00057782i, -0.00042391+0.00004712i, -0.00025443+0.00024709i, -0.00000654-0.00095362i, -0.00071839-0.00010770i, +0.00029260+0.00067970i, +0.01608556+0.00000000i, -0.00047326-0.00142819i, -0.00031220-0.00126650i, +0.00072609+0.00044640i, +0.00024610-0.00024660i, +0.00061804-0.00006718i, +0.00001025-0.00005298i, +0.00018858-0.00016277i, +0.00006344+0.00021610i, -0.00004652-0.00058918i, -0.00015294-0.00010946i, +0.00007974+0.00028641i, +0.00036745-0.00122218i, -0.00020370-0.00081820i, -0.00023573+0.00095358i, +0.00024646+0.00008660i, +0.00113485-0.00016822i, -0.00006631-0.00036605i, -0.00028083-0.00012992i, +0.00035575+0.00021619i, -0.00029857-0.00052848i, -0.00013274-0.00065428i, -0.00067146+0.00015946i, -0.00016976+0.00010424i, -0.00036825-0.00071646i, +0.00031451+0.00063346i, -0.00004189-0.00014584i, -0.00041207-0.00043304i, +0.00049766+0.00044755i, +0.00074183+0.00085400i, +0.00014828+0.00044714i, +0.00039325-0.00021281i, -0.00069895-0.00057951i, -0.00043627-0.00018767i, -0.00030972+0.00031823i, -0.00017625-0.00062312i, -0.00183046+0.00043815i
+0.00097626-0.00099964i, +0.00137494+0.00145874i, -0.00133473+0.00064064i, -0.00071053-0.00059171i, +0.00369894-0.00026399i, -0.00078352-0.00061972i, +0.00162098+0.00088291i, +0.00077612+0.00063283i, -0.00248733+0.00073290i, -0.00108257-0.00088154i, +0.00014892+0.00046862i, +0.00185633+0.00195843i, -0.00235130-0.00113786i, +0.00005310+0.00087197i, -0.00135061+0.00084451i, -0.00019685+0.00122672i, -0.00370764+0.00089223i, +0.00026271+0.00081144i, -0.00174205+0.00155447i, +0.00103526-0.00296812i, +0.00090602+0.00204456i, +0.00133886-0.00180050i, +0.00008798-0.00165222i, -0.00084083-0.00046370i, +0.00191134+0.00019995i, +0.00059844-0.00078243i, -0.00156089+0.00046332i, -0.00047326+0.00142819i, +0.02143698-0.00000000i, +0.00301924-0.00008544i, -0.00090846+0.00277204i, +0.00263764-0.00070928i, -0.00067140+0.00340366i, +0.00010464-0.00026990i, +0.00086029+0.00050002i, -0.00021544+0.00077628i, +0.00177738+0.00109691i, +0.00066065-0.00199159i, -0.00001558-0.00034855i, +0.00190539-0.00072356i, +0.00220849-0.00152451i, -0.00208331-0.00133633i, -0.00163340+0.00178835i, +0.00022704+0.00080008i, +0.00291537+0.00022890i, +0.00099606+0.00017959i, -0.00099162+0.00028152i, -0.00008779-0.00070154i, +0.00118767-0.00046362i, -0.00118677-0.00051813i, -0.00022838-0.00010691i, -0.00054963-0.00049707i, -0.00190729+0.00057964i, +0.00095265-0.00108657i, +0.00150591-0.00055674i, +0.00059522+0.00137937i, -0.00372911+0.00283541i, -0.00174967+0.00070139i, +0.00074707+0.00056282i, -0.00040739-0.00058227i, -0.00026831-0.00245494i, -0.00182367-0.00099668i, +0.00197636-0.00149562i, -0.00019096-0.00288458i
+0.00013340-0.00053808i, +0.00099708+0.00100465i, -0.00057575+0.00076769i, -0.00015402-0.00015986i, +0.00236959-0.00087187i, -0.00035784-0.00069138i, +0.00084600+0.00060445i, +0.00075690+0.00032990i, -0.00219589+0.00020947i, -0.00073651-0.00091568i, +0.00032093+0.00009278i, +0.00090922+0.00156404i, -0.00146952-0.00127469i, -0.00060365+0.00023671i, -0.00099274+0.00076830i, -0.00000686+0.00127508i, -0.00212670+0.00018918i, -0.00039606+0.00064293i, -0.00135461+0.00084068i, +0.00083422-0.00243733i, +0.00007179+0.00131978i, +0.00184040-0.00098103i, -0.00023710-0.00055115i, -0.00086346-0.00034747i, +0.00156323+0.00002410i, +0.00078279-0.00010359i, -0.00112870+0.00090889i, -0.00031220+0.00126650i, +0.00301924+0.00008544i, +0.01742489+0.00000000i, -0.00018517+0.00199531i, +0.00215716-0.00021017i, -0.00046359+0.00194641i, -0.00010036+0.00016204i, +0.00074722+0.00043011i, -0.00005832+0.00039270i, +0.00149660+0.00059310i, +0.00086325-0.00181121i, -0.00017556-0.00047207i, +0.00118652-0.00019196i, +0.00159562-0.00110556i, -0.00254316-0.00087941i, -0.00095323+0.00136262i, +0.00024551+0.00037105i, +0.00063026+0.00026661i, +0.00183660+0.00018975i, -0.00052088+0.00031962i, +0.00034953-0.00039417i, +0.00047721-0.00027584i, -0.00032691-0.00128185i, -0.00039128+0.00031228i, -0.00020657-0.00031826i, -0.00145376+0.00006923i, +0.00036898+0.00014353i, +0.00090450-0.00091026i, +0.00023455+0.00105150i, -0.00139583+0.00130652i, -0.00276075+0.00111409i, +0.00078785+0.00040137i, -0.00058285-0.00063133i, +0.00029703-0.00119666i, -0.00210136-0.00232137i, +0.00117960-0.00122968i, +0.00007132-0.00158520i
-0.00044956-0.00078103i, +0.00047362-0.00097954i, +0.00080374+0.00089132i, -0.00027992+0.00033007i, -0.00036659-0.00190841i, -0.00016940+0.00061282i, +0.00107571-0.00174157i, +0.00028991-0.00058662i, +0.00044677+0.00150802i, -0.00053875+0.00061266i, +0.00053639+0.00014879i, +0.00085192-0.00079151i, -0.00046447+0.00137979i, +0.00029011-0.00002107i, -0.00003485+0.00098159i, +0.00073414-0.00029814i, +0.00120644+0.00224228i, +0.00057894+0.00000016i, +0.00083083+0.00135978i, -0.00179049-0.00066638i, +0.00162744+0.00020201i, -0.00092437-0.00071086i, -0.00018057+0.00044787i, -0.00026778+0.00047724i, +0.00021487-0.00062573i, -0.00013524-0.00066360i, +0.00055114+0.00035472i, +0.00072609-0.00044640i, -0.00090846-0.00277204i, -0.00018517-0.00199531i, +0.01594500+0.00000000i, -0.00006083-0.00193246i, +0.00155601+0.00015665i, -0.00027685-0.00019871i, +0.00052422-0.00083345i, +0.00024024+0.00002239i, +0.00024715-0.00115967i, -0.00132890-0.00011030i, -0.00023958-0.00018643i, -0.00038896-0.00106302i, -0.00097320-0.00152801i, -0.00050395+0.00148413i, +0.00199388+0.00133461i, +0.00040059-0.00047394i, -0.00001995-0.00091524i, +0.00013569-0.00049246i, +0.00093514+0.00004018i, -0.00043821-0.00024950i, -0.00038339-0.00026802i, -0.00061700+0.00059319i, -0.00043828+0.00055496i, -0.00033792+0.00042163i, -0.00009650+0.00092095i, -0.00061473-0.00039474i, -0.00092692-0.00009920i, +0.00090952-0.00011600i, +0.00132872+0.00118006i, +0.00035779+0.00106598i, +0.00112227-0.00105483i, -0.00033374+0.00049346i, -0.00057125+0.00000565i, -0.00068287+0.00087868i, -0.00164982-0.00170119i, -0.00163677+0.00030849i
+0.00021261-0.00109686i, +0.00084535+0.00094300i, -0.00047924+0.00060661i, -0.00012022-0.00002725i, +0.00167904-0.00008519i, -0.00070240-0.00039755i, +0.00099498+0.00094173i, +0.00075319-0.00012519i, -0.00185419+0.00026917i, -0.00049986-0.00098259i, +0.00002117+0.00025749i, +0.00095176+0.00183579i, -0.00103645-0.00123850i, -0.00038143+0.00029213i, -0.00048003+0.00034029i, -0.00097497+0.00137254i, -0.00199329+0.00052387i, +0.00001112+0.00012546i, -0.00110975+0.00052641i, +0.00115305-0.00131139i, -0.00035980+0.00123881i, +0.00071995-0.00101717i, -0.00058681-0.00108804i, -0.00035172-0.00050675i, +0.00080926+0.00013767i, +0.00026221-0.00068313i, -0.00125781-0.00011094i, +0.00024610+0.00024660i, +0.00263764+0.00070928i, +0.00215716+0.00021017i, -0.00006083+0.00193246i, +0.01682523+0.00000000i, -0.00081713+0.00161708i, +0.00032495-0.00029125i, +0.00042570+0.00067143i, +0.00027881+0.00017167i, +0.00084922+0.00087589i, +0.00048560-0.00126992i, -0.00014771-0.00024426i, +0.00130360-0.00035843i, +0.00195657-0.00062033i, -0.00140816-0.00095317i, -0.00109992+0.00088394i, +0.00080551+0.00093893i, +0.00073248+0.00016861i, +0.00040282+0.00015861i, -0.00070210-0.00001743i, +0.00087301-0.00099445i, +0.00029655+0.00013695i, -0.00073881-0.00052842i, -0.00048819+0.00014259i, -0.00081681-0.00024934i, -0.00129548+0.00025941i, +0.00082262-0.00070093i, +0.00089405-0.00060242i, -0.00005422+0.00165214i, -0.00159982+0.00105494i, -0.00142067-0.00013862i, +0.00051956+0.00044261i, +0.00054155-0.00068779i, +0.00062620-0.00093771i, -0.00057756-0.00116517i, +0.00180142-0.00102034i, -0.00014029-0.00273134i
-0.00041815-0.00064700i, +0.00048747-0.00126809i, +0.00081370+0.00064175i, -0.00036440+0.00026195i, -0.00142020-0.00292258i, -0.00034263+0.00034795i, +0.00066367-0.00114599i, +0.00040803-0.00063522i, +0.00118048+0.00171876i, -0.00054983+0.00067442i, +0.00053670-0.00022397i, +0.00119216-0.00191763i, -0.00115730+0.00121431i, +0.00010080-0.00020175i, +0.00091958+0.00044586i, +0.00104491+0.00016578i, +0.00068364+0.00233333i, +0.00041715-0.00062124i, +0.00120609+0.00107111i, -0.00225294-0.00033408i, +0.00240640-0.00100054i, -0.00151814-0.00046765i, -0.00069013+0.00058393i, -0.00053157+0.00037943i, -0.00021146-0.00172307i, -0.00071981-0.00071234i, +0.00055612+0.00091213i, +0.00061804+0.00006718i, -0.00067140-0.00340366i, -0.00046359-0.00194641i, +0.00155601-0.00015665i, -0.00081713-0.00161708i, +0.01748960-0.00000000i, +0.00006478-0.00070564i, +0.00077386-0.00112373i, +0.00003052+0.00022606i, +0.00003479-0.00214593i, -0.00149055-0.00065108i, +0.00034030-0.00010242i, -0.00022010-0.00108639i, -0.00115357-0.00134613i, -0.00001759+0.00195738i, +0.00143988+0.00057815i, +0.00013306-0.00013691i, +0.00022024-0.00147035i, +0.00050372-0.00063560i, +0.00028452+0.00089182i, -0.00031368-0.00005121i, +0.00041244-0.00044187i, -0.00061663+0.00107951i, +0.00017676+0.00049621i, -0.00011461+0.00016692i, +0.00042095+0.00119308i, -0.00122456-0.00056342i, -0.00064956-0.00087546i, +0.00073603-0.00053338i, +0.00170817+0.00153696i, +0.00049622+0.00165597i, +0.00013158-0.00029052i, -0.00015019+0.00023767i, -0.00063190+0.00003337i, -0.00063754+0.00104396i, -0.00124966-0.00125394i, -0.00187723-0.00014079i
+0.00045315+0.00007908i, +0.00068968-0.00068744i, -0.00026746-0.00007335i, -0.00028904+0.00000339i, +0.00009171+0.00035452i, -0.00084191-0.00127309i, +0.00016483+0.00020731i, -0.00029796+0.00036778i, +0.00002585-0.00015879i, +0.00044301-0.00021049i, -0.00013398+0.00001412i, +0.00020861-0.00003296i, -0.00036012-0.00027964i, -0.00080337-0.00030277i, -0.00023187-0.00049473i, -0.00055872+0.00000243i, -0.00041203-0.00003216i, -0.00041794+0.00025893i, -0.00034127-0.00014307i, +0.00008261-0.00031101i, -0.00008558+0.00003194i, +0.00088490-0.00057782i, +0.00016342-0.00010002i, -0.00006435-0.00037382i, +0.00008538-0.00000418i, +0.00017252-0.00045545i, -0.00039239+0.00022186i, +0.00001025+0.00005298i, +0.00010464+0.00026990i, -0.00010036-0.00016204i, -0.00027685+0.00019871i, +0.00032495+0.00029125i, +0.00006478+0.00070564i, +0.01386206+0.00000000i, +0.00037383+0.00012600i, -0.00040262-0.00037231i, -0.00023566+0.00008710i, +0.00070612-0.00082352i, +0.00033270-0.00010228i, +0.00021362+0.00003174i, +0.00011133+0.00099803i, +0.00007195-0.00051774i, -0.00049900-0.00008390i, -0.00007496+0.00031237i, +0.00043371-0.00006167i, -0.00003433-0.00022009i, -0.00012446-0.00011179i, +0.00009259-0.00033096i, +0.00019649-0.00027980i, +0.00039472-0.00000621i, +0.00016833-0.00044517i, +0.00009041-0.00008313i, -0.00027418-0.00037699i, -0.00015823-0.00018032i, +0.00029915-0.00000522i, -0.00022103+0.00002597i, -0.00087728-0.00024766i, -0.00030680+0.00055638i, +0.00004863+0.00023374i, +0.00013941-0.00026210i, +0.00013220+0.00020381i, +0.00042461-0.00023983i, +0.00051010+0.00002385i, +0.00021358-0.00036141i
-0.00011068+0.00000402i, +0.00033203-0.00012047i, +0.00056477+0.00020601i, -0.00011378-0.00015027i, +0.00094410-0.00090637i, -0.00019942+0.00007616i, +0.00127418+0.00033519i, +0.00031031-0.00009484i, -0.00043578+0.00066539i, -0.00037557-0.00016359i, +0.00060434+0.00000938i, +0.00073668+0.00005920i, -0.00066578+0.00011119i, -0.00002862-0.00007252i, -0.00006393+0.00050554i, +0.00033807+0.00031469i, -0.00058436+0.00075859i, +0.00027069-0.00017948i, -0.00067361+0.00092979i, -0.00008427-0.00079138i, +0.00062548+0.00032200i, +0.00004732-0.00057144i, -0.00060337+0.00051497i, -0.00038945-0.00020722i, +0.00044868-0.00019361i, +0.00010904-0.00025565i, -0.00042728+0.00021309i, +0.00018858+0.00016277i, +0.00086029-0.00050002i, +0.00074722-0.00043011i, +0.00052422+0.00083345i, +0.00042570-0.00067143i, +0.00077386+0.00112373i, +0.00037383-0.00012600i, +0.01333594+0.00000000i, +0.00032156-0.00034419i, +0.00074442-0.00053112i, -0.00025759-0.00012677i, +0.00023247+0.00044684i, +0.00059484-0.00039658i, +0.00046884-0.00028030i, -0.00049814+0.00023615i, -0.00011694+0.00063356i, +0.00027811+0.00009964i, +0.00080796+0.00029019i, +0.00057124-0.00008125i, -0.00060110+0.00078882i, -0.00004616-0.00009793i, +0.00011075-0.00023353i, -0.00055355-0.00008710i, -0.00002584+0.00039048i, -0.00020533-0.00033684i, -0.00006434+0.00038751i, +0.00000378-0.00036364i, +0.00063014-0.00009078i, +0.00027730+0.00041974i, -0.00027875+0.00054980i, -0.00055051+0.00066931i, +0.00003750+0.00061128i, +0.00005301-0.00023698i, +0.00024404-0.00054535i, -0.00037903-0.00030523i, -0.00015413-0.00086308i, -0.00033812-0.00069752i
-0.00061583-0.00031653i, +0.00041474-0.00021541i, +0.00053638+0.00022937i, +0.00030221-0.00058779i, +0.00008247-0.00040043i, -0.00047531+0.00029737i, +0.00003557-0.00019673i, +0.00073274+0.00014715i, -0.00001404+0.00035113i, -0.00024339+0.00023219i, +0.00014900+0.00008503i, +0.00059691-0.00042741i, -0.00034981-0.00002833i, +0.00017943+0.00013713i, +0.00041165+0.00030413i, +0.00046730+0.00047261i, -0.00000706+0.00031101i, +0.00014376-0.00012535i, +0.00034811-0.00015603i, -0.00090501+0.00011359i, +0.00045773-0.00026888i, -0.00044176-0.00027485i, -0.00056767+0.00003271i, -0.00068150+0.00046753i, +0.00003855-0.00017693i, -0.00025709+0.00011685i, -0.00018400+0.00018833i, +0.00006344-0.00021610i, -0.00021544-0.00077628i, -0.00005832-0.00039270i, +0.00024024-0.00002239i, +0.00027881-0.00017167i, +0.00003052-0.00022606i, -0.00040262+0.00037231i, +0.00032156+0.00034419i, +0.01418929-0.00000000i, +0.00059382-0.00006320i, -0.00029489+0.00048686i, -0.00011707-0.00011983i, +0.00006530+0.00018800i, -0.00028260-0.00088180i, -0.00055754+0.00035333i, +0.00048528+0.00020009i, +0.00030969+0.00022066i, -0.00005690-0.00050450i, -0.00033977-0.00049474i, +0.00010389+0.00011950i, -0.00050778+0.00027935i, +0.00023749+0.00003893i, +0.00006423-0.00004857i, -0.00022434+0.00010123i, -0.00025174+0.00061667i, +0.00033814+0.00028840i, -0.00008360-0.00038536i, -0.00014899-0.00038607i, +0.00064165+0.00017174i, +0.00028692+0.00037455i, +0.00013447+0.00050565i, -0.00024828-0.00018460i, -0.00052673+0.00064790i, -0.00007283+0.00001807i, -0.00015074+0.00034601i, -0.00049100-0.00023605i, -0.00048361-0.00003316i
+0.00026140+0.00005621i, +0.00076916+0.00049157i, +0.00012327+0.00044227i, -0.00033909-0.00012654i, +0.00186717-0.00165238i, -0.00032901-0.00012716i, +0.00062746+0.00021512i, +0.00070456+0.00026405i, -0.00113297+0.00049667i, -0.00081373-0.00028856i, +0.00001937+0.00006273i, +0.00121668+0.00056655i, -0.00103251-0.00029555i, +0.00029185+0.00040496i, -0.00036694+0.00096720i, +0.00064975+0.00056083i, -0.00198487+0.00135333i, +0.00032995+0.00009753i, -0.00058492+0.00046920i, -0.00021465-0.00157991i, -0.00042439+0.00122615i, +0.00022547-0.00081991i, -0.00085282-0.00076962i, -0.00063163-0.00013880i, +0.00045402-0.00016201i, -0.00000891-0.00021577i, -0.00052354+0.00043220i, -0.00004652+0.00058918i, +0.00177738-0.00109691i, +0.00149660-0.00059310i, +0.00024715+0.00115967i, +0.00084922-0.00087589i, +0.00003479+0.00214593i, -0.00023566-0.00008710i, +0.00074442+0.00053112i, +0.00059382+0.00006320i, +0.01651489-0.00000000i, -0.00035363-0.00121781i, -0.00005588-0.00016415i, +0.00074021-0.00079355i, +0.00074055-0.00163630i, -0.00167769+0.00007151i, -0.00006157+0.00168933i, +0.00074120+0.00052074i, +0.00036199-0.00023720i, +0.00039947-0.00072045i, -0.00043479+0.00053011i, -0.00039063-0.00037053i, +0.00020372+0.00037501i, -0.00026248-0.00015783i, -0.00012291-0.00003771i, -0.00046477-0.00016739i, -0.00012020+0.00041561i, +0.00036614-0.00057795i, +0.00024467-0.00075027i, +0.00062452+0.00040421i, -0.00028587+0.00169658i, -0.00059762+0.00074762i, +0.00049251+0.00033729i, -0.00023973+0.00007255i, +0.00005473-0.00163596i, -0.00109197-0.00093164i, +0.00054594-0.00092286i, -0.00062937-0.00128054i
+0.00044342+0.00021727i, -0.00001882+0.00147577i, -0.00048461-0.00025022i, +0.00000439-0.00018590i, +0.00105312+0.00128373i, +0.00110641-0.00132228i, -0.00043012+0.00094593i, -0.00010529+0.00060565i, -0.00076088-0.00129435i, +0.00050094-0.00101972i, -0.00037630-0.00004802i, -0.00074208+0.00092898i, +0.00021174-0.00078131i, -0.00053390-0.00002591i, -0.00060204-0.00049313i, -0.00083173+0.00013906i, -0.00089461-0.00142267i, -0.00084762+0.00051579i, -0.00061788-0.00040097i, +0.00111000-0.00005709i, -0.00090927+0.00048729i, +0.00018886+0.00059983i, +0.00051267-0.00063486i, +0.00018252-0.00080462i, -0.00001550+0.00088338i, +0.00015858-0.00004805i, -0.00049658-0.00054996i, -0.00015294+0.00010946i, +0.00066065+0.00199159i, +0.00086325+0.00181121i, -0.00132890+0.00011030i, +0.00048560+0.00126992i, -0.00149055+0.00065108i, +0.00070612+0.00082352i, -0.00025759+0.00012677i, -0.00029489-0.00048686i, -0.00035363+0.00121781i, +0.01488687-0.00000000i, +0.00029727+0.00032746i, +0.00086167+0.00102940i, +0.00073220+0.00089877i, +0.00053917-0.00171687i, -0.00120588-0.00067956i, -0.00015500+0.00009064i, +0.00015055+0.00058938i, -0.00026389+0.00047482i, -0.00005863-0.00007326i, +0.00077472-0.00015595i, +0.00044472-0.00007657i, +0.00037133-0.00041846i, -0.00039464-0.00032735i, +0.00024367-0.00027531i, -0.00040437-0.00092556i, +0.00116129+0.00036199i, +0.00065584+0.00038807i, -0.00059666+0.00040232i, -0.00109922-0.00076861i, -0.00036795-0.00045442i, -0.00042711+0.00079254i, +0.00022238-0.00027217i, +0.00095886-0.00003128i, +0.00093925-0.00153920i, +0.00104772+0.00081118i, +0.00131310-0.00050664i
+0.00024323-0.00023956i, -0.00035873+0.00004314i, -0.00056829-0.00085717i, +0.00015864-0.00007587i, -0.00008090+0.00018522i, +0.00021194+0.00027526i, +0.00015552-0.00080115i, -0.00048827-0.00013772i, -0.00000224-0.00019433i, +0.00023678-0.00003722i, +0.00030193+0.00053403i, +0.00012948-0.00000391i, +0.00031130-0.00001289i, -0.00028219-0.00021347i, -0.00025255+0.00009942i, -0.00025497-0.00037383i, -0.00004492-0.00050711i, -0.00014178-0.00001124i, +0.00056281-0.00046363i, +0.00033576+0.00001359i, +0.00011082-0.00027518i, -0.00001040+0.00040497i, -0.00027677+0.00025018i, +0.00007009-0.00031877i, -0.00032961-0.00008638i, -0.00029534+0.00002341i, +0.00065230+0.00032802i, +0.00007974-0.00028641i, -0.00001558+0.00034855i, -0.00017556+0.00047207i, -0.00023958+0.00018643i, -0.00014771+0.00024426i, +0.00034030+0.00010242i, +0.00033270+0.00010228i, +0.00023247-0.00044684i, -0.00011707+0.00011983i, -0.00005588+0.00016415i, +0.00029727-0.00032746i, +0.01370701-0.00000000i, +0.00021283-0.00044759i, -0.00025431+0.00075277i, +0.00048457-0.00006667i, +0.00010188+0.00071900i, -0.00029653+0.00011613i, -0.00022835-0.00025437i, -0.00016069+0.00016791i, -0.00032213-0.00019263i, -0.00002872-0.00003489i, -0.00012679+0.00001832i, +0.00033030+0.00020068i, -0.00025306-0.00017913i, +0.00020310-0.00009570i, +0.00073395-0.00040513i, -0.00016601+0.00049133i, +0.00073363+0.00038776i, -0.00014043-0.00018657i, -0.00048617-0.00024957i, +0.00025436+0.00000602i, -0.00003031-0.00026404i, -0.00005212-0.00019122i, -0.00034440-0.00000361i, +0.00026334-0.00041217i, +0.00030475-0.00050427i, +0.00027071-0.00006764i
