-0.00026628-0.00109985i, -0.00086310-0.00121696i, -0.00053995-0.00038175i, -0.00051776+0.00057479i, -0.00108832+0.00046848i, -0.00049221-0.00156135i, +0.00078214-0.00035802i, +0.00173352+0.00048816i, +0.00009731+0.00026406i, +0.00148951+0.00255257i, -0.00059803-0.00066993i, +0.00072702-0.00024496i, -0.00044991-0.00114405i, +0.00025051-0.00056183i, -0.00089170+0.00006834i, +0.00108520-0.00031491i, +0.00205568+0.00002816i, +0.00006444+0.00162114i, +0.00057383-0.00153596i, +0.00082854-0.00115258i, +0.00018084-0.00004212i, +0.03117034-0.00000000i, -0.00020948-0.00015400i, +0.00144128-0.00023508i, -0.00003452+0.00069336i, +0.00085786-0.00082753i, +0.00028805-0.00100299i, -0.00130255+0.00120584i, -0.00008459+0.00050611i, -0.00138969+0.00006112i, +0.00015205-0.00019764i, -0.00071815+0.00048770i
+0.00023001-0.00001055i, -0.00000168+0.00007571i, -0.00043075+0.00046858i, +0.00013028-0.00007065i, +0.00007080-0.00025468i, -0.00025824+0.00005238i, +0.00051899-0.00037387i, +0.00031532+0.00000280i, -0.00033997-0.00041003i, -0.00015236+0.00044283i, -0.00035328-0.00039678i, +0.00000563-0.00041097i, -0.00028307-0.00033943i, +0.00052998-0.00018612i, +0.00065808+0.00040795i, +0.00066400+0.00033808i, +0.00026239-0.00034986i, -0.00075651+0.00015173i, -0.00007432-0.00040527i, +0.00022590+0.00004721i, +0.00016293-0.00040272i, -0.00020948+0.00015400i, +0.02869496-0.00000000i, -0.00024464+0.00018118i, +0.00059863-0.00028916i, -0.00021760-0.00060679i, +0.00014488+0.00070748i, -0.00028068+0.00044204i, +0.00034948+0.00026581i, +0.00037772+0.00017149i, -0.00024047-0.00070018i, -0.00025481-0.00015134i
+0.00010716-0.00165731i, -0.00068251-0.00128499i, -0.00010297-0.00038948i, -0.00035567+0.00059270i, -0.00100453-0.00021166i, -0.00039721-0.00111864i, +0.00071771+0.00011120i, +0.00131848+0.00107936i, +0.00030169+0.00068757i, +0.00004520+0.00145645i, -0.00033302-0.00071382i, +0.00011761-0.00048898i, +0.00034397-0.00059590i, +0.00057134-0.00029448i, -0.00062092+0.00021913i, +0.00142622+0.00060477i, +0.00105781+0.00066121i, -0.00115421+0.00050334i, +0.00029014-0.00093737i, +0.00060916-0.00017114i, -0.00007260+0.00011427i, +0.00144128+0.00023508i, -0.00024464-0.00018118i, +0.03065373+0.00000000i, -0.00049455+0.00042859i, +0.00024720+0.00035572i, +0.00062831-0.00051237i, -0.00213258+0.00095625i, -0.00009823+0.00045346i, -0.00142576-0.00002845i, +0.00020655-0.00055170i, -0.00147006-0.00034787i
-0.00099684-0.00045691i, -0.00122553+0.00098536i, -0.00036929-0.00010537i, +0.00047241-0.00019057i, -0.00069039+0.00133592i, -0.00087538+0.00002619i, -0.00008870-0.00111261i, +0.00035524-0.00080809i, +0.00056349+0.00015987i, +0.00107606-0.00073900i, -0.00029232+0.00021087i, +0.00033182-0.00038710i, -0.00063287-0.00000699i, -0.00103183-0.00052221i, -0.00015048+0.00068709i, +0.00029797-0.00114111i, -0.00061716-0.00096890i, +0.00030251+0.00050037i, -0.00078435-0.00031705i, +0.00009620-0.00048788i, +0.00059047+0.00051811i, -0.00003452-0.00069336i, +0.00059863+0.00028916i, -0.00049455-0.00042859i, +0.03015652-0.00000000i, +0.00026629-0.00012705i, -0.00058076-0.00053474i, +0.00131477+0.00105626i, +0.00019209-0.00008619i, +0.00025486+0.00152754i, -0.00080582-0.00000660i, +0.00015035+0.00116053i
+0.00005129-0.00099840i, -0.00102737-0.00126122i, -0.00022413-0.00080569i, -0.00019722+0.00042625i, -0.00088795+0.00027938i, -0.00012649-0.00103861i, +0.00063756-0.00035683i, +0.00159603+0.00068144i, +0.00017533+0.00051088i, +0.00115726+0.00157426i, -0.00044863-0.00051699i, +0.00047093+0.00020256i, -0.00030219-0.00116289i, +0.00050112-0.00093545i, -0.00046078+0.00009398i, +0.00054415+0.00004210i, +0.00166272-0.00038077i, -0.00115737+0.00072823i, +0.00039021-0.00068710i, +0.00035815-0.00105434i, +0.00076891+0.00029266i, +0.00085786+0.00082753i, -0.00021760+0.00060679i, +0.00024720-0.00035572i, +0.00026629+0.00012705i, +0.03138505+0.00000000i, +0.00096917-0.00106542i, -0.00169487-0.00001646i, -0.00024655+0.00061810i, -0.00183521-0.00004851i, -0.00002630-0.00029175i, -0.00061325+0.00050122i
+0.00093343-0.00106785i, -0.00016028-0.00104851i, +0.00009276-0.00101481i, -0.00019014+0.00019516i, -0.00108257-0.00104135i, +0.00036163-0.00085911i, +0.00036938-0.00004025i, +0.00044908+0.00186571i, -0.00067144+0.00050264i, -0.00066336+0.00123621i, +0.00087543-0.00097818i, +0.00018377+0.00036138i, +0.00048186-0.00100928i, +0.00079106-0.00039853i, -0.00048607-0.00080437i, +0.00052775+0.00042606i, +0.00059020+0.00117531i, -0.00104197+0.00020400i, -0.00012623-0.00010958i, +0.00124164-0.00045192i, +0.00035230+0.00057587i, +0.00028805+0.00100299i, +0.00014488-0.00070748i, +0.00062831+0.00051237i, -0.00058076+0.00053474i, +0.00096917+0.00106542i, +0.02965289-0.00000000i, -0.00170956+0.00004551i, -0.00073866-0.00029076i, -0.00103666-0.00083187i, +0.00046173-0.00058762i, -0.00139767-0.00098174i
-0.00163173+0.00212904i, +0.00006720+0.00302066i, +0.00017168+0.00131648i, +0.00115799-0.00085190i, +0.00235356+0.00135896i, -0.00088938+0.00309963i, -0.00120829-0.00120178i, -0.00100390-0.00369566i, -0.00016661-0.00033091i, +0.00090816-0.00335887i, +0.00034172+0.00174299i, -0.00021101-0.00059995i, -0.00074288+0.00182877i, -0.00201695+0.00159306i, +0.00142289+0.00140154i, -0.00134291-0.00134236i, -0.00282228-0.00156266i, +0.00173282-0.00047825i, -0.00166107+0.00141810i, -0.00282531+0.00012996i, -0.00034176-0.00108954i, -0.00130255-0.00120584i, -0.00028068-0.00044204i, -0.00213258-0.00095625i, +0.00131477-0.00105626i, -0.00169487+0.00001646i, -0.00170956-0.00004551i, +0.03414615+0.00000000i, +0.00031808-0.00019184i, +0.00292403+0.00208912i, -0.00032255+0.00088123i, +0.00154798+0.00128421i
-0.00011298+0.00024170i, -0.00015342-0.00003483i, -0.00067839+0.00066797i, +0.00005580+0.00021917i, -0.00070148+0.00071263i, -0.00053855+0.00044872i, +0.00003661-0.00038085i, +0.00019135-0.00023524i, +0.00017205-0.00035576i, +0.00055641-0.00001350i, +0.00008228+0.00018684i, -0.00017275-0.00046561i, -0.00003212-0.00000357i, -0.00026814-0.00050969i, +0.00037677+0.00006226i, -0.00006974-0.00000845i, +0.00062602-0.00105520i, +0.00011069-0.00021145i, +0.00025733-0.00048173i, -0.00038553-0.00012840i, -0.00015230+0.00014220i, -0.00008459-0.00050611i, +0.00034948-0.00026581i, -0.00009823-0.00045346i, +0.00019209+0.00008619i, -0.00024655-0.00061810i, -0.00073866+0.00029076i, +0.00031808+0.00019184i, +0.02937134+0.00000000i, +0.00040275-0.00014437i, -0.00017235+0.00031050i, -0.00000928+0.00078668i
-0.00001896+0.00237334i, +0.00238830+0.00228171i, +0.00055413+0.00055793i, +0.00074012-0.00156111i, +0.00176557+0.00013818i, -0.00028330+0.00234106i, -0.00109907-0.00012852i, -0.00271427-0.00134268i, +0.00010921-0.00029052i, -0.00098814-0.00239558i, +0.00042508+0.00117272i, -0.00092163-0.00022610i, +0.00041378+0.00141697i, -0.00002137+0.00178104i, +0.00164858-0.00008659i, -0.00175253-0.00013304i, -0.00259436+0.00008497i, +0.00176932-0.00121604i, -0.00014294+0.00186504i, -0.00130902+0.00181682i, -0.00041661-0.00057320i, -0.00138969-0.00006112i, +0.00037772-0.00017149i, -0.00142576+0.00002845i, +0.00025486-0.00152754i, -0.00183521+0.00004851i, -0.00103666+0.00083187i, +0.00292403-0.00208912i, +0.00040275+0.00014437i, +0.03265303+0.00000000i, +0.00021342+0.00053128i, +0.00232353-0.00016865i
+0.00012054+0.00040216i, +0.00088593-0.00049633i, +0.00009112-0.00043073i, -0.00021764+0.00010314i, -0.00001331-0.00088190i, +0.00104144-0.00024753i, -0.00079173+0.00094935i, -0.00037429+0.00102835i, +0.00015149+0.00024830i, -0.00043751+0.00071108i, +0.00026858-0.00015232i, +0.00043623+0.00043302i, +0.00045263-0.00027017i, +0.00005110+0.00009311i, +0.00020508-0.00054302i, -0.00029258+0.00059156i, +0.00025096+0.00005564i, -0.00021923-0.00000304i, -0.00007610+0.00043300i, +0.00059217+0.00090052i, +0.00016202+0.00004431i, +0.00015205+0.00019764i, -0.00024047+0.00070018i, +0.00020655+0.00055170i, -0.00080582+0.00000660i, -0.00002630+0.00029175i, +0.00046173+0.00058762i, -0.00032255-0.00088123i, -0.00017235-0.00031050i, +0.00021342-0.00053128i, +0.02916184+0.00000000i, -0.00054310-0.00058441i
