-0.00662070-0.03421279i, -0.02876841-0.02705594i, -0.01087291-0.00904508i, -0.00240088+0.01703026i, -0.02786448+0.00552405i, -0.01476019-0.03125897i, +0.01917458-0.00221283i, +0.03772354+0.01165194i, +0.00490914+0.00890318i, +0.01840558+0.03364821i, -0.01598389-0.01738048i, +0.01297651-0.00018246i, -0.00994175-0.02261256i, +0.00187037-0.02871526i, -0.02177900+0.00557815i, +0.02464582-0.00229520i, +0.04095332-0.00329863i, -0.01206572+0.01736829i, +0.00221527-0.02367124i, +0.02054017-0.01875990i, +0.00997839+0.00568616i, +0.02257507-0.00000000i, +0.00217123+0.00172901i, +0.01954907-0.00941655i, +0.00393816+0.01891778i, +0.01974384-0.00096629i, +0.01118189-0.01697489i, -0.03268240+0.03264407i, +0.00016010+0.00827656i, -0.03698370+0.00784438i, -0.00044995-0.01132199i, -0.02982302+0.00969781i
-0.00325711-0.00278345i, -0.00483910-0.00039884i, -0.00173850-0.00003719i, +0.00107343+0.00182182i, -0.00225688+0.00266542i, -0.00381372-0.00187596i, +0.00167470-0.00168140i, +0.00452060-0.00176856i, +0.00115404+0.00048030i, +0.00434732+0.00182656i, -0.00286847-0.00044743i, +0.00123409-0.00101141i, -0.00268806-0.00141341i, -0.00201940-0.00290504i, -0.00166744+0.00220454i, +0.00219461-0.00210836i, +0.00368618-0.00345385i, +0.00016977+0.00259456i, -0.00159991-0.00244633i, +0.00053871-0.00337746i, +0.00139521-0.00021735i, +0.00217123-0.00172901i, +0.00034125+0.00000000i, +0.00115899-0.00240292i, +0.00182767+0.00151786i, +0.00182492-0.00160511i, -0.00022464-0.00248903i, -0.00064315+0.00564278i, +0.00064929+0.00078376i, -0.00295624+0.00358702i, -0.00091042-0.00105447i, -0.00212558+0.00321685i
+0.00853765-0.03238848i, -0.01362662-0.03542924i, -0.00564259-0.01236799i, -0.00918275+0.01374604i, -0.02643368-0.00683928i, +0.00025708-0.03322575i, +0.01752741+0.00608191i, +0.02780674+0.02582540i, +0.00053741+0.00975749i, +0.00190307+0.03681531i, -0.00659160-0.02171799i, +0.01131322+0.00525478i, +0.00082304-0.02372845i, +0.01359742-0.02408604i, -0.02118647-0.00425404i, +0.02229963+0.00829275i, +0.03683980+0.01422604i, -0.01769310+0.01000734i, +0.01179211-0.01957427i, +0.02561209-0.00767754i, +0.00626905+0.00908618i, +0.01954907+0.00941655i, +0.00115899+0.00240292i, +0.02085652-0.00000000i, -0.00448073+0.01802470i, +0.01750040+0.00739881i, +0.01676364-0.01003534i, -0.04191814+0.01463587i, -0.00331370+0.00723393i, -0.03529840-0.00863379i, +0.00433301-0.00999205i, -0.02987066-0.00404192i
-0.02982509-0.00042022i, -0.02769130+0.01938793i, -0.00947648+0.00753355i, +0.01385244+0.00498281i, -0.00023176+0.02431394i, -0.02876971+0.00691592i, +0.00149061-0.01645422i, +0.01634503-0.02957947i, +0.00831720-0.00256070i, +0.03140782-0.00955393i, -0.01735309+0.01036243i, +0.00211082-0.01090607i, -0.02068351+0.00438643i, -0.02373694-0.00657666i, +0.00087517+0.01922377i, +0.00237603-0.02105345i, +0.00437996-0.03489409i, +0.01244969+0.01314086i, -0.01944992-0.00598577i, -0.01213751-0.02048516i, +0.00650567-0.00736990i, +0.00393816-0.01891778i, +0.00182767-0.00151786i, -0.00448073-0.01802470i, +0.01654000+0.00000000i, +0.00263451-0.01671379i, -0.01227421-0.01233159i, +0.02165419+0.03308234i, +0.00696364+0.00130966i, +0.00012184+0.03236057i, -0.00956626-0.00159804i, +0.00292417+0.02668328i
-0.00432594-0.03020541i, -0.02400236-0.02489414i, -0.00912214-0.00837610i, -0.00282873+0.01479166i, -0.02460634+0.00363856i, -0.01157107-0.02797044i, +0.01686454-0.00111458i, +0.03249374+0.01180532i, +0.00391238+0.00799672i, +0.01465700+0.03021608i, -0.01323534-0.01588489i, +0.01135688+0.00039586i, -0.00772702-0.02020217i, +0.00286491-0.02503390i, -0.01928637+0.00394635i, +0.02165313-0.00095243i, +0.03595839-0.00113199i, -0.01129593+0.01467361i, +0.00295065-0.02060771i, +0.01876713-0.01552795i, +0.00848358+0.00540014i, +0.01974384+0.00096629i, +0.00182492+0.00160511i, +0.01750040-0.00739881i, +0.00263451+0.01671379i, +0.01730905-0.00000000i, +0.01050611-0.01436737i, -0.02998085+0.02715112i, -0.00021425+0.00724542i, -0.03268119+0.00527755i, +0.00009110-0.00992131i, -0.02649789+0.00720504i
+0.02244628-0.02192460i, +0.00609461-0.03503321i, +0.00141570-0.01265589i, -0.01399478+0.00663014i, -0.01795555-0.01821598i, +0.01619355-0.02658185i, +0.01116146+0.01332190i, +0.00992379+0.03413693i, -0.00426297+0.00810126i, -0.01618446+0.03050637i, +0.00515177-0.02062768i, +0.00656473+0.00966706i, +0.01207873-0.01867597i, +0.02251832-0.01281686i, -0.01498196-0.01361332i, +0.01393341+0.01739509i, +0.02276536+0.02916018i, -0.01903614-0.00046972i, +0.01889640-0.01005912i, +0.02428011+0.00615262i, +0.00066691+0.01031953i, +0.01118189+0.01697489i, -0.00022464+0.00248903i, +0.01676364+0.01003534i, -0.01227421+0.01233159i, +0.01050611+0.01436737i, +0.01830256+0.00000000i, -0.04073434-0.00840563i, -0.00614410+0.00421993i, -0.02421721-0.02392370i, +0.00829048-0.00594634i, -0.02206403-0.01762132i
-0.03988756+0.05910425i, +0.00252511+0.08076923i, +0.00266155+0.02881724i, +0.02810195-0.02118335i, +0.04832791+0.03229539i, -0.02383254+0.06659784i, -0.03095926-0.02452332i, -0.03776420-0.07141787i, +0.00576712-0.01998805i, +0.02200994-0.07532811i, -0.00199237+0.04827515i, -0.01905021-0.01850018i, -0.01830540+0.04711268i, -0.04423070+0.03886708i, +0.03959604+0.02341732i, -0.03899919-0.03231561i, -0.06405889-0.05444394i, +0.04258274-0.00769713i, -0.03743624+0.03106603i, -0.05686367-0.00254246i, -0.00622362-0.02266095i, -0.03268240-0.03264407i, -0.00064315-0.00564278i, -0.04191814-0.01463587i, +0.02165419-0.03308234i, -0.02998085-0.02715112i, -0.04073434+0.00840563i, +0.09451907+0.00000000i, +0.01173632-0.01221365i, +0.06488524+0.04212281i, -0.01572046+0.01704172i, +0.05719867+0.02908504i
-0.01259018+0.00218468i, -0.01012337+0.01035531i, -0.00339325+0.00392213i, +0.00622667+0.00100099i, +0.00182764+0.01025496i, -0.01156496+0.00518976i, -0.00067530-0.00704555i, +0.00453940-0.01374772i, +0.00329893-0.00173667i, +0.01246676-0.00650930i, -0.00648545+0.00573682i, +0.00002513-0.00475879i, -0.00836081+0.00348452i, -0.01051444-0.00088936i, +0.00189063+0.00802426i, -0.00066670-0.00905202i, -0.00091893-0.01503786i, +0.00628206+0.00454675i, -0.00866273-0.00098004i, -0.00673216-0.00766356i, +0.00215544-0.00361799i, +0.00016010-0.00827656i, +0.00064929-0.00078376i, -0.00331370-0.00723393i, +0.00696364-0.00130966i, -0.00021425-0.00724542i, -0.00614410-0.00421993i, +0.01173632+0.01221365i, +0.00303552+0.00000000i, +0.00261366+0.01361474i, -0.00415410+0.00008467i, +0.00334395+0.01100260i
-0.00104187+0.05834980i, +0.03772857+0.05432095i, +0.01466962+0.01859626i, +0.00985092-0.02706564i, +0.04756861+0.00063254i, +0.01331909+0.05633900i, -0.03218176-0.00303759i, -0.05775194-0.03219701i, -0.00494875-0.01629149i, -0.01846095-0.06151989i, +0.02014630+0.03402772i, -0.02132222-0.00421016i, +0.00842971+0.04049968i, -0.01304212+0.04639298i, +0.03761783-0.00157067i, -0.04117366-0.00480380i, -0.06823816-0.00882645i, +0.02580184-0.02426108i, -0.01185445+0.03800975i, -0.04016870+0.02359619i, -0.01437132-0.01278266i, -0.03698370-0.00784438i, -0.00295624-0.00358702i, -0.03529840+0.00863379i, +0.00012184-0.03236057i, -0.03268119-0.00527755i, -0.02421721+0.02392370i, +0.06488524-0.04212281i, +0.00261366-0.01361474i, +0.06331447-0.00000000i, -0.00319704+0.01870465i, +0.05222748-0.00552459i
+0.01729057-0.00263855i, +0.01414265-0.01388886i, +0.00475306-0.00527277i, -0.00849327-0.00154354i, -0.00221509-0.01408487i, +0.01597138-0.00677960i, +0.00072762+0.00966066i, -0.00659563+0.01868711i, -0.00456302+0.00228461i, -0.01724231+0.00856024i, +0.00903534-0.00766993i, -0.00016713+0.00651170i, +0.01153894-0.00453536i, +0.01436418+0.00151037i, -0.00236351-0.01103392i, +0.00065989+0.01240627i, +0.00083811+0.02060491i, -0.00847017-0.00639744i, +0.01182760+0.00158281i, +0.00899919+0.01067534i, -0.00305064+0.00489110i, -0.00044995+0.01132199i, -0.00091042+0.00105447i, +0.00433301+0.00999205i, -0.00956626+0.00159804i, +0.00009110+0.00992131i, +0.00829048+0.00594634i, -0.01572046-0.01704172i, -0.00415410-0.00008467i, -0.00319704-0.01870465i, +0.00568724-0.00000000i, -0.00426930-0.01515032i
