-0.00104100+0.00039284i, -0.00427027-0.00118319i, -0.00033034-0.00012556i, -0.00461223+0.00005572i, +0.00185016-0.00483555i, +0.00211677+0.00077686i, -0.00015751-0.00377920i, +0.00561044-0.00087427i, -0.00261903+0.00263269i, -0.00249368+0.00085198i, +0.00314816-0.00306622i, +0.00542360+0.00472701i, -0.00050827-0.00491719i, -0.00393568-0.00199158i, -0.00061329+0.00443971i, +0.00007617+0.00110615i, -0.00183117-0.00195681i, -0.00412556+0.00469297i, -0.00191799-0.00154387i, +0.00689631+0.00540151i, +0.00085755+0.00214033i, +0.02896676-0.00000000i, +0.00352160-0.00156498i, +0.00099174+0.00387682i, +0.00284454+0.00086647i, -0.00179948+0.00015217i, +0.00159534+0.00119836i, -0.00266309-0.00262519i, +0.00316930-0.00071079i, +0.00313197+0.00346521i, +0.00315932-0.00012850i, -0.00670940+0.00084174i
+0.00032911+0.00006496i, -0.00497156-0.00504136i, +0.00229733+0.00102861i, -0.00520780-0.00122173i, +0.00686829-0.00584507i, +0.00152705+0.00055573i, +0.00346430-0.00329045i, +0.00742640+0.00490134i, -0.00564069+0.00466706i, +0.00247162+0.00160146i, +0.01122253-0.00026864i, +0.00076067+0.01194212i, +0.00513184-0.00526003i, -0.00123596+0.00165567i, -0.00461761+0.00255061i, -0.00178223-0.00092442i, +0.00298892-0.00125881i, -0.00728166+0.00211183i, -0.00110071-0.00418206i, +0.00514900+0.01022568i, -0.00252103-0.00135859i, +0.00352160+0.00156498i, +0.02685069+0.00000000i, -0.00153222+0.01041835i, +0.00224846+0.00593818i, -0.00254338+0.00226096i, +0.00440933+0.00707792i, -0.00327016-0.00581955i, +0.00445075+0.00367136i, +0.00188102+0.00784479i, +0.00348273+0.00283882i, -0.00919360-0.00475571i
-0.00026368+0.00267664i, -0.00626369+0.00562043i, +0.00051374-0.00288341i, -0.00181081+0.00821572i, -0.00403956-0.00956931i, -0.00054514-0.00014466i, -0.00464070-0.00370388i, +0.01012962-0.00909018i, +0.00345005+0.00677867i, +0.00358350-0.00390324i, -0.00006488-0.00987577i, +0.02169777+0.00029180i, -0.00632329-0.00574542i, +0.00298334+0.00189008i, +0.00260713+0.00412786i, -0.00389621+0.00278779i, +0.00134660-0.00666454i, +0.00243158+0.00998328i, -0.00353979+0.00049820i, +0.01163551-0.00725640i, -0.00171602+0.00377240i, +0.00099174-0.00387682i, -0.00153222-0.01041835i, +0.03571972-0.00000000i, +0.00744418-0.00084530i, +0.00228584+0.00191485i, +0.00529068-0.00209049i, -0.00898437+0.00545015i, +0.00244203-0.00578807i, +0.01087857-0.00317871i, +0.00480832-0.00542743i, -0.00826374+0.01415751i
+0.00159362+0.00237569i, -0.00456657+0.00463903i, +0.00003454-0.00210716i, -0.00273448+0.00399661i, -0.00324276-0.00924439i, -0.00091079-0.00048354i, -0.00404913-0.00312324i, +0.00521308-0.00751452i, +0.00216021+0.00473585i, +0.00232177-0.00306210i, +0.00018297-0.00837982i, +0.01337550-0.00126861i, -0.00582079-0.00557944i, +0.00113063+0.00214398i, +0.00293699+0.00444971i, -0.00282964+0.00154466i, -0.00267296-0.00733857i, +0.00250424+0.00770127i, -0.00450106+0.00078224i, +0.00898878-0.00348270i, -0.00036655+0.00435753i, +0.00284454-0.00086647i, +0.00224846-0.00593818i, +0.00744418+0.00084530i, +0.02551863+0.00000000i, +0.00311170+0.00078208i, +0.00471649-0.00452328i, -0.00544670+0.00298419i, +0.00160613-0.00540610i, +0.01127410-0.00207203i, +0.00430824-0.00496325i, -0.00594680+0.00780285i
+0.00091924+0.00142200i, +0.00481245+0.00656648i, -0.00070609+0.00144254i, +0.00254210+0.00254800i, -0.00338522-0.00036219i, -0.00157009-0.00139033i, -0.00230276+0.00054020i, -0.00174657-0.00448566i, +0.00167600-0.00063374i, +0.00054011-0.00335258i, -0.00365784-0.00421396i, +0.00698102-0.00646699i, -0.00392113-0.00019059i, +0.00054757+0.00025885i, +0.00343245+0.00129354i, -0.00127190+0.00241858i, -0.00288190-0.00109121i, +0.00251049+0.00365863i, -0.00269101+0.00339142i, +0.00105782-0.00735939i, -0.00005306+0.00013935i, -0.00179948-0.00015217i, -0.00254338-0.00226096i, +0.00228584-0.00191485i, +0.00311170-0.00078208i, +0.02814325-0.00000000i, +0.00075727-0.00295057i, +0.00204531+0.00326222i, -0.00103044-0.00605325i, +0.00193265-0.00554824i, +0.00123126-0.00366772i, +0.00179074+0.00415877i
+0.00002218+0.00044952i, -0.00521416+0.00131879i, +0.00120910-0.00172197i, -0.00291199+0.00251964i, +0.00076423-0.00709965i, -0.00005856-0.00064910i, -0.00204547-0.00266907i, +0.00895495-0.00268529i, -0.00021782+0.00652928i, +0.00385851-0.00029912i, +0.00387424-0.00782213i, +0.01227502+0.00626529i, -0.00199577-0.00752369i, -0.00141576+0.00215909i, -0.00079883+0.00444175i, -0.00049394-0.00071770i, +0.00177182-0.00475350i, -0.00105699+0.00771368i, -0.00585829-0.00192528i, +0.01048876+0.00210989i, -0.00235445+0.00398088i, +0.00159534-0.00119836i, +0.00440933-0.00707792i, +0.00529068+0.00209049i, +0.00471649+0.00452328i, +0.00075727+0.00295057i, +0.02715563-0.00000000i, -0.01105927+0.00307365i, +0.00589483-0.00408934i, +0.00640559+0.00447388i, +0.00706305-0.00196804i, -0.01034781+0.00418670i
+0.00102415-0.00134262i, +0.01113365-0.00195573i, -0.00005129+0.00327954i, +0.00663729-0.00472675i, -0.00086087+0.00975387i, +0.00017500+0.00161662i, +0.00085213+0.00607601i, -0.01072534+0.00404510i, +0.00117038-0.00946315i, -0.00767167+0.00131494i, -0.00502930+0.00895142i, -0.01657228-0.01052350i, +0.00426624+0.00875554i, +0.00004004-0.00327098i, -0.00009907-0.00403503i, +0.00058499+0.00071143i, -0.00216692+0.00572117i, +0.00350559-0.01083998i, +0.00495299+0.00288638i, -0.01598507-0.00530850i, +0.00297926-0.00310301i, -0.00266309+0.00262519i, -0.00327016+0.00581955i, -0.00898437-0.00545015i, -0.00544670-0.00298419i, +0.00204531-0.00326222i, -0.01105927-0.00307365i, +0.03828197+0.00000000i, -0.00545399+0.00173807i, -0.01209529-0.00243120i, -0.00682655+0.00450044i, +0.01374463-0.00526174i
-0.00507241+0.00031675i, -0.00740170-0.00164437i, +0.00108184-0.00376392i, -0.00509191+0.00064098i, +0.00293479-0.00742948i, +0.00108170-0.00113306i, +0.00105813-0.00528452i, +0.00879531+0.00277181i, -0.00304584+0.00600021i, +0.00230720+0.00121790i, +0.00714301-0.00319921i, +0.00637434+0.01266141i, +0.00278316-0.00869146i, -0.00241706+0.00027235i, -0.00300019+0.00669509i, -0.00195180-0.00022865i, +0.00927569+0.00228794i, -0.00570734+0.00559325i, -0.00372089-0.00492523i, +0.00748466+0.00613165i, -0.00381949-0.00124942i, +0.00316930+0.00071079i, +0.00445075-0.00367136i, +0.00244203+0.00578807i, +0.00160613+0.00540610i, -0.00103044+0.00605325i, +0.00589483+0.00408934i, -0.00545399-0.00173807i, +0.02908562+0.00000000i, +0.00764073+0.00677049i, +0.00630826+0.00039115i, -0.00918374-0.00087293i
-0.00145363+0.00202253i, -0.01432363+0.00698440i, -0.00220370-0.00321083i, -0.00400600+0.00725371i, -0.00315290-0.01128727i, -0.00103551-0.00309267i, -0.00477070-0.00605385i, +0.01115212-0.01121380i, +0.00300820+0.00858119i, +0.00626750-0.00209977i, +0.00302706-0.01245876i, +0.02172210+0.00266086i, -0.00798649-0.00957693i, +0.00031180+0.00279946i, +0.00241942+0.00743775i, -0.00262343+0.00067938i, +0.00146694-0.00762336i, +0.00573617+0.01624233i, -0.00659862+0.00031112i, +0.01601261-0.00420222i, -0.00159175+0.00433898i, +0.00313197-0.00346521i, +0.00188102-0.00784479i, +0.01087857+0.00317871i, +0.01127410+0.00207203i, +0.00193265+0.00554824i, +0.00640559-0.00447388i, -0.01209529+0.00243120i, +0.00764073-0.00677049i, +0.03993145-0.00000000i, +0.00631784-0.00649567i, -0.00974231+0.01440063i
-0.00171238+0.00028213i, -0.00564424-0.00128760i, +0.00317431-0.00252926i, -0.00513834+0.00090071i, +0.00383851-0.00760502i, -0.00111064-0.00099454i, -0.00099262-0.00714237i, +0.01018011+0.00029361i, -0.00519186+0.00675137i, +0.00436856+0.00253857i, +0.00603929-0.00620983i, +0.00988462+0.01085698i, +0.00154511-0.00944499i, -0.00173063+0.00167677i, -0.00054468+0.00423858i, -0.00054001+0.00052878i, +0.00341973-0.00213138i, -0.00568399+0.00527200i, -0.00739394-0.00700259i, +0.00946206+0.00397188i, -0.00122038+0.00218168i, +0.00315932+0.00012850i, +0.00348273-0.00283882i, +0.00480832+0.00542743i, +0.00430824+0.00496325i, +0.00123126+0.00366772i, +0.00706305+0.00196804i, -0.00682655-0.00450044i, +0.00630826-0.00039115i, +0.00631784+0.00649567i, +0.02685001+0.00000000i, -0.01243199+0.00419601i
